video_id,person_ratio,person_count
C7c1tjPipnc,0.095917,12
RDUrzF86x9c,0.035091,10
iIbVndDBGnQ,0.163566,5
0GoRhA7TCoI,0.06038,12
yHPmL18dBGs,0.090089,8
Bwf_D-IfNxk,0.159276,2
jNHVY47pQog,0.0,0
hQeQPpNlczU,0.146227,3
sgH7spysdS4,0.180024,2
lzb6EKoZKH0,0.071388,3
TKFthAGns-c,0.073997,2
7VQibILfmqQ,0.007865,1
CInGFr_bmbs,0.0,0
f_EP37bFANE,0.00193,1
1EqSgh5v9Rc,0.113874,3
k2lKMzChiCk,0.077382,10
XBD8EDhfSbk,0.157912,4
NtyeIzpzLv4,0.155295,2
iSuasvZ0XvA,0.116927,1
zkxRbgMSdio,0.08349,8
We1_oOrBVxg,0.138339,15
E6j3mveX7MU,0.158459,6
H-56dzi5CbU,0.147807,5
IoZ5UP4bFYE,0.26842,3
pbTR3WAWXcw,0.103377,1
H2qnljIctKc,0.062765,4
DvTkAHACnLk,0.106063,3
Lr-V9Am81QQ,0.174348,5
JnNrRRtQ12g,0.1692,4
Gn2Fc8bFsdI,0.089146,2
vM2ancNDKVs,0.158124,5
GZZOea4yrBA,0.115114,5
q0rPjIB-Xb0,0.282972,4
pkdF07mH0-U,0.139932,3
A8SBHdc_WkM,0.205599,4
WhpqP_m-pK0,0.001651,2
KaNo-w3xD8o,0.071953,3
nKgRJeCX7GI,0.0,0
6NM_rdGPrFE,0.0251,2
c10NQ6JDBi0,0.016748,1
mKZYKLTzI6k,0.167467,5
3Y-5PBD372w,0.0,0
ffKv7fLteOE,0.045893,1
a59WeZQ3mmc,0.055003,4
9UbU-T2gxiM,0.075728,4
vBnCjk-hwfI,0.062318,3
kCS5xByL4X8,0.117873,8
37U4alX0spU,0.011696,1
Zv5WRumCfOk,0.00295,8
Tg3gVrKFgf0,0.0,0
OsA0Jr-85VI,0.376696,5
UIsM64WH8D4,0.403368,3
rOT14Isjl_c,0.844022,11
ZjciDUVulgM,0.389167,4
JimAT2a-F50,0.574867,8
iZdKrdAhGv8,0.510139,8
MdEGG5IecCI,0.457384,11
jXGq12tYi3E,0.0,0
ecEW2GvcOak,0.432442,2
wWj6w5jMAeI,0.73787,7
5s-bxZGEAN0,0.052873,1
p87xIbLJDho,0.060532,1
AcCWmD52VEk,0.143967,2
HbWjc3y4kZM,0.102624,1
mhf22jH5h_M,0.159409,2
O8s0UB7AvqM,0.202892,2
Ra9t7piBUHU,0.142135,4
0cUvpyYyAp4,0.136438,6
W2rXHHctGyY,0.103338,3
hXX8Ve0-N8w,0.229915,4
zXTOl_Blhe8,0.166711,4
3jHCPJxdIRk,0.166109,5
u1T1YXDZDiU,0.065133,2
pCrj63sxuHA,0.087934,1
WilQQPGgfTM,0.06513,1
rSQYzjg1kZA,0.313536,1
5-eM8WScZ8M,0.11775,6
1VcJcQOIwgc,0.063697,3
Zms7G0Kqo4E,0.038522,1
-I5xm9HFXas,0.043179,2
lJeg_dwiXdg,0.057332,2
wcRvHXSozmE,0.037779,5
8FUxpVqgrtc,0.039633,1
_tH5NTfITTs,0.07228,5
4PKQBDr8P8g,0.0,0
0gaWNHlfYhQ,0.0,0
OdVLxa9tXWY,0.0,0
2wIKt5ZF4xU,0.0,0
jub6NCXDJVo,0.060932,24
0tIRsp5Hdno,0.093276,3
DovPF3GUzAM,0.167483,9
DkqFSB47O00,0.063057,2
nu8ldSCgi10,0.055076,2
KQ-wTLfE7eo,0.006755,2
c3hEsThxWTM,0.039786,2
p7gpJbgI3y0,0.109806,5
_6RLYelMWJ8,0.090409,3
LOuWb50qWRU,0.107631,10
2IOH1vfLd1M,0.082103,6
QiEo5hxLq9E,0.072745,3
haImRKZcPK0,0.135802,5
RI_Yu_cwhWU,0.0,0
SmWrK_vd7uI,0.0,0
i60cwf4kdfc,0.014013,1
7gQeTK4734U,0.128978,5
bjS4VPLpLhQ,0.131058,4
UpBCzXtXCtE,0.011366,24
aOQQwOo2OEo,0.082378,1
n9kntoWi0Kg,0.0175,5
v4EGRQVesNU,0.008387,3
V_RGxLZRYEE,0.077159,2
2sgXYRvHNlU,0.05721,1
gqzstmejGyM,0.030663,1
x73f1Wcdt68,0.017653,2
eB5ySpu06oc,0.072415,2
aPdqIzCG0iw,0.226146,18
3ULxjQZuPHw,0.143965,2
9-Yik__p_20,0.083722,2
GCWEim7Cwt0,0.072664,2
eg3gtPpn6Ks,0.082581,3
xxadZoPjX7g,0.068472,2
kzRE2H1Wbtw,0.116439,2
BgQITIsYvwc,0.291173,4
jIUhrifNVCA,0.173617,4
4cQ4qrHtTs4,0.0,0
0iCNRVesItI,0.0,0
T9nrSDuVj9g,0.0,0
kpydCrKenrM,0.062193,4
tbNpoHhF8uo,0.109008,3
nIDW6I45VzA,0.0,0
Y5MWcuVONxo,0.0,0
DGZsPoodnZI,0.205915,5
GMm0USYdTys,0.106496,2
SZZrHuru860,0.0,0
Gi0MOEERgZ0,0.0,0
wlNle86UfcM,0.051972,1
ghm_c_s9Luw,0.013218,2
DHlpZhRhG7M,0.219595,5
ERLN87qKDR0,0.086271,3
_kN-b9rYbQs,0.215785,4
nQckoyS-ndI,0.186461,11
ZNxClCHjVYU,0.005406,1
zhE4ao8nyiA,0.056332,3
5-JanXjSHhM,0.137449,3
mIxLNMmssNI,0.074881,3
6CfQmd3AYu8,0.101625,3
MLXCCOKBIbk,0.185697,5
GiRRyhXyroI,0.106294,2
U7CaxmTtUs0,0.188155,2
XDQBLnsurnU,1.0,2
NXheYHy4Zg0,0.126517,3
x44H46JYlkE,0.04548,2
dbVe_1tY2eQ,0.00362,1
024ETO-RBE4,0.1489,5
Vm8L7K9Apg4,0.103351,2
gdT5yf0fmMg,0.14624,3
VcC6MLJ177k,0.333419,12
SwkSyOUZsPs,0.174476,6
3txiB5Vq4js,0.123736,8
mxss6MhVg2o,0.077993,3
VtLUy7AIQsA,0.042836,2
ZAeCdH13oDs,0.070267,3
LWvfs-Nv2iM,0.091817,4
qXqlS0-zeqc,0.116887,8
AoIIHtE9Qf8,0.088001,8
JF9HoZWHxYQ,0.099253,5
ECZs7rCrFrs,0.081581,3
0k0uOew5STQ,0.225049,11
W5ruxipPGMM,0.226747,7
G0uBy50ykfk,0.185254,6
00uT4SbZvtM,0.220346,6
hiKOxxzn2e4,0.070214,3
lFQ4dVfp1pg,0.237734,8
aWjtq6I-JPE,0.116038,3
4DSRzWvGVzM,0.885608,4
Yn1YBEpcqGY,0.065204,1
PQ-v0NH1Dyk,0.057945,2
ju1ZwH2XD54,0.086653,3
AS2FUdgMVWI,0.161355,3
j7WFMtafgDA,0.11952,2
zyJQ9Bvg2Vs,0.131138,2
pJ0yrajP2gY,0.116145,2
qwvKoC7tCho,0.11045,7
ti5pAD19skI,0.114272,3
AjZeQ0mWvZY,0.147269,5
AppYkttbHho,0.407014,5
xzPEwwFPITw,0.406053,5
nSXqIW3dmj8,0.738623,2
GiptwHt3D8g,0.0,0
bGEg4BBiSxQ,0.013307,1
07h8lbf70I4,0.0,0
k2QginbnLkc,0.000208,1
3YA8tArGpxk,0.291973,15
WiQsKnlj3B4,0.057667,2
Dk_SO730kqA,0.010447,3
k7eiGoXJTpI,0.066067,2
GWOj4cZ_62Q,0.226548,3
u5AjUBltuuo,0.150446,5
Ldt12-cIRdw,0.098078,4
8VcLe-_LxEg,0.120781,5
65hSutTikMk,0.503293,2
01LyvSUfnQI,0.495775,2
x17HaTjdxa0,0.2686,4
3Ag8z1iLoKM,0.37787,5
