video_id,color_hue_mean,color_saturation,color_brightness,color_warm_ratio,color_entropy,color_hue_std
C7c1tjPipnc,174.31,126.6,107.56,0.6201,3.4201,38.64
RDUrzF86x9c,42.57,69.39,178.61,0.4599,3.1032,46.76
iIbVndDBGnQ,32.53,81.69,97.31,0.4893,2.6178,48.21
0GoRhA7TCoI,149.33,90.7,53.04,0.4897,3.1178,40.17
yHPmL18dBGs,122.03,97.12,156.89,0.3027,2.6186,38.34
Bwf_D-IfNxk,1.46,75.98,120.61,0.6494,2.8718,40.64
jNHVY47pQog,27.98,133.72,72.86,0.6082,2.9883,26.02
hQeQPpNlczU,98.15,53.58,129.0,0.3241,2.5557,43.13
sgH7spysdS4,93.94,106.64,118.61,0.2443,1.6563,34.39
lzb6EKoZKH0,28.17,36.23,140.71,0.5114,2.8413,33.41
TKFthAGns-c,59.96,47.6,134.45,0.4733,2.3198,52.29
7VQibILfmqQ,15.19,96.3,80.24,0.735,2.9636,32.8
CInGFr_bmbs,70.57,107.48,138.36,0.2931,2.9159,46.56
f_EP37bFANE,178.7,7.54,19.85,0.9253,1.1768,15.35
1EqSgh5v9Rc,138.95,116.12,140.55,0.4202,3.4992,54.35
k2lKMzChiCk,126.2,123.06,124.23,0.3666,2.6297,42.17
XBD8EDhfSbk,1.03,83.84,145.08,0.637,2.5788,36.64
NtyeIzpzLv4,121.48,80.06,161.01,0.3707,3.0668,54.39
iSuasvZ0XvA,4.09,68.55,149.53,0.5944,3.2564,42.43
zkxRbgMSdio,7.6,49.69,172.48,0.6353,2.8793,37.43
We1_oOrBVxg,157.39,31.96,116.84,0.539,3.1645,30.98
E6j3mveX7MU,13.9,86.21,133.53,0.654,3.1008,34.44
H-56dzi5CbU,16.83,86.61,187.07,0.756,2.8947,26.14
IoZ5UP4bFYE,16.03,47.31,172.86,0.6831,2.6741,28.48
pbTR3WAWXcw,177.74,49.53,176.11,0.7312,2.8619,27.64
H2qnljIctKc,22.42,88.85,154.0,0.6519,2.4152,30.33
DvTkAHACnLk,8.15,88.93,152.06,0.9514,1.5767,14.21
Lr-V9Am81QQ,2.15,77.87,147.84,0.8776,1.7787,20.53
JnNrRRtQ12g,4.97,79.34,141.94,0.9039,1.7078,18.79
Gn2Fc8bFsdI,178.43,35.08,146.27,0.825,1.6723,26.61
vM2ancNDKVs,5.56,77.02,177.26,0.9401,1.1771,14.76
GZZOea4yrBA,27.91,89.68,90.43,0.4615,2.4932,52.4
q0rPjIB-Xb0,12.5,121.01,123.0,0.6006,3.1547,47.15
pkdF07mH0-U,3.93,156.71,95.96,0.5887,2.5169,52.18
A8SBHdc_WkM,23.95,87.61,77.81,0.631,3.0547,24.86
WhpqP_m-pK0,23.46,63.28,97.35,0.6326,2.9484,37.48
KaNo-w3xD8o,50.21,130.87,56.1,0.4754,3.1604,57.76
nKgRJeCX7GI,34.54,43.35,59.23,0.4842,3.0617,35.33
6NM_rdGPrFE,12.78,69.74,74.14,0.6015,3.0518,49.19
c10NQ6JDBi0,141.7,41.53,217.33,0.4109,2.9873,38.27
mKZYKLTzI6k,129.22,50.14,103.84,0.4516,2.096,64.72
3Y-5PBD372w,15.46,120.26,117.28,0.954,2.0371,15.17
ffKv7fLteOE,116.68,92.14,90.18,0.079,2.1757,29.07
a59WeZQ3mmc,25.87,97.13,171.9,0.4233,3.4138,58.86
9UbU-T2gxiM,159.05,75.03,184.67,0.4615,2.9372,31.6
vBnCjk-hwfI,90.2,65.09,185.67,0.2612,2.1696,48.51
kCS5xByL4X8,45.28,42.72,184.7,0.4589,2.7271,43.78
37U4alX0spU,105.07,64.11,197.42,0.1097,1.3339,20.35
Zv5WRumCfOk,37.47,90.56,143.74,0.498,3.3282,43.23
Tg3gVrKFgf0,8.27,73.36,186.81,0.9596,0.9172,13.04
OsA0Jr-85VI,4.55,28.77,81.26,0.8767,2.6845,19.36
UIsM64WH8D4,8.66,43.96,82.19,0.7726,2.7978,27.0
rOT14Isjl_c,2.21,47.21,82.99,0.6367,2.6776,42.22
ZjciDUVulgM,1.03,28.14,105.13,0.6797,2.8958,36.18
JimAT2a-F50,2.71,27.06,79.23,0.7585,3.1058,28.94
iZdKrdAhGv8,5.51,45.73,85.77,0.7773,3.0395,28.76
MdEGG5IecCI,0.52,46.67,85.33,0.6597,3.6136,38.76
jXGq12tYi3E,11.54,73.75,86.41,0.769,3.1155,24.21
ecEW2GvcOak,5.44,48.51,80.73,0.7501,3.0219,29.23
wWj6w5jMAeI,3.1,49.95,80.6,0.6528,2.7486,40.9
5s-bxZGEAN0,31.49,31.12,140.38,0.49,1.728,17.66
p87xIbLJDho,17.41,105.07,164.88,0.8696,2.0546,20.75
AcCWmD52VEk,80.91,63.31,141.74,0.2321,2.3287,33.79
HbWjc3y4kZM,4.86,55.78,151.81,0.7206,2.8682,35.83
mhf22jH5h_M,16.03,57.49,131.34,0.734,2.5773,35.4
O8s0UB7AvqM,7.9,69.73,135.04,0.8,2.5331,29.71
Ra9t7piBUHU,4.95,66.8,131.01,0.8375,2.2882,24.49
0cUvpyYyAp4,4.68,100.99,80.96,0.7909,2.874,28.0
W2rXHHctGyY,9.05,79.1,91.29,0.7353,2.9398,34.55
hXX8Ve0-N8w,8.54,118.2,111.97,0.9252,2.3234,17.2
zXTOl_Blhe8,3.21,73.33,102.92,0.702,2.9104,35.37
3jHCPJxdIRk,10.29,65.32,126.67,0.881,2.0551,20.69
u1T1YXDZDiU,2.0,68.18,123.58,0.9072,2.8165,19.8
pCrj63sxuHA,2.24,28.58,41.25,0.9453,2.5617,11.71
WilQQPGgfTM,4.06,23.55,68.47,0.9991,0.9633,5.89
rSQYzjg1kZA,3.92,66.02,49.04,0.8478,2.6951,24.63
5-eM8WScZ8M,168.16,70.29,139.15,0.5303,2.9659,54.29
1VcJcQOIwgc,178.23,111.34,110.08,0.731,2.9058,32.27
