video_id,text_color_entropy,text_color_saturation,text_color_brightness,text_color_hue_std,bg_color_entropy,text_bg_entropy_diff,text_bg_saturation_diff
C7c1tjPipnc,3.5431,163.3,115.99,36.95,3.3109,0.2322,53.17
RDUrzF86x9c,2.2876,105.32,196.73,37.72,3.1621,-0.8745,41.58
iIbVndDBGnQ,3.0335,66.33,116.93,40.05,2.5704,0.4631,-26.31
0GoRhA7TCoI,2.7562,68.78,159.97,42.09,3.0979,-0.3417,-25.64
yHPmL18dBGs,0.8784,78.83,200.95,40.39,2.7308,-1.8525,-23.25
Bwf_D-IfNxk,3.0064,41.85,152.52,33.5,2.8944,0.1121,-46.46
jNHVY47pQog,3.2556,148.01,94.12,30.27,2.7124,0.5432,11.31
hQeQPpNlczU,3.0173,93.34,120.89,32.98,2.5563,0.461,36.33
sgH7spysdS4,3.2524,118.74,109.88,36.66,1.5576,1.6948,1.33
lzb6EKoZKH0,3.0609,84.85,118.01,26.37,2.6671,0.3938,57.94
TKFthAGns-c,3.1885,96.33,113.34,29.55,1.9281,1.2603,56.33
7VQibILfmqQ,2.7381,93.06,119.3,18.95,3.0516,-0.3135,-22.08
CInGFr_bmbs,2.5136,172.49,119.27,21.97,2.975,-0.4614,67.99
f_EP37bFANE,1.6724,29.62,96.9,31.56,2.0821,-0.4097,22.76
1EqSgh5v9Rc,3.4363,201.03,94.46,54.7,3.2551,0.1812,89.54
k2lKMzChiCk,2.6768,113.26,128.91,43.96,2.359,0.3178,-17.24
XBD8EDhfSbk,3.5472,153.79,134.05,47.89,2.0446,1.5026,78.79
NtyeIzpzLv4,3.6,142.1,123.0,47.58,2.0695,1.5305,90.99
iSuasvZ0XvA,3.5012,111.95,126.59,39.38,2.5377,0.9635,65.49
zkxRbgMSdio,3.5061,136.86,129.41,45.17,2.0087,1.4973,105.78
We1_oOrBVxg,3.0772,21.92,108.11,21.58,3.1903,-0.1131,-22.62
E6j3mveX7MU,3.4337,120.69,146.69,33.82,2.8129,0.6207,36.81
H-56dzi5CbU,3.2608,142.22,163.54,28.54,2.3322,0.9287,76.43
IoZ5UP4bFYE,3.5747,86.15,138.05,37.42,2.1369,1.4378,41.83
pbTR3WAWXcw,2.9926,111.54,151.07,34.29,2.3118,0.6808,84.64
H2qnljIctKc,3.1547,137.63,147.65,35.7,1.869,1.2857,63.08
DvTkAHACnLk,1.8137,72.75,176.17,16.34,1.4021,0.4116,-30.26
Lr-V9Am81QQ,1.6346,66.66,171.75,17.81,1.799,-0.1645,-22.26
JnNrRRtQ12g,1.8075,66.22,172.85,17.56,1.5019,0.3056,-25.69
Gn2Fc8bFsdI,1.4426,52.45,170.57,16.36,2.0587,-0.6162,27.52
vM2ancNDKVs,1.5615,66.05,183.07,17.1,1.0457,0.5158,-22.15
GZZOea4yrBA,2.759,118.77,91.4,72.29,2.4818,0.2772,30.31
q0rPjIB-Xb0,3.0342,144.53,140.47,28.1,3.2544,-0.2203,26.82
pkdF07mH0-U,2.6766,148.54,140.64,29.93,2.5538,0.1229,-15.25
A8SBHdc_WkM,2.8822,140.23,101.41,29.65,2.8892,-0.0071,64.8
WhpqP_m-pK0,2.9513,126.96,110.69,40.53,3.0111,-0.0598,85.85
KaNo-w3xD8o,3.3109,189.19,86.21,47.69,3.1675,0.1434,76.83
nKgRJeCX7GI,2.8692,47.01,90.24,30.63,3.1096,-0.2403,-11.18
6NM_rdGPrFE,2.9992,165.09,129.54,32.52,2.8848,0.1144,114.18
c10NQ6JDBi0,0.9473,20.81,208.71,32.0,2.9981,-2.0508,-31.68
mKZYKLTzI6k,2.7961,50.53,122.93,42.91,2.1449,0.6512,-5.16
3Y-5PBD372w,2.7139,136.87,156.75,18.34,1.8362,0.8776,6.14
ffKv7fLteOE,1.8268,80.72,127.94,39.49,2.22,-0.3933,-29.26
a59WeZQ3mmc,2.9367,211.48,225.32,41.73,3.2658,-0.3291,134.63
9UbU-T2gxiM,2.6557,101.61,219.54,49.25,2.3662,0.2895,26.11
vBnCjk-hwfI,1.6997,91.6,184.92,45.82,2.185,-0.4853,31.52
kCS5xByL4X8,2.6563,56.34,181.39,45.94,2.7229,-0.0666,11.39
37U4alX0spU,2.6119,128.75,128.79,59.33,0.8088,1.803,74.18
Zv5WRumCfOk,3.1588,129.35,111.0,29.79,3.2833,-0.1245,40.56
Tg3gVrKFgf0,0.5156,54.99,143.75,13.31,1.2347,-0.7191,-28.44
OsA0Jr-85VI,3.0487,66.56,114.03,26.11,1.9508,1.0979,51.7
UIsM64WH8D4,3.0784,71.9,110.46,27.72,2.5198,0.5586,37.51
rOT14Isjl_c,3.0368,54.35,106.62,26.28,2.4946,0.5422,6.01
ZjciDUVulgM,3.0455,67.54,112.88,30.05,3.2108,-0.1653,54.19
JimAT2a-F50,2.6723,55.77,102.63,20.46,3.1279,-0.4555,37.42
iZdKrdAhGv8,3.3087,70.99,115.19,28.47,2.2628,1.0459,33.1
MdEGG5IecCI,3.3393,77.4,110.08,33.59,3.6442,-0.3049,43.95
jXGq12tYi3E,3.2576,76.4,112.41,26.0,2.8427,0.4149,-2.43
ecEW2GvcOak,3.1098,61.14,104.34,26.05,2.7858,0.324,13.83
wWj6w5jMAeI,3.05,61.07,110.58,29.29,2.5357,0.5142,11.68
5s-bxZGEAN0,3.3584,65.09,119.36,27.08,1.1781,2.1802,38.11
p87xIbLJDho,3.2061,71.22,122.07,27.05,1.8419,1.3642,-45.14
AcCWmD52VEk,3.3164,67.73,131.07,48.59,2.1533,1.1631,0.53
HbWjc3y4kZM,3.1127,65.38,151.84,58.31,2.5324,0.5803,8.42
mhf22jH5h_M,2.3626,78.12,122.97,21.49,2.9678,-0.6051,21.84
O8s0UB7AvqM,2.8531,94.65,125.68,26.81,2.4887,0.3644,25.71
Ra9t7piBUHU,2.6793,90.53,122.71,23.69,2.0449,0.6344,27.28
0cUvpyYyAp4,3.0336,106.79,101.48,23.75,2.8104,0.2232,-8.52
W2rXHHctGyY,2.9175,104.67,104.03,25.66,2.9137,0.0037,26.48
hXX8Ve0-N8w,2.9619,109.6,115.72,23.47,1.8971,1.0648,-32.14
zXTOl_Blhe8,2.6933,96.41,110.43,26.6,2.8975,-0.2041,20.73
3jHCPJxdIRk,2.5186,84.17,106.78,21.64,2.0046,0.514,18.03
u1T1YXDZDiU,2.8658,84.09,113.47,22.79,2.6984,0.1674,10.06
pCrj63sxuHA,1.9996,42.28,89.35,14.57,2.6492,-0.6496,15.79
WilQQPGgfTM,,,,,1.1867,,
rSQYzjg1kZA,2.8928,156.54,104.22,32.85,2.5627,0.3301,138.7
5-eM8WScZ8M,1.9423,134.08,139.6,42.49,2.9063,-0.9641,71.99
1VcJcQOIwgc,2.3839,139.88,149.0,45.05,2.8601,-0.4763,25.77
Zms7G0Kqo4E,2.189,160.43,141.86,42.34,3.5098,-1.3208,25.81
-I5xm9HFXas,1.7781,106.01,143.99,27.34,2.4902,-0.7121,35.14
lJeg_dwiXdg,1.4853,85.7,178.29,40.96,3.3949,-1.9096,35.18
wcRvHXSozmE,1.9662,163.26,143.85,45.41,3.108,-1.1418,36.38
8FUxpVqgrtc,2.864,135.73,147.04,48.9,3.0652,-0.2013,-22.3
_tH5NTfITTs,2.476,94.67,153.75,48.38,2.7275,-0.2515,-27.63
4PKQBDr8P8g,2.3378,70.62,176.42,39.79,3.0735,-0.7357,28.68
0gaWNHlfYhQ,1.7427,172.63,140.99,23.65,0.1563,1.5864,-5.32
OdVLxa9tXWY,1.7122,160.12,142.08,24.59,0.138,1.5742,-17.84
2wIKt5ZF4xU,1.7928,172.95,139.59,23.92,0.1601,1.6327,-5.0
jub6NCXDJVo,2.8696,120.53,104.73,39.54,2.7879,0.0818,26.84
0tIRsp5Hdno,2.2157,174.37,100.92,35.03,1.89,0.3257,17.11
DovPF3GUzAM,2.6707,98.51,116.85,41.43,2.1948,0.4759,20.76
DkqFSB47O00,0.2156,144.96,119.32,31.87,1.647,-1.4313,1.53
nu8ldSCgi10,1.7159,216.69,103.88,14.54,2.0877,-0.3718,33.96
KQ-wTLfE7eo,2.6767,178.78,96.64,45.9,1.4082,1.2685,-14.54
c3hEsThxWTM,2.5041,194.61,89.57,40.68,1.5225,0.9816,-2.56
p7gpJbgI3y0,3.0202,94.48,101.43,27.94,2.2521,0.7681,2.68
_6RLYelMWJ8,2.8832,94.8,101.84,20.53,2.6194,0.2638,17.97
LOuWb50qWRU,3.1395,87.26,99.17,22.5,2.805,0.3345,27.37
2IOH1vfLd1M,3.1461,85.56,115.85,26.53,2.9257,0.2204,7.8
QiEo5hxLq9E,2.4925,76.46,105.04,20.41,2.9732,-0.4807,-19.87
haImRKZcPK0,2.792,83.06,141.25,28.74,2.4812,0.3108,35.55
RI_Yu_cwhWU,2.877,154.5,158.11,47.35,2.4626,0.4145,73.4
SmWrK_vd7uI,2.3315,134.58,203.27,23.8,2.8257,-0.4942,87.69
i60cwf4kdfc,2.8922,91.91,117.66,28.87,2.9405,-0.0483,44.37
7gQeTK4734U,1.5583,160.69,214.8,22.96,2.5266,-0.9683,72.71
bjS4VPLpLhQ,1.8281,170.09,213.4,21.22,3.5836,-1.7555,74.61
UpBCzXtXCtE,2.5263,74.54,126.21,45.12,2.2153,0.3109,-0.33
aOQQwOo2OEo,3.1447,117.94,108.6,75.0,2.7127,0.432,-14.41
n9kntoWi0Kg,2.9181,129.47,101.72,36.04,2.7621,0.156,-15.38
v4EGRQVesNU,2.9078,100.17,111.65,56.36,3.0873,-0.1795,-10.24
V_RGxLZRYEE,2.9552,133.23,125.79,24.97,2.6908,0.2644,7.43
2sgXYRvHNlU,2.4555,92.3,145.34,27.74,1.8431,0.6124,-13.81
gqzstmejGyM,2.394,144.55,168.42,27.75,1.0261,1.3679,-11.21
x73f1Wcdt68,2.4274,103.38,143.45,44.24,2.3493,0.078,15.28
eB5ySpu06oc,3.2686,163.15,92.25,48.28,1.4891,1.7795,6.32
aPdqIzCG0iw,2.9263,133.08,110.39,43.88,2.3631,0.5631,-77.89
3ULxjQZuPHw,2.9049,154.07,116.62,29.22,2.7244,0.1804,77.09
9-Yik__p_20,3.2943,140.52,128.11,36.02,2.3653,0.929,36.31
GCWEim7Cwt0,2.9979,127.18,114.92,38.58,2.3858,0.6121,16.87
eg3gtPpn6Ks,2.8923,148.16,112.52,34.47,2.3139,0.5784,36.35
xxadZoPjX7g,2.9023,149.86,121.59,34.23,1.9223,0.98,66.22
kzRE2H1Wbtw,2.9033,117.19,138.45,29.58,2.3846,0.5188,24.03
BgQITIsYvwc,2.7178,119.73,126.47,33.24,2.2353,0.4825,36.22
jIUhrifNVCA,2.7519,121.51,127.67,37.8,2.0669,0.685,29.49
4cQ4qrHtTs4,2.39,80.37,106.43,18.81,0.0,2.39,80.37
0iCNRVesItI,2.6668,96.34,104.86,21.63,0.0,2.6668,96.34
T9nrSDuVj9g,2.4207,78.71,105.03,18.86,0.0,2.4207,78.71
kpydCrKenrM,2.645,178.97,94.84,46.34,1.7692,0.8758,6.65
tbNpoHhF8uo,3.34,156.63,118.66,38.35,3.0166,0.3234,64.94
nIDW6I45VzA,3.2971,141.09,112.51,26.0,2.6402,0.6568,-29.39
Y5MWcuVONxo,2.1986,147.45,116.43,50.82,3.1944,-0.9958,74.28
DGZsPoodnZI,2.8522,108.38,137.31,51.15,2.9073,-0.0551,46.3
GMm0USYdTys,2.9476,128.06,133.1,56.43,2.6764,0.2713,43.24
SZZrHuru860,2.5509,106.91,164.32,51.38,1.4366,1.1143,29.2
Gi0MOEERgZ0,2.9402,148.17,143.03,36.94,2.6418,0.2984,3.71
wlNle86UfcM,2.5322,115.99,143.19,56.93,2.4917,0.0404,40.85
ghm_c_s9Luw,3.0291,62.77,107.99,46.97,1.6248,1.4043,-1.67
DHlpZhRhG7M,2.8132,136.68,117.22,29.07,1.7431,1.07,79.47
ERLN87qKDR0,3.3817,70.54,118.55,29.51,2.4194,0.9622,18.5
_kN-b9rYbQs,3.185,103.06,119.74,44.05,2.4848,0.7002,11.48
nQckoyS-ndI,2.9668,107.3,123.16,33.15,2.648,0.3188,42.69
ZNxClCHjVYU,2.1557,126.6,135.94,25.35,2.4586,-0.3029,84.85
zhE4ao8nyiA,2.5393,75.71,138.29,28.13,2.6954,-0.1561,15.35
5-JanXjSHhM,2.4161,87.18,134.76,19.77,2.0674,0.3487,41.58
mIxLNMmssNI,2.0707,44.24,154.71,22.01,2.5869,-0.5162,-16.4
6CfQmd3AYu8,3.234,15.24,173.09,38.18,3.0118,0.2221,-27.51
MLXCCOKBIbk,1.7442,43.07,112.76,42.6,1.8542,-0.11,-7.94
GiRRyhXyroI,,,,,1.7719,,
U7CaxmTtUs0,3.6191,170.56,99.5,48.38,2.1799,1.4392,53.68
XDQBLnsurnU,3.365,165.72,95.41,46.75,2.5388,0.8263,102.63
NXheYHy4Zg0,3.3298,137.05,87.6,40.39,2.406,0.9239,2.18
x44H46JYlkE,2.9918,196.19,120.06,28.6,3.1769,-0.1851,161.64
dbVe_1tY2eQ,2.9109,198.15,124.7,27.85,1.6263,1.2846,115.91
024ETO-RBE4,3.4635,81.69,122.06,49.14,2.644,0.8194,17.34
Vm8L7K9Apg4,3.1053,87.99,129.5,39.43,2.4278,0.6775,19.69
gdT5yf0fmMg,3.1624,82.09,126.03,35.8,2.7506,0.4118,-1.69
VcC6MLJ177k,3.2904,88.76,134.46,46.53,2.9066,0.3838,11.3
SwkSyOUZsPs,3.2973,91.62,132.0,48.44,3.0221,0.2752,25.46
3txiB5Vq4js,2.8956,89.01,129.6,53.46,2.3473,0.5482,19.59
mxss6MhVg2o,2.9338,109.24,134.45,60.22,2.5984,0.3353,10.4
VtLUy7AIQsA,3.2019,108.67,144.8,68.77,2.7118,0.4902,28.88
ZAeCdH13oDs,3.0918,91.25,121.61,47.63,2.6947,0.3971,8.95
LWvfs-Nv2iM,3.1766,104.8,139.42,60.97,3.2432,-0.0666,20.54
qXqlS0-zeqc,3.1136,88.04,127.19,48.09,3.1566,-0.043,7.74
AoIIHtE9Qf8,3.352,102.01,108.27,40.97,2.9874,0.3646,34.22
JF9HoZWHxYQ,3.4313,126.35,114.38,82.34,2.8287,0.6026,33.1
ECZs7rCrFrs,3.3382,133.37,114.69,62.77,2.411,0.9272,15.55
0k0uOew5STQ,3.2082,74.13,58.21,52.17,3.1946,0.0136,-12.51
W5ruxipPGMM,3.2556,60.56,61.88,46.77,3.165,0.0905,-35.67
G0uBy50ykfk,3.2001,75.01,88.19,62.35,2.1792,1.0208,-5.21
00uT4SbZvtM,2.3387,113.99,131.16,17.89,1.3097,1.029,10.26
hiKOxxzn2e4,2.9766,44.68,167.92,24.95,2.7073,0.2693,-34.25
lFQ4dVfp1pg,3.2457,47.63,77.65,34.35,2.6676,0.5782,3.84
aWjtq6I-JPE,2.3234,122.61,115.65,18.18,1.8243,0.4991,30.42
4DSRzWvGVzM,2.9936,79.22,114.02,29.72,2.0769,0.9167,9.56
Yn1YBEpcqGY,0.8152,8.34,215.09,19.41,2.2631,-1.4479,-77.62
PQ-v0NH1Dyk,2.2287,94.39,130.12,20.07,1.0405,1.1882,-22.46
ju1ZwH2XD54,2.3059,188.79,140.34,17.27,2.3284,-0.0225,111.71
AS2FUdgMVWI,2.9478,145.39,127.58,24.98,1.0853,1.8625,22.21
j7WFMtafgDA,3.041,140.43,120.76,29.88,2.2344,0.8066,60.97
zyJQ9Bvg2Vs,3.1808,152.38,118.63,31.64,2.4093,0.7715,32.44
pJ0yrajP2gY,3.4989,170.87,115.33,47.9,2.1816,1.3173,90.43
qwvKoC7tCho,3.1977,125.97,120.66,34.82,1.9531,1.2445,72.38
ti5pAD19skI,3.656,151.7,121.57,71.1,2.8145,0.8415,79.67
AjZeQ0mWvZY,0.0,15.63,178.43,10.5,1.5414,-1.5414,-86.53
AppYkttbHho,1.9963,129.47,147.21,16.23,2.7535,-0.7572,27.76
xzPEwwFPITw,1.9932,133.25,147.95,17.17,2.7487,-0.7554,31.1
nSXqIW3dmj8,2.3339,160.03,167.52,32.23,2.9744,-0.6406,63.85
GiptwHt3D8g,1.6775,164.06,117.08,23.68,3.1728,-1.4953,115.32
bGEg4BBiSxQ,2.8947,141.79,125.86,37.65,2.8881,0.0066,-46.6
07h8lbf70I4,1.9028,154.46,127.98,26.73,2.1073,-0.2046,103.43
k2QginbnLkc,1.908,161.47,120.75,23.59,2.3986,-0.4905,47.97
3YA8tArGpxk,2.0252,162.09,115.18,23.9,3.1006,-1.0754,80.95
WiQsKnlj3B4,1.8745,150.16,129.84,25.4,2.8885,-1.014,85.2
Dk_SO730kqA,1.8337,163.84,122.52,26.64,2.9593,-1.1256,48.9
k7eiGoXJTpI,3.2387,173.19,124.56,43.1,2.3697,0.869,60.16
GWOj4cZ_62Q,3.476,176.62,96.88,54.46,3.1952,0.2807,105.72
u5AjUBltuuo,3.1596,189.26,106.51,46.81,1.8683,1.2914,104.46
Ldt12-cIRdw,3.1158,188.58,108.06,47.73,2.4915,0.6243,129.71
8VcLe-_LxEg,3.1354,188.18,107.31,50.23,2.2226,0.9127,123.21
65hSutTikMk,3.0387,111.14,150.54,35.89,2.6608,0.3779,55.02
01LyvSUfnQI,2.6706,67.65,177.83,40.5,1.974,0.6966,14.84
x17HaTjdxa0,3.1597,63.2,142.81,53.89,3.2004,-0.0407,6.61
3Ag8z1iLoKM,3.2206,77.61,155.1,41.94,2.667,0.5536,19.59
F_B8lfHMH0s,2.9795,81.17,109.28,39.86,2.7585,0.221,41.84
3EufUA-5HoQ,3.2841,125.56,91.04,38.81,2.7241,0.56,105.26
o2tsEa1Kv0o,3.2299,90.84,94.99,37.01,2.481,0.7489,42.44
mLLOTnxyEO0,1.8893,86.83,145.33,27.71,2.2769,-0.3876,45.09
Pzj-0GOWthA,3.3123,93.66,75.11,21.84,2.7224,0.5899,5.56
mgOzt-XDzkE,3.5428,83.15,79.61,31.26,2.0292,1.5136,3.92
rw_4NxSal3k,1.9465,98.43,134.19,14.83,1.6283,0.3181,-20.76
CRx-B3DJtNU,2.2089,121.23,143.48,17.1,2.0172,0.1917,13.43
MI_7wOBA8EA,2.8153,106.24,121.06,36.61,1.9948,0.8205,69.76
FitbWwJAT0M,2.7558,120.01,113.1,35.05,1.8663,0.8895,27.46
4svGFhVvy5s,2.1441,102.0,131.3,16.51,1.4891,0.655,-2.16
-uSgG8ftEHA,3.2285,90.71,132.25,33.48,3.4505,-0.222,22.57
9af9JF6DH9w,2.9004,78.05,123.91,33.06,3.1149,-0.2145,-17.93
kpcTI5wKKvM,2.8221,68.42,136.91,41.46,2.659,0.163,8.65
JUE9aLYVhrk,3.1624,83.07,135.36,44.88,1.3632,1.7992,56.25
95bDbjpOfx4,2.7268,148.95,118.08,33.06,2.3296,0.3972,72.71
MFsgyftJAck,2.766,155.6,115.49,31.45,2.7071,0.0589,68.15
ptUduz9z-FQ,3.345,165.72,105.88,43.11,2.6877,0.6573,75.68
FnbD4wqWye8,1.9906,100.99,139.62,22.18,2.3849,-0.3943,-10.36
-idOju-zBlw,3.308,144.1,104.73,41.05,2.8559,0.4521,83.16
rbgZaG1S3Uw,3.3484,134.46,141.04,47.37,2.5557,0.7926,83.22
EmdVwmnCS5M,3.4676,148.09,135.76,65.63,2.4933,0.9743,62.92
DePnmE9Gpfc,2.8162,93.92,91.76,52.91,2.2257,0.5904,15.05
Niy8ocX6djQ,2.8444,62.97,58.15,28.38,2.3292,0.5152,-22.44
NhoUQaB7OqY,2.6694,37.76,66.24,36.97,2.8295,-0.1601,-12.15
Fu9H7aTlJwM,3.103,75.06,59.18,50.94,3.0302,0.0728,16.07
GHbbswVEBes,2.6646,89.97,63.37,49.61,3.1047,-0.4401,-17.29
Lo8LlVVe0LI,2.7749,94.96,123.28,40.97,2.8981,-0.1232,24.19
