video_id,head_pose,head_pose_face_count
C7c1tjPipnc,없음,0
RDUrzF86x9c,측면,1
iIbVndDBGnQ,정면,2
0GoRhA7TCoI,없음,0
yHPmL18dBGs,정면,1
Bwf_D-IfNxk,측면,2
jNHVY47pQog,없음,0
hQeQPpNlczU,측면,1
sgH7spysdS4,측면,1
lzb6EKoZKH0,정면,1
TKFthAGns-c,측면,1
7VQibILfmqQ,없음,0
CInGFr_bmbs,없음,0
f_EP37bFANE,없음,0
1EqSgh5v9Rc,측면,1
k2lKMzChiCk,정면,1
XBD8EDhfSbk,측면,1
NtyeIzpzLv4,정면,1
iSuasvZ0XvA,측면,1
zkxRbgMSdio,정면,1
We1_oOrBVxg,없음,0
E6j3mveX7MU,측면,1
H-56dzi5CbU,없음,0
IoZ5UP4bFYE,측면,2
pbTR3WAWXcw,측면,1
H2qnljIctKc,측면,1
DvTkAHACnLk,정면,1
Lr-V9Am81QQ,정면,3
JnNrRRtQ12g,정면,3
Gn2Fc8bFsdI,측면,2
vM2ancNDKVs,측면,3
GZZOea4yrBA,없음,0
q0rPjIB-Xb0,정면,3
pkdF07mH0-U,측면,1
A8SBHdc_WkM,정면,3
WhpqP_m-pK0,없음,0
KaNo-w3xD8o,정면,1
nKgRJeCX7GI,없음,0
6NM_rdGPrFE,없음,0
c10NQ6JDBi0,정면,1
mKZYKLTzI6k,없음,0
3Y-5PBD372w,없음,0
ffKv7fLteOE,없음,0
a59WeZQ3mmc,없음,0
9UbU-T2gxiM,없음,0
vBnCjk-hwfI,없음,0
kCS5xByL4X8,없음,0
37U4alX0spU,없음,0
Zv5WRumCfOk,없음,0
Tg3gVrKFgf0,없음,0
OsA0Jr-85VI,없음,0
UIsM64WH8D4,측면,1
rOT14Isjl_c,없음,0
ZjciDUVulgM,없음,0
JimAT2a-F50,없음,0
iZdKrdAhGv8,없음,0
MdEGG5IecCI,없음,0
jXGq12tYi3E,없음,0
ecEW2GvcOak,정면,2
wWj6w5jMAeI,없음,0
5s-bxZGEAN0,측면,1
p87xIbLJDho,측면,1
AcCWmD52VEk,측면,2
HbWjc3y4kZM,측면,1
mhf22jH5h_M,측면,1
O8s0UB7AvqM,측면,2
Ra9t7piBUHU,정면,2
0cUvpyYyAp4,정면,1
W2rXHHctGyY,정면,1
hXX8Ve0-N8w,정면,2
zXTOl_Blhe8,정면,3
3jHCPJxdIRk,측면,2
u1T1YXDZDiU,정면,1
pCrj63sxuHA,없음,0
WilQQPGgfTM,측면,1
rSQYzjg1kZA,정면,1
5-eM8WScZ8M,측면,1
1VcJcQOIwgc,없음,0
Zms7G0Kqo4E,정면,1
-I5xm9HFXas,없음,0
lJeg_dwiXdg,없음,0
wcRvHXSozmE,없음,0
8FUxpVqgrtc,정면,1
_tH5NTfITTs,측면,1
4PKQBDr8P8g,없음,0
0gaWNHlfYhQ,없음,0
OdVLxa9tXWY,없음,0
2wIKt5ZF4xU,없음,0
jub6NCXDJVo,없음,0
0tIRsp5Hdno,측면,3
DovPF3GUzAM,정면,2
DkqFSB47O00,측면,2
nu8ldSCgi10,측면,2
KQ-wTLfE7eo,정면,1
c3hEsThxWTM,측면,1
p7gpJbgI3y0,측면,2
_6RLYelMWJ8,측면,2
LOuWb50qWRU,정면,4
2IOH1vfLd1M,측면,1
QiEo5hxLq9E,측면,1
haImRKZcPK0,정면,2
RI_Yu_cwhWU,없음,0
SmWrK_vd7uI,없음,0
i60cwf4kdfc,없음,0
7gQeTK4734U,정면,3
bjS4VPLpLhQ,측면,2
UpBCzXtXCtE,없음,0
aOQQwOo2OEo,없음,0
n9kntoWi0Kg,없음,0
v4EGRQVesNU,없음,0
V_RGxLZRYEE,없음,0
2sgXYRvHNlU,측면,1
gqzstmejGyM,없음,0
x73f1Wcdt68,없음,0
eB5ySpu06oc,측면,1
aPdqIzCG0iw,정면,1
3ULxjQZuPHw,정면,1
9-Yik__p_20,측면,2
GCWEim7Cwt0,측면,2
eg3gtPpn6Ks,정면,1
xxadZoPjX7g,측면,2
kzRE2H1Wbtw,정면,2
BgQITIsYvwc,측면,1
jIUhrifNVCA,측면,2
4cQ4qrHtTs4,없음,0
0iCNRVesItI,없음,0
T9nrSDuVj9g,없음,0
kpydCrKenrM,측면,1
tbNpoHhF8uo,정면,2
nIDW6I45VzA,없음,0
Y5MWcuVONxo,없음,0
DGZsPoodnZI,측면,3
GMm0USYdTys,측면,1
SZZrHuru860,없음,0
Gi0MOEERgZ0,없음,0
wlNle86UfcM,없음,0
ghm_c_s9Luw,없음,0
DHlpZhRhG7M,정면,3
ERLN87qKDR0,측면,2
_kN-b9rYbQs,정면,3
nQckoyS-ndI,정면,3
ZNxClCHjVYU,없음,0
zhE4ao8nyiA,정면,1
5-JanXjSHhM,정면,2
mIxLNMmssNI,없음,0
6CfQmd3AYu8,측면,1
MLXCCOKBIbk,측면,1
GiRRyhXyroI,측면,1
U7CaxmTtUs0,측면,2
XDQBLnsurnU,측면,2
NXheYHy4Zg0,측면,2
x44H46JYlkE,측면,1
dbVe_1tY2eQ,없음,0
024ETO-RBE4,측면,3
Vm8L7K9Apg4,정면,3
gdT5yf0fmMg,측면,2
VcC6MLJ177k,측면,2
SwkSyOUZsPs,측면,3
3txiB5Vq4js,측면,2
mxss6MhVg2o,없음,0
VtLUy7AIQsA,없음,0
ZAeCdH13oDs,없음,0
LWvfs-Nv2iM,없음,0
qXqlS0-zeqc,정면,2
AoIIHtE9Qf8,정면,2
JF9HoZWHxYQ,정면,2
ECZs7rCrFrs,없음,0
0k0uOew5STQ,정면,4
W5ruxipPGMM,측면,4
G0uBy50ykfk,정면,3
00uT4SbZvtM,정면,2
hiKOxxzn2e4,없음,0
lFQ4dVfp1pg,정면,3
aWjtq6I-JPE,측면,2
4DSRzWvGVzM,정면,3
Yn1YBEpcqGY,정면,1
PQ-v0NH1Dyk,없음,0
ju1ZwH2XD54,측면,3
AS2FUdgMVWI,정면,1
j7WFMtafgDA,정면,1
zyJQ9Bvg2Vs,측면,2
pJ0yrajP2gY,정면,2
qwvKoC7tCho,측면,2
ti5pAD19skI,없음,0
