video_id,expression_dominant,expression_happy,expression_angry,expression_neutral,expression_sad
RDUrzF86x9c,중립,0.01,0.02,0.71,0.22
iIbVndDBGnQ,중립,0.01,0.02,0.57,0.35
0GoRhA7TCoI,중립,0.17,0.03,0.47,0.29
yHPmL18dBGs,중립,0.14,0.08,0.52,0.03
C7c1tjPipnc,,,,,
Bwf_D-IfNxk,중립,0.04,0.01,0.38,0.32
jNHVY47pQog,슬픔,0.04,0.03,0.15,0.69
hQeQPpNlczU,슬픔,0.1,0.23,0.03,0.51
sgH7spysdS4,,,,,
lzb6EKoZKH0,분노,0.01,0.48,0.45,0.04
TKFthAGns-c,슬픔,0.13,0.09,0.15,0.59
7VQibILfmqQ,슬픔,0.0,0.1,0.08,0.79
CInGFr_bmbs,,,,,
f_EP37bFANE,,,,,
1EqSgh5v9Rc,중립,0.0,0.1,0.43,0.39
k2lKMzChiCk,중립,0.02,0.15,0.5,0.31
XBD8EDhfSbk,공포,0.33,0.09,0.1,0.09
NtyeIzpzLv4,중립,0.0,0.17,0.74,0.04
iSuasvZ0XvA,기쁨,0.61,0.04,0.2,0.07
zkxRbgMSdio,기쁨,0.99,0.0,0.0,0.0
We1_oOrBVxg,놀람,0.17,0.26,0.09,0.05
E6j3mveX7MU,공포,0.01,0.06,0.12,0.17
H-56dzi5CbU,기쁨,1.0,0.0,0.0,0.0
IoZ5UP4bFYE,공포,0.02,0.09,0.19,0.25
pbTR3WAWXcw,중립,0.01,0.01,0.96,0.01
H2qnljIctKc,중립,0.3,0.05,0.44,0.14
DvTkAHACnLk,중립,0.0,0.03,0.89,0.06
Lr-V9Am81QQ,슬픔,0.0,0.14,0.03,0.56
JnNrRRtQ12g,혐오,0.01,0.09,0.01,0.24
Gn2Fc8bFsdI,놀람,0.0,0.21,0.09,0.12
vM2ancNDKVs,슬픔,0.0,0.03,0.24,0.69
GZZOea4yrBA,기쁨,1.0,0.0,0.0,0.0
q0rPjIB-Xb0,중립,0.01,0.04,0.48,0.45
pkdF07mH0-U,슬픔,0.04,0.11,0.3,0.42
A8SBHdc_WkM,분노,0.0,0.38,0.12,0.37
WhpqP_m-pK0,,,,,
KaNo-w3xD8o,중립,0.0,0.0,0.93,0.07
nKgRJeCX7GI,,,,,
6NM_rdGPrFE,,,,,
c10NQ6JDBi0,중립,0.05,0.01,0.79,0.14
mKZYKLTzI6k,놀람,0.05,0.24,0.15,0.08
3Y-5PBD372w,기쁨,0.37,0.03,0.34,0.05
ffKv7fLteOE,,,,,
a59WeZQ3mmc,기쁨,0.84,0.0,0.14,0.02
9UbU-T2gxiM,중립,0.2,0.02,0.71,0.03
vBnCjk-hwfI,중립,0.16,0.02,0.61,0.18
kCS5xByL4X8,기쁨,1.0,0.0,0.0,0.0
37U4alX0spU,분노,0.29,0.33,0.09,0.15
Zv5WRumCfOk,기쁨,0.36,0.05,0.31,0.25
Tg3gVrKFgf0,,,,,
OsA0Jr-85VI,공포,0.31,0.03,0.05,0.03
UIsM64WH8D4,중립,0.31,0.01,0.65,0.02
rOT14Isjl_c,,,,,
ZjciDUVulgM,,,,,
JimAT2a-F50,,,,,
iZdKrdAhGv8,슬픔,0.01,0.01,0.14,0.54
MdEGG5IecCI,기쁨,0.64,0.1,0.14,0.04
jXGq12tYi3E,기쁨,0.92,0.02,0.02,0.02
ecEW2GvcOak,슬픔,0.21,0.05,0.23,0.3
wWj6w5jMAeI,기쁨,0.54,0.27,0.18,0.0
5s-bxZGEAN0,,,,,
p87xIbLJDho,,,,,
AcCWmD52VEk,슬픔,0.03,0.09,0.25,0.48
HbWjc3y4kZM,놀람,0.0,0.01,0.0,0.01
mhf22jH5h_M,분노,0.0,0.56,0.14,0.18
O8s0UB7AvqM,슬픔,0.0,0.08,0.24,0.62
Ra9t7piBUHU,중립,0.0,0.01,0.53,0.45
0cUvpyYyAp4,기쁨,0.68,0.17,0.01,0.06
W2rXHHctGyY,슬픔,0.06,0.0,0.01,0.79
hXX8Ve0-N8w,슬픔,0.0,0.17,0.05,0.64
zXTOl_Blhe8,분노,0.0,0.36,0.31,0.29
3jHCPJxdIRk,공포,0.0,0.01,0.01,0.12
u1T1YXDZDiU,중립,0.02,0.14,0.69,0.04
pCrj63sxuHA,기쁨,0.41,0.01,0.39,0.0
WilQQPGgfTM,,,,,
rSQYzjg1kZA,중립,0.01,0.05,0.4,0.38
5-eM8WScZ8M,슬픔,0.0,0.05,0.14,0.77
1VcJcQOIwgc,중립,0.06,0.0,0.92,0.01
Zms7G0Kqo4E,공포,0.0,0.08,0.02,0.05
-I5xm9HFXas,중립,0.04,0.11,0.42,0.17
lJeg_dwiXdg,슬픔,0.03,0.14,0.29,0.47
wcRvHXSozmE,중립,0.04,0.01,0.93,0.01
8FUxpVqgrtc,중립,0.05,0.01,0.89,0.03
_tH5NTfITTs,슬픔,0.03,0.18,0.34,0.38
4PKQBDr8P8g,,,,,
0gaWNHlfYhQ,,,,,
OdVLxa9tXWY,,,,,
2wIKt5ZF4xU,,,,,
jub6NCXDJVo,슬픔,0.0,0.34,0.05,0.52
0tIRsp5Hdno,중립,0.0,0.0,0.49,0.09
DovPF3GUzAM,슬픔,0.0,0.01,0.32,0.59
DkqFSB47O00,중립,0.03,0.05,0.65,0.27
nu8ldSCgi10,슬픔,0.05,0.05,0.32,0.54
KQ-wTLfE7eo,,,,,
c3hEsThxWTM,놀람,0.0,0.04,0.4,0.07
p7gpJbgI3y0,중립,0.0,0.0,0.96,0.03
_6RLYelMWJ8,슬픔,0.01,0.15,0.39,0.41
LOuWb50qWRU,슬픔,0.01,0.05,0.12,0.63
2IOH1vfLd1M,분노,0.06,0.44,0.05,0.15
QiEo5hxLq9E,슬픔,0.0,0.12,0.09,0.4
haImRKZcPK0,중립,0.02,0.11,0.82,0.05
RI_Yu_cwhWU,슬픔,0.26,0.03,0.18,0.44
SmWrK_vd7uI,,,,,
i60cwf4kdfc,슬픔,0.02,0.07,0.19,0.59
7gQeTK4734U,기쁨,0.94,0.01,0.02,0.01
bjS4VPLpLhQ,기쁨,0.4,0.05,0.16,0.17
UpBCzXtXCtE,,,,,
aOQQwOo2OEo,,,,,
n9kntoWi0Kg,,,,,
v4EGRQVesNU,,,,,
V_RGxLZRYEE,슬픔,0.14,0.17,0.17,0.35
2sgXYRvHNlU,기쁨,0.87,0.0,0.01,0.11
gqzstmejGyM,기쁨,0.29,0.18,0.14,0.24
x73f1Wcdt68,분노,0.05,0.5,0.18,0.22
eB5ySpu06oc,기쁨,0.97,0.02,0.01,0.0
aPdqIzCG0iw,공포,0.0,0.01,0.0,0.45
3ULxjQZuPHw,기쁨,1.0,0.0,0.0,0.0
9-Yik__p_20,놀람,0.0,0.0,0.0,0.0
GCWEim7Cwt0,놀람,0.05,0.0,0.19,0.01
eg3gtPpn6Ks,중립,0.06,0.33,0.6,0.0
xxadZoPjX7g,공포,0.01,0.07,0.28,0.26
kzRE2H1Wbtw,슬픔,0.01,0.16,0.1,0.57
BgQITIsYvwc,슬픔,0.0,0.01,0.05,0.75
jIUhrifNVCA,중립,0.03,0.03,0.83,0.04
4cQ4qrHtTs4,,,,,
0iCNRVesItI,,,,,
T9nrSDuVj9g,,,,,
kpydCrKenrM,중립,0.01,0.09,0.88,0.01
tbNpoHhF8uo,슬픔,0.01,0.01,0.4,0.53
nIDW6I45VzA,슬픔,0.07,0.05,0.35,0.45
Y5MWcuVONxo,,,,,
DGZsPoodnZI,공포,0.0,0.03,0.04,0.05
GMm0USYdTys,,,,,
SZZrHuru860,,,,,
Gi0MOEERgZ0,중립,0.16,0.13,0.36,0.34
wlNle86UfcM,,,,,
ghm_c_s9Luw,,,,,
DHlpZhRhG7M,슬픔,0.02,0.02,0.12,0.43
ERLN87qKDR0,중립,0.0,0.08,0.48,0.34
_kN-b9rYbQs,중립,0.0,0.05,0.93,0.02
nQckoyS-ndI,중립,0.0,0.18,0.69,0.06
ZNxClCHjVYU,중립,0.0,0.2,0.47,0.16
zhE4ao8nyiA,중립,0.0,0.03,0.79,0.17
5-JanXjSHhM,중립,0.0,0.05,0.53,0.38
mIxLNMmssNI,중립,0.24,0.0,0.73,0.0
6CfQmd3AYu8,기쁨,0.94,0.0,0.05,0.0
MLXCCOKBIbk,기쁨,0.97,0.0,0.03,0.0
GiRRyhXyroI,,,,,
U7CaxmTtUs0,분노,0.38,0.47,0.01,0.07
XDQBLnsurnU,분노,0.18,0.36,0.09,0.2
NXheYHy4Zg0,중립,0.0,0.15,0.71,0.09
x44H46JYlkE,공포,0.04,0.03,0.05,0.06
dbVe_1tY2eQ,분노,0.0,0.79,0.08,0.07
024ETO-RBE4,놀람,0.0,0.0,0.0,0.0
Vm8L7K9Apg4,기쁨,0.96,0.01,0.0,0.0
gdT5yf0fmMg,놀람,0.0,0.0,0.0,0.0
VcC6MLJ177k,슬픔,0.21,0.06,0.23,0.31
SwkSyOUZsPs,중립,0.0,0.32,0.49,0.1
3txiB5Vq4js,슬픔,0.0,0.01,0.39,0.56
mxss6MhVg2o,슬픔,0.02,0.03,0.03,0.54
VtLUy7AIQsA,중립,0.0,0.14,0.62,0.11
ZAeCdH13oDs,중립,0.43,0.0,0.48,0.02
LWvfs-Nv2iM,기쁨,0.98,0.0,0.0,0.0
qXqlS0-zeqc,공포,0.05,0.18,0.06,0.23
AoIIHtE9Qf8,중립,0.01,0.07,0.55,0.3
JF9HoZWHxYQ,슬픔,0.0,0.04,0.21,0.67
ECZs7rCrFrs,분노,0.08,0.41,0.26,0.05
0k0uOew5STQ,슬픔,0.04,0.04,0.41,0.5
W5ruxipPGMM,기쁨,0.72,0.01,0.22,0.04
G0uBy50ykfk,기쁨,0.98,0.0,0.01,0.0
00uT4SbZvtM,기쁨,1.0,0.0,0.0,0.0
hiKOxxzn2e4,기쁨,0.63,0.11,0.21,0.02
lFQ4dVfp1pg,중립,0.0,0.15,0.78,0.07
aWjtq6I-JPE,기쁨,1.0,0.0,0.0,0.0
4DSRzWvGVzM,중립,0.0,0.02,0.5,0.14
Yn1YBEpcqGY,중립,0.01,0.17,0.36,0.31
PQ-v0NH1Dyk,중립,0.0,0.03,0.86,0.07
ju1ZwH2XD54,중립,0.0,0.01,0.97,0.0
AS2FUdgMVWI,놀람,0.17,0.09,0.11,0.01
j7WFMtafgDA,중립,0.04,0.0,0.94,0.01
zyJQ9Bvg2Vs,분노,0.02,0.73,0.03,0.17
pJ0yrajP2gY,,,,,
qwvKoC7tCho,공포,0.01,0.05,0.04,0.43
ti5pAD19skI,중립,0.26,0.03,0.63,0.06
AjZeQ0mWvZY,중립,0.01,0.05,0.81,0.04
AppYkttbHho,,,,,
xzPEwwFPITw,,,,,
nSXqIW3dmj8,기쁨,0.77,0.01,0.21,0.02
GiptwHt3D8g,,,,,
bGEg4BBiSxQ,공포,0.13,0.15,0.12,0.21
07h8lbf70I4,분노,0.01,0.57,0.02,0.05
k2QginbnLkc,분노,0.02,0.51,0.01,0.01
3YA8tArGpxk,분노,0.0,0.47,0.23,0.13
WiQsKnlj3B4,분노,0.0,0.31,0.2,0.14
Dk_SO730kqA,,,,,
k7eiGoXJTpI,슬픔,0.0,0.02,0.05,0.34
GWOj4cZ_62Q,중립,0.0,0.04,0.8,0.08
u5AjUBltuuo,놀람,0.0,0.38,0.1,0.06
Ldt12-cIRdw,공포,0.06,0.1,0.01,0.01
8VcLe-_LxEg,중립,0.0,0.22,0.33,0.15
65hSutTikMk,슬픔,0.01,0.23,0.29,0.32
01LyvSUfnQI,중립,0.01,0.07,0.66,0.25
x17HaTjdxa0,,,,,
3Ag8z1iLoKM,분노,0.02,0.87,0.0,0.01
F_B8lfHMH0s,분노,0.05,0.44,0.08,0.4
3EufUA-5HoQ,중립,0.02,0.46,0.51,0.0
o2tsEa1Kv0o,중립,0.03,0.28,0.48,0.15
mLLOTnxyEO0,슬픔,0.01,0.1,0.03,0.51
Pzj-0GOWthA,중립,0.02,0.01,0.64,0.31
mgOzt-XDzkE,분노,0.01,0.87,0.01,0.1
rw_4NxSal3k,,,,,
CRx-B3DJtNU,슬픔,0.01,0.28,0.07,0.39
MI_7wOBA8EA,,,,,
FitbWwJAT0M,,,,,
4svGFhVvy5s,,,,,
-uSgG8ftEHA,분노,0.0,0.97,0.01,0.0
9af9JF6DH9w,놀람,0.01,0.26,0.19,0.05
kpcTI5wKKvM,,,,,
JUE9aLYVhrk,공포,0.06,0.05,0.11,0.05
95bDbjpOfx4,기쁨,0.97,0.0,0.02,0.0
MFsgyftJAck,기쁨,0.64,0.02,0.17,0.06
ptUduz9z-FQ,슬픔,0.0,0.11,0.18,0.67
FnbD4wqWye8,슬픔,0.01,0.07,0.32,0.49
-idOju-zBlw,중립,0.01,0.05,0.77,0.1
rbgZaG1S3Uw,중립,0.01,0.02,0.92,0.04
EmdVwmnCS5M,중립,0.01,0.15,0.41,0.1
DePnmE9Gpfc,슬픔,0.14,0.05,0.21,0.58
Niy8ocX6djQ,중립,0.03,0.06,0.88,0.03
NhoUQaB7OqY,기쁨,0.96,0.0,0.03,0.0
Fu9H7aTlJwM,,,,,
GHbbswVEBes,중립,0.01,0.01,0.82,0.13
Lo8LlVVe0LI,,,,,
tYl8dIFa10k,놀람,0.0,0.0,0.0,0.0
J_TifaPCi5I,기쁨,0.58,0.1,0.24,0.03
PA0Gd0LOI3Q,중립,0.02,0.01,0.92,0.03
utw7GEBv7Ps,,,,,
h_zoeJ9MYkw,분노,0.0,0.94,0.01,0.03
zipQtq_fmlc,기쁨,0.98,0.0,0.01,0.0
dZWElPsU2Ls,기쁨,0.41,0.09,0.26,0.21
RU1MueWD13M,,,,,
nU03C6hZ00g,기쁨,0.97,0.0,0.03,0.0
duvGtl4H7wY,슬픔,0.0,0.12,0.41,0.42
CFIHZbcxseQ,분노,0.0,0.83,0.0,0.02
