Channel Name,Channel Link,Subscribers,Average Daily Views
"다이어트 과학자 최겸 Gyum Choi","https://vling.net/channel/UChXDq9Izwq-pTzeUWzwXL3A","603000","79982"
"한의사트레이너","https://vling.net/channel/UC_KjTyC5e0DFNxn6GIgBxcQ","144000","35569"
"블락스blocks","https://vling.net/channel/UC5qF47U0ErUHBgK4Rgy5ymA","10100","294"
"김지만TV","https://vling.net/channel/UCCFD5pLnLB2oEb4tPm1YemA","141000","995"
"김소영건강체조티비-Health gymnastics","https://vling.net/channel/UCSi2gkWNFwoMpb5Nu19EnpA","53000","16501"
"통증교정 수연쌤","https://vling.net/channel/UCafAiwzaq1wXHIJOCm4zSoQ","12400","1055"
"우수한 영양학","https://vling.net/channel/UCxkwgIYCm3vLlYITOzdByZg","62800","7539"
"빵느","https://vling.net/channel/UCRrZ5RYIalHLiHq5ftzxM6A","711000","66720"
"홍삼아 댄스&에어로빅","https://vling.net/channel/UCNcl4-NKaNrX0CBK3Gmd5Ag","21400","3136"
"약초1번지","https://vling.net/channel/UCvf59uLGe-VyEcoNsp15K0w","102000","532"
"DENTIS_official","https://vling.net/channel/UCv5oPNeMFM1TY4RPv8DFpiw","32900","238"
"보이스멘토소리방송","https://vling.net/channel/UCkJThHTYxa9g_NMuduvB59g","16100","902"
"묘한의사","https://vling.net/channel/UCfoYhXOvlYcQ77DFjoKVShw","43700","2203"
"백세건강","https://vling.net/channel/UCDnD2G8DJDWC8l3PxV8Z-9w","31500","40"
"한창수의 마음정비소","https://vling.net/channel/UCrYTwrtIYWH_woB6mbgoTqQ","56600","25482"
"꾸준명언","https://vling.net/channel/UC2V7hgTgygljIgJ562fqr2w","91800","10773"
"홍슐린 Hongsulin","https://vling.net/channel/UCCwxxUvGt5eV1d0oNQuoGew","31400","626"
"1분운동프로젝트","https://vling.net/channel/UC64jajnyiD8I9X-5Sg8j3Xg","15100","229"
"건강한 하루일기","https://vling.net/channel/UCGDjp1fHJsal8ytfTbugyGw","22300","73"
"한국암웨이 | Amway Korea","https://vling.net/channel/UCFIvAd47LFnUAAQWsvfgLrw","61800","2728"
"김수연의 우아한 노화","https://vling.net/channel/UC-OldTguSguK0v-d21Tmryw","53100","25924"
"바이탈뷰티 VITALBEAUTIE","https://vling.net/channel/UC5u0ZAjYsDroA7OxPWusW8w","15100","88"
"부산대학교병원","https://vling.net/channel/UCEIt2uHc6gErZ5OhM_4PD1Q","11200","3462"
"한님쌤 필라테스","https://vling.net/channel/UCwmRBz79DCVq3v8FHBcAyZQ","35900","6958"
"습관 교육자 호남두","https://vling.net/channel/UCiUGAEAdFdVklbAuNr4pBjA","100000","15477"
"서울아산병원","https://vling.net/channel/UC08tP3KIyCK9vYNZm5qQuiw","386000","26365"
"Go민정이","https://vling.net/channel/UCkIEhLQ_Qklj_5kI-2CVtLg","52700","3981"
"다이어트독학","https://vling.net/channel/UCYNbAXBuzpf1-EzWxZpxVkw","31600","3894"
"원더풀 마인드","https://vling.net/channel/UC_tSje-LM1-3KBrpnRCx-uA","22300","1164"
"남의철 DEEP & HIGH SPORTS","https://vling.net/channel/UChH-OfsKn49iR5NiFmKqlSg","12200","521"
"DN.Beauty Spanish","https://vling.net/channel/UC6djDPQBnPKgQfabG1AWvVw","170000","14101"
"운동발전소","https://vling.net/channel/UCKcoIgqVJfhkM90ouK8TFaw","16700","315"
