channel_name,channel_id,subscribers,avg_daily_views
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,603000,79982
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,144000,35569
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,10100,294
김지만TV,UCCFD5pLnLB2oEb4tPm1YemA,141000,995
김소영건강체조티비-Health gymnastics,UCSi2gkWNFwoMpb5Nu19EnpA,53000,16501
통증교정 수연쌤,UCafAiwzaq1wXHIJOCm4zSoQ,12400,1055
우수한 영양학,UCxkwgIYCm3vLlYITOzdByZg,62800,7539
빵느,UCRrZ5RYIalHLiHq5ftzxM6A,711000,66720
홍삼아 댄스&에어로빅,UCNcl4-NKaNrX0CBK3Gmd5Ag,21400,3136
약초1번지,UCvf59uLGe-VyEcoNsp15K0w,102000,532
DENTIS_official,UCv5oPNeMFM1TY4RPv8DFpiw,32900,238
보이스멘토소리방송,UCkJThHTYxa9g_NMuduvB59g,16100,902
묘한의사,UCfoYhXOvlYcQ77DFjoKVShw,43700,2203
백세건강,UCDnD2G8DJDWC8l3PxV8Z-9w,31500,40
한창수의 마음정비소,UCrYTwrtIYWH_woB6mbgoTqQ,56600,25482
꾸준명언,UC2V7hgTgygljIgJ562fqr2w,91800,10773
홍슐린 Hongsulin,UCCwxxUvGt5eV1d0oNQuoGew,31400,626
1분운동프로젝트,UC64jajnyiD8I9X-5Sg8j3Xg,15100,229
건강한 하루일기,UCGDjp1fHJsal8ytfTbugyGw,22300,73
한국암웨이 | Amway Korea,UCFIvAd47LFnUAAQWsvfgLrw,61800,2728
김수연의 우아한 노화,UC-OldTguSguK0v-d21Tmryw,53100,25924
바이탈뷰티 VITALBEAUTIE,UC5u0ZAjYsDroA7OxPWusW8w,15100,88
부산대학교병원,UCEIt2uHc6gErZ5OhM_4PD1Q,11200,3462
한님쌤 필라테스,UCwmRBz79DCVq3v8FHBcAyZQ,35900,6958
습관 교육자 호남두,UCiUGAEAdFdVklbAuNr4pBjA,100000,15477
