Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
정수TV,https://vling.net/channel/UCIr22z2digISvq4xZPKrvBg,UCIr22z2digISvq4xZPKrvBg,10500,154
아침서가,https://vling.net/channel/UCgC0VXue9VSCXZDrsLQtBKQ,UCgC0VXue9VSCXZDrsLQtBKQ,11000,1189
스마트한농부,https://vling.net/channel/UCLigSO1MhXVFCjHbKof729Q,UCLigSO1MhXVFCjHbKof729Q,250000,31434
촌스런TV. 천만원대 전원주택,https://vling.net/channel/UCRvZ_OYtexzkIFddh_FTGyw,UCRvZ_OYtexzkIFddh_FTGyw,15900,107
현주zutube,https://vling.net/channel/UCJMMSPO-0YnhxRWfGOPmqvA,UCJMMSPO-0YnhxRWfGOPmqvA,133000,1192
ONDO STUDIO,https://vling.net/channel/UCQt_7x3PYzs4FNHtYb43tRg,UCQt_7x3PYzs4FNHtYb43tRg,190000,7255
도나미-donam e,https://vling.net/channel/UCY6-BFVypIlf55oyJdC0WBA,UCY6-BFVypIlf55oyJdC0WBA,46800,20690
금닥터,https://vling.net/channel/UCeMWIOj1VZhoIaQ6mkXUcgA,UCeMWIOj1VZhoIaQ6mkXUcgA,87200,18321
꿈돌이,https://vling.net/channel/UCTFg7L18_OehorWWU62iPSw,UCTFg7L18_OehorWWU62iPSw,32200,541
랄랄ralral,https://vling.net/channel/UCEX1cZB5TL7jyKejXdTXCKA,UCEX1cZB5TL7jyKejXdTXCKA,1960000,433920
 Gizem Hwang,https://vling.net/channel/UCtNL81i7j91pppgWxlufbKQ,UCtNL81i7j91pppgWxlufbKQ,133000,11955
류꼼민,https://vling.net/channel/UCECTcrCbe1H-DQKUAFvEIBQ,UCECTcrCbe1H-DQKUAFvEIBQ,24600,1320
헤이무,https://vling.net/channel/UCa5KbflziIj3gvCvz5CE0oA,UCa5KbflziIj3gvCvz5CE0oA,89400,5940
일상 속 사심 Sewing HJ's Joy,https://vling.net/channel/UCpAda5_TH4KhAoCE3t1DVQA,UCpAda5_TH4KhAoCE3t1DVQA,13200,456
멜봉 네덜란드 MelBong,https://vling.net/channel/UCz0F9ndJTA0eL2XyL5R8YNg,UCz0F9ndJTA0eL2XyL5R8YNg,206000,29431
유지원,https://vling.net/channel/UCMh6-6fJhY0hpQMhfGNPGgA,UCMh6-6fJhY0hpQMhfGNPGgA,27500,2259
효풍수지리회,https://vling.net/channel/UCPi3-1DWLuZfu8TUWN-8f0A,UCPi3-1DWLuZfu8TUWN-8f0A,127000,19676
mansoo lee,https://vling.net/channel/UCycXBUtXYqh3l1zXMHUDm-g,UCycXBUtXYqh3l1zXMHUDm-g,101000,496
심스아뜰리에,https://vling.net/channel/UCFGSI47BkphBXXak6I2Risw,UCFGSI47BkphBXXak6I2Risw,12100,133
유현SHINE,https://vling.net/channel/UCD-OvrYXC3uxq5xL9mKi2vQ,UCD-OvrYXC3uxq5xL9mKi2vQ,23400,1947
아넷맘 ,https://vling.net/channel/UCZZ5nb0gNE4nTWW7xcA_0zg,UCZZ5nb0gNE4nTWW7xcA_0zg,28700,13931
다다다패밀리,https://vling.net/channel/UCByWMbQ_HKD_iOJYSltT3UQ,UCByWMbQ_HKD_iOJYSltT3UQ,29400,27653
주리온 일상토크,https://vling.net/channel/UCWfmj27GDYWNzsn6KQHVQmg,UCWfmj27GDYWNzsn6KQHVQmg,10000,2653
토게토게,https://vling.net/channel/UC0B6ch3-JcCiHHGjbL-g1IQ,UC0B6ch3-JcCiHHGjbL-g1IQ,27500,3460
김껄껄,https://vling.net/channel/UCkkytk6zJ92YxyC5t3AHQZg,UCkkytk6zJ92YxyC5t3AHQZg,18300,5007
김미선,https://vling.net/channel/UCirE2xLmVE5i8xSi_7bpvsA,UCirE2xLmVE5i8xSi_7bpvsA,29300,2426
츄발라Chuvalla,https://vling.net/channel/UCvQP9MKfJMAIZ6T5zJ9xlDw,UCvQP9MKfJMAIZ6T5zJ9xlDw,61900,1995
타즈맨극장,https://vling.net/channel/UCk8rmqYhsOQ73iMGbbG3_Gw,UCk8rmqYhsOQ73iMGbbG3_Gw,109000,38790
Huslee huslee,https://vling.net/channel/UCnNZam83jmvJoOLxfbubsrQ,UCnNZam83jmvJoOLxfbubsrQ,34200,270
일상이의 일상,https://vling.net/channel/UC5TPgnKQyu1tvm12NGX5n_A,UC5TPgnKQyu1tvm12NGX5n_A,40300,2960
귀주부,https://vling.net/channel/UCjgcSuOh2vrY_70_pbU8_5w,UCjgcSuOh2vrY_70_pbU8_5w,13000,262
서정한 테니스,https://vling.net/channel/UC8KekFOWdWqLrTPrxwHwXvQ,UC8KekFOWdWqLrTPrxwHwXvQ,22400,1925
ondo온도,https://vling.net/channel/UCSn90DAxCF3yRs6mFK0-8TA,UCSn90DAxCF3yRs6mFK0-8TA,1220000,10345
오르다공방,https://vling.net/channel/UCcxY_JtqBcVM8FXCSjCO07g,UCcxY_JtqBcVM8FXCSjCO07g,20900,1339
Kel Belter,https://vling.net/channel/UCN-8aLgP4EjepO3umjJNucQ,UCN-8aLgP4EjepO3umjJNucQ,24600,932
전원시대부동산 양평전원주택 매매 매물 ,https://vling.net/channel/UCJy6dpsf-5freA9Vm8Y-ckw,UCJy6dpsf-5freA9Vm8Y-ckw,27300,3273
한샘박규리(서민경),https://vling.net/channel/UCzIOzU4ucHRsYrd6snF0uOg,UCzIOzU4ucHRsYrd6snF0uOg,10000,397
혼술 가글이,https://vling.net/channel/UC0ip5gp3BUMOVcCR5i5-SPQ,UC0ip5gp3BUMOVcCR5i5-SPQ,11100,2110
썰리템,https://vling.net/channel/UCTnPdNEVB12IYhuskQJC_Dw,UCTnPdNEVB12IYhuskQJC_Dw,31300,3221
용용썰썰,https://vling.net/channel/UCVKHm-zwPkX2m12vDaRCYDw,UCVKHm-zwPkX2m12vDaRCYDw,195000,2874
그냥혜,https://vling.net/channel/UC5iaVwMPNnYUkCqriaEDslQ,UC5iaVwMPNnYUkCqriaEDslQ,16900,3447
문션 Shawn,https://vling.net/channel/UCEnxfpmOmHn7HdOtEHwAMvg,UCEnxfpmOmHn7HdOtEHwAMvg,144000,5719
용설바위솔 & RC팩토리,https://vling.net/channel/UCbp1nr4XXx2R3ZRRpq5pR7w,UCbp1nr4XXx2R3ZRRpq5pR7w,62700,2675
스테파니 미초바 Stefanie Michova,https://vling.net/channel/UCE-SXCe6SPpfRlpmngOjRNQ,UCE-SXCe6SPpfRlpmngOjRNQ,121000,6004
여주하리부동산,https://vling.net/channel/UCfVYv8i5EfMByUlmc32kPVg,UCfVYv8i5EfMByUlmc32kPVg,14600,349
더좋은집 박성돈 대표,https://vling.net/channel/UCZkKnIz3RoYQoQjaSZhu4QQ,UCZkKnIz3RoYQoQjaSZhu4QQ,71400,10786
지니몬JINIMON,https://vling.net/channel/UCYpiChjgGyPt3WggIPNf29A,UCYpiChjgGyPt3WggIPNf29A,78700,1610
해그(haegg),https://vling.net/channel/UCYFGcC-iKw_7RrTS2b5HciQ,UCYFGcC-iKw_7RrTS2b5HciQ,12300,3486
아임우 I am woo(임우현),https://vling.net/channel/UCk-nPRU8BWGi2qiFhJFRnEA,UCk-nPRU8BWGi2qiFhJFRnEA,23600,978
 디자이너 우앙 Oingt,https://vling.net/channel/UCsBsU2OW1f1J4d93JRP3IgA,UCsBsU2OW1f1J4d93JRP3IgA,17100,1147
련수 rreonsu,https://vling.net/channel/UCr_mn7RZVtY_ex_pUtDNRFw,UCr_mn7RZVtY_ex_pUtDNRFw,48100,4994
디어코바늘 -Dear crochet,https://vling.net/channel/UCSCgRGUGixHLKEAHtoM5wVQ,UCSCgRGUGixHLKEAHtoM5wVQ,300000,4720
Café Juseyo,https://vling.net/channel/UC8rAoDFByG3iqUKWS2I0guw,UC8rAoDFByG3iqUKWS2I0guw,290000,1608
강화도수정부동산,https://vling.net/channel/UCV1C1P2TbMqX7knxbfSuQ-g,UCV1C1P2TbMqX7knxbfSuQ-g,19200,2555
마인드풀tv,https://vling.net/channel/UCmt0FK5Mk4uODTQLdPBesdA,UCmt0FK5Mk4uODTQLdPBesdA,159000,4033
박민하 FUNPARK,https://vling.net/channel/UCBvg_vyLkXoNBElP-61vYog,UCBvg_vyLkXoNBElP-61vYog,10000,774
안지민 Anji,https://vling.net/channel/UCsRLct-rRT_zmsav-M4IdwA,UCsRLct-rRT_zmsav-M4IdwA,73000,1673
허윤미디어,https://vling.net/channel/UCGdBIFa-EHM-ctGs6qOyUdg,UCGdBIFa-EHM-ctGs6qOyUdg,123000,698
박선민,https://vling.net/channel/UCyhpx3KrF-eZ9R7kk6M8ulQ,UCyhpx3KrF-eZ9R7kk6M8ulQ,12600,1861
Aylin YILDIZ,https://vling.net/channel/UCfA030EmqCfhsamYiAaWyOQ,UCfA030EmqCfhsamYiAaWyOQ,17600,1533
Gina Everywhere,https://vling.net/channel/UC4OU85kg-ERLAtWPVztwvKg,UC4OU85kg-ERLAtWPVztwvKg,28900,291
아라자연농원,https://vling.net/channel/UCyswRsbcvUFDg0bs3XrmyDA,UCyswRsbcvUFDg0bs3XrmyDA,18500,3876
박현근 건축살롱,https://vling.net/channel/UCAhZO2o3gO_eRLNF6cr0HFQ,UCAhZO2o3gO_eRLNF6cr0HFQ,10500,6274
하이! 레이 Hi ! Rei Couple,https://vling.net/channel/UCclDkMizrI6O37Qf_CyI_RA,UCclDkMizrI6O37Qf_CyI_RA,31300,5693
도울사주,https://vling.net/channel/UC68zOdIei8ezWkqs0xfUrNw,UC68zOdIei8ezWkqs0xfUrNw,17900,1043
달봄사연,https://vling.net/channel/UC9CAwd4W-whe--Hm-tes8TQ,UC9CAwd4W-whe--Hm-tes8TQ,26200,10709
하수구공식티비,https://vling.net/channel/UC75W_OZGTDlwLfCwMDg34qQ,UC75W_OZGTDlwLfCwMDg34qQ,69300,18471
행복꽃순제,https://vling.net/channel/UCkxJKtognO7wRwYjGrbLSaw,UCkxJKtognO7wRwYjGrbLSaw,16500,856
잉크잉크 Ink inc.,https://vling.net/channel/UCsK7GYrtIpv1PGI5e44RilA,UCsK7GYrtIpv1PGI5e44RilA,105000,7462
삽질하는두더지 ,https://vling.net/channel/UCR2_rReXL_GkiJXaccTGrLQ,UCR2_rReXL_GkiJXaccTGrLQ,22300,23060
고초희 Daily Chohees,https://vling.net/channel/UCyU9SS7OSXHox_ZRGBIVcCg,UCyU9SS7OSXHox_ZRGBIVcCg,16900,1670
BlueCabinet,https://vling.net/channel/UCjnn2rEWOo2_fblxrdR71cA,UCjnn2rEWOo2_fblxrdR71cA,86200,3485
걸리버TV,https://vling.net/channel/UChgRTd5p_CtPaJL2SQrIZEA,UChgRTd5p_CtPaJL2SQrIZEA,60300,3133
인생연재中,https://vling.net/channel/UC8GK-_qb3_i1PPw5ZEhUNMA,UC8GK-_qb3_i1PPw5ZEhUNMA,11800,1139
여자A 남자B WAMB,https://vling.net/channel/UCTKIUAl6O0TYTokDRVEKYvg,UCTKIUAl6O0TYTokDRVEKYvg,141000,1189
오은영의 버킷리스트,https://vling.net/channel/UCc8-vc45vK1-kUFZvii7s5g,UCc8-vc45vK1-kUFZvii7s5g,576000,134710
세리티 Serity,https://vling.net/channel/UCSD0MKMFT0bZP4jj6c5ihMw,UCSD0MKMFT0bZP4jj6c5ihMw,679000,5033
피기너스-쉽게배우는연애,https://vling.net/channel/UCliDkrsny0v-O5njKlW0ojQ,UCliDkrsny0v-O5njKlW0ojQ,383000,73455
하루그린 harugreen,https://vling.net/channel/UCrZhIOwljSJY1RsU-J637Og,UCrZhIOwljSJY1RsU-J637Og,206000,4678
귀농스쿨,https://vling.net/channel/UCDKPGYPUBDbRpiiV4WcMt3w,UCDKPGYPUBDbRpiiV4WcMt3w,41800,4998
부동산로그인,https://vling.net/channel/UCSWzXUOD9gYnC5kX4QQ5-pQ,UCSWzXUOD9gYnC5kX4QQ5-pQ,54900,1576
나미,https://vling.net/channel/UCEJct_yv0Jf21EtGu0WXRpw,UCEJct_yv0Jf21EtGu0WXRpw,26600,879
허니데이 HoneyDay,https://vling.net/channel/UCzn13a-rTjEVgnA6ngrVnnQ,UCzn13a-rTjEVgnA6ngrVnnQ,21300,6607
simsim maru,https://vling.net/channel/UCBI-8xjglNLy5lQz7h1oQ2A,UCBI-8xjglNLy5lQz7h1oQ2A,13300,375
쿠바댁Cubadek,https://vling.net/channel/UCO5-r80INIPyegas4_Lsf2w,UCO5-r80INIPyegas4_Lsf2w,75600,19676
횡성둥지부동산 | 전원주택·시골집 매매 ,https://vling.net/channel/UC92p5suRlU7TfLY4H779Q-A,UC92p5suRlU7TfLY4H779Q-A,11200,3256
명품옷수선,https://vling.net/channel/UCm48o9RsS8pYT08vCUxbfAA,UCm48o9RsS8pYT08vCUxbfAA,32200,540
듀박스,https://vling.net/channel/UCObCgw6Xf1NyD79N-HsnAig,UCObCgw6Xf1NyD79N-HsnAig,13400,269
장주억,https://vling.net/channel/UCrMy-P1RyBHBNdoGDXTjWXA,UCrMy-P1RyBHBNdoGDXTjWXA,20400,1991
🌈백복남TV🌈,https://vling.net/channel/UCymsfEqeanKtlGtyhgvHqqQ,UCymsfEqeanKtlGtyhgvHqqQ,15900,174
예원로그 yewonlog,https://vling.net/channel/UCeKBFsBhdGPDGlJvetF6pBA,UCeKBFsBhdGPDGlJvetF6pBA,74900,2759
يوميات سماسماسيمو,https://vling.net/channel/UCJO_y-U4tB3pYY29NbnZH4A,UCJO_y-U4tB3pYY29NbnZH4A,265000,1369
오영주 OH!YOUNGJOO,https://vling.net/channel/UCFsSyiKOtZD7YNt8uXHRlzg,UCFsSyiKOtZD7YNt8uXHRlzg,194000,3865
deemd 딤디,https://vling.net/channel/UCrFlv9c4LItVlIMCC2p6LOg,UCrFlv9c4LItVlIMCC2p6LOg,968000,17238
스튜디오 꾸미,https://vling.net/channel/UCoCypG-OUsdO_xX7LEwEctA,UCoCypG-OUsdO_xX7LEwEctA,11300,12342
양평전원주택전문채널 - 길공인중개사,https://vling.net/channel/UC_pN77tYhUtaKU0qGfq9dZQ,UC_pN77tYhUtaKU0qGfq9dZQ,83900,18272
Домулло Абдурахим OfficiaL,https://vling.net/channel/UC-ZzP_nw3iDK3G7XB591pmQ,UC-ZzP_nw3iDK3G7XB591pmQ,187000,11900
공간치유,https://vling.net/channel/UCFV6KeZ7eT7xoPlP4mSAhGg,UCFV6KeZ7eT7xoPlP4mSAhGg,83400,259
한나필름hannaFilm,https://vling.net/channel/UCte19Ut4oqvq3YglHKrVEjQ,UCte19Ut4oqvq3YglHKrVEjQ,10000,1259
에린남 Erinnam,https://vling.net/channel/UCDBst6RZE7Z6m4ROlSjr8Iw,UCDBst6RZE7Z6m4ROlSjr8Iw,45000,4306
TV박달재,https://vling.net/channel/UCFQcD_VjRLA_0Ej3qY4Ff6w,UCFQcD_VjRLA_0Ej3qY4Ff6w,22700,7543
또히DDOHEE,https://vling.net/channel/UC8Zv-JxGPLW0oZG4ZQaFQlQ,UC8Zv-JxGPLW0oZG4ZQaFQlQ,53200,397
우리데이 wooriday ,https://vling.net/channel/UCLt1_o4Y0WAZMTOAnJrfnCQ,UCLt1_o4Y0WAZMTOAnJrfnCQ,16900,2161
금똥,https://vling.net/channel/UCg7IDG09xtiIPO4XvZKmMpA,UCg7IDG09xtiIPO4XvZKmMpA,39800,49
미대오빠 귀촌 16년차,https://vling.net/channel/UCsdA5_pIg_lNlVJs57xxbpg,UCsdA5_pIg_lNlVJs57xxbpg,16600,105
오늘도 다영,https://vling.net/channel/UCbBhEPM6IsrAONowCfx3LIw,UCbBhEPM6IsrAONowCfx3LIw,21000,71
연분홍YEONBUNHONG,https://vling.net/channel/UC58GUNps_MNTjEguFA1bThA,UC58GUNps_MNTjEguFA1bThA,59500,3495
spy YoOnJI iN كوريا,https://vling.net/channel/UCQVLrz6za_aidRahNITXsOw,UCQVLrz6za_aidRahNITXsOw,27900,15
누구나부동산,https://vling.net/channel/UCblw2a-kVYB5rMDBqrpC7Cw,UCblw2a-kVYB5rMDBqrpC7Cw,18100,1974
Taeyarh Leather,https://vling.net/channel/UCoYm6-xuLcHm2sW79qfPPJw,UCoYm6-xuLcHm2sW79qfPPJw,12300,357
Keluarga  Mister Lee,https://vling.net/channel/UCk8ZuFVVxNugOzXIfMBJaCQ,UCk8ZuFVVxNugOzXIfMBJaCQ,12800,4782
슬이뷰,https://vling.net/channel/UC4RUS_IZjPOthrSel6zIT5A,UC4RUS_IZjPOthrSel6zIT5A,43700,130917
난알아요_Orchidia,https://vling.net/channel/UCYMEjYhBYdAT62a04F60HyA,UCYMEjYhBYdAT62a04F60HyA,35000,2958
The Happier ,https://vling.net/channel/UCaNOpzcXUXmf4xpxdsDiDKA,UCaNOpzcXUXmf4xpxdsDiDKA,11200,1847
