Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
문지혁의 보기드문책,https://vling.net/channel/UCP5hSBwJ2W7Lu9cwaO2-RgQ,UCP5hSBwJ2W7Lu9cwaO2-RgQ,10800,210
키우다문해력,https://vling.net/channel/UCYOJkpm4YHKSDPvAb0rud-w,UCYOJkpm4YHKSDPvAb0rud-w,22600,442
의대생TV / Med student TV,https://vling.net/channel/UCv3nMVluPlJp0hJ4g4HTXNg,UCv3nMVluPlJp0hJ4g4HTXNg,131000,1822
오빠두엑셀 l 엑셀 강의 대표채널,https://vling.net/channel/UCZ6UHYBQFBe14WUgxlgmYfg,UCZ6UHYBQFBe14WUgxlgmYfg,1670000,81139
퍼플아카데미TV,https://vling.net/channel/UCL6SW8VxQ3ne_Yq3Rm0keKw,UCL6SW8VxQ3ne_Yq3Rm0keKw,18600,247
참쌤스쿨,https://vling.net/channel/UCHwOQ9wD0XJLnCEYiHQM1jQ,UCHwOQ9wD0XJLnCEYiHQM1jQ,30900,688
별하 캘리그라피 이지은 작가 ,https://vling.net/channel/UCS0BVzOcvwYqsWfaY92WpSg,UCS0BVzOcvwYqsWfaY92WpSg,10800,447
EF Korea - 어학연수/유학,https://vling.net/channel/UCCKq9tQf5_341L76OqFXGEQ,UCCKq9tQf5_341L76OqFXGEQ,13500,190
해죽이북카페,https://vling.net/channel/UCARHbZtiBTOgDDjGm1k1Mmg,UCARHbZtiBTOgDDjGm1k1Mmg,33300,1369
조맹 Chommang_Drawing,https://vling.net/channel/UCm5108VByLkHnu4-b-moBLQ,UCm5108VByLkHnu4-b-moBLQ,2150000,48547
수학GOAT🐐,https://vling.net/channel/UCp6r5-YfW3i5_mF1Y2dJIVw,UCp6r5-YfW3i5_mF1Y2dJIVw,15600,9142
어션영어BasicEnglish,https://vling.net/channel/UCqQR8b-MTXuMgrV7scZfq_w,UCqQR8b-MTXuMgrV7scZfq_w,228000,1252
이현왕 - 재밌고 쓸모있는 '사주',https://vling.net/channel/UCiOlEit-GxhNmtlTeWL0FIw,UCiOlEit-GxhNmtlTeWL0FIw,98900,9265
Anwoo Mapping History,https://vling.net/channel/UC7tPhhDzo_IcNuAkSzpF9aQ,UC7tPhhDzo_IcNuAkSzpF9aQ,12600,2392
원리를 깨우치는 영어(원깨비),https://vling.net/channel/UCEFT7-JkggmFSNX8CncSs-A,UCEFT7-JkggmFSNX8CncSs-A,218000,2228
꿀찬튜브,https://vling.net/channel/UCN1sd9EdQLBB3wYeeBf8Cvw,UCN1sd9EdQLBB3wYeeBf8Cvw,23700,321
이사야,https://vling.net/channel/UC9-N-zkaxFVmurCYmpepaCA,UC9-N-zkaxFVmurCYmpepaCA,15200,2427
진짜녀석들 오픽,https://vling.net/channel/UCsTdGIy5I7vpt-8TsIQkKVQ,UCsTdGIy5I7vpt-8TsIQkKVQ,22800,2157
Tucker Programming,https://vling.net/channel/UCZp_ftx6UB_32VfVmlS3o_A,UCZp_ftx6UB_32VfVmlS3o_A,11800,94
나글조아캘리 (덕인),https://vling.net/channel/UC75ZYhG2jyDVmgzt4caBZ8Q,UC75ZYhG2jyDVmgzt4caBZ8Q,10600,2732
놀면서 배우는 심리학,https://vling.net/channel/UCONTlrUj5pVn7LammlleLJg,UCONTlrUj5pVn7LammlleLJg,872000,60504
온중국어 ON Chinese,https://vling.net/channel/UC5ZpIzwDrsT_IMvHGBTswRg,UC5ZpIzwDrsT_IMvHGBTswRg,99700,5207
