Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
후다닥요리,https://vling.net/channel/UC7ok_PMSTIY5Qg4ULxRoSNg,UC7ok_PMSTIY5Qg4ULxRoSNg,547000,32369
남자커피 Namja Coffee,https://vling.net/channel/UC85mXeWRaycnlFmrhBdaAlg,UC85mXeWRaycnlFmrhBdaAlg,311000,29482
나랏궁 여무강신정,https://vling.net/channel/UCajLD-PJlWxl79EaU4CsEyA,UCajLD-PJlWxl79EaU4CsEyA,11700,2573
엄마솜씨,https://vling.net/channel/UCxbB8MuYJIXrgao5duH677Q,UCxbB8MuYJIXrgao5duH677Q,106000,11934
내맘요리,https://vling.net/channel/UCoRzjhYrre-RDY4DD5Po6Rw,UCoRzjhYrre-RDY4DD5Po6Rw,10200,28
청년피자,https://vling.net/channel/UCwHedDHLt0IQjCn0X85kGsA,UCwHedDHLt0IQjCn0X85kGsA,14200,32480
아린네TV,https://vling.net/channel/UC7uDUfjLT_h84MRke28t8tw,UC7uDUfjLT_h84MRke28t8tw,21500,643
tattooist cokr,https://vling.net/channel/UC2bqeLsfzrNIy5hBwb05Ojg,UC2bqeLsfzrNIy5hBwb05Ojg,18400,718
엽동,https://vling.net/channel/UCflhJ_M35sFyC6agKg0jgnw,UCflhJ_M35sFyC6agKg0jgnw,215000,121177
엉복치 ,https://vling.net/channel/UCFt9M6I69JMtrx6TbyxNiHA,UCFt9M6I69JMtrx6TbyxNiHA,13900,94686
맛상무,https://vling.net/channel/UC1r112Pr9Ngcg2NtcE946HQ,UC1r112Pr9Ngcg2NtcE946HQ,638000,66196
아워홈,https://vling.net/channel/UCP4BzKRlQDURtYDiuMSV_Xg,UCP4BzKRlQDURtYDiuMSV_Xg,82000,115971
안그릭 AhnGreek,https://vling.net/channel/UCKMAypxln0KPUo8HW52NI2w,UCKMAypxln0KPUo8HW52NI2w,19400,1365
Edenilson Agricultor Pescador,https://vling.net/channel/UCBTgH-eBD4OzDVBw-yuif4w,UCBTgH-eBD4OzDVBw-yuif4w,16900,629
집밥 종갓집 며느리,https://vling.net/channel/UCDoNR057xP_CTmIMjxzUuaA,UCDoNR057xP_CTmIMjxzUuaA,381000,12637
데프콘TV,https://vling.net/channel/UCb4bVA5kBfTsZCLaN9iJqjQ,UCb4bVA5kBfTsZCLaN9iJqjQ,600000,264226
먹시미 Muksimi,https://vling.net/channel/UC9fnfz9S8ieKCfm1wHj0-pw,UC9fnfz9S8ieKCfm1wHj0-pw,58500,15078
데일리서울 한강 라이브캠,https://vling.net/channel/UCQKQTgZJo3PlxA-9V1Z51XA,UCQKQTgZJo3PlxA-9V1Z51XA,161000,10202
HYOMIN KOO구효민,https://vling.net/channel/UCpR5jOQT9_KGOC5KgQ9SWdQ,UCpR5jOQT9_KGOC5KgQ9SWdQ,265000,29851
엄폴 삼촌 Uncle Umpaul,https://vling.net/channel/UC5p4fTVsY6a8UiUuppVFtZg,UC5p4fTVsY6a8UiUuppVFtZg,40800,938
Gombom,https://vling.net/channel/UCoyhP9dnCyBhM2KByVGgqIw,UCoyhP9dnCyBhM2KByVGgqIw,28700,10994
미식도우미 샹키,https://vling.net/channel/UCLGqRC3E8cfGbP0wFi5ZfMw,UCLGqRC3E8cfGbP0wFi5ZfMw,12600,4040
산삼 능이 약초산행 TV,https://vling.net/channel/UCmPr2DAesVWT8f3YV7QpxUg,UCmPr2DAesVWT8f3YV7QpxUg,31300,391
플루타,https://vling.net/channel/UCcGCvrBgqcfwQ3ET3mZpEJQ,UCcGCvrBgqcfwQ3ET3mZpEJQ,18900,1288
MOCCA무비,https://vling.net/channel/UCRHbU_urWsx4mvSd-pokgMA,UCRHbU_urWsx4mvSd-pokgMA,13200,36040
박가린 [PARK GARIN],https://vling.net/channel/UCrCGfHtMds2D53LWYUz2Z1w,UCrCGfHtMds2D53LWYUz2Z1w,265000,5502
КАСЯ КИМ,https://vling.net/channel/UCmI0zekAJGHrutOsNyNUGeg,UCmI0zekAJGHrutOsNyNUGeg,389000,88580
청정원 푸드캐스트,https://vling.net/channel/UC0SI1QyV1HlA0aekZBouCWg,UC0SI1QyV1HlA0aekZBouCWg,32900,226741
뚜란DDURAN,https://vling.net/channel/UC-zTNxmso34vOOpyyEEgL3w,UC-zTNxmso34vOOpyyEEgL3w,11100,238
양장금주부,https://vling.net/channel/UCKm-cusLT76t3t4s9OgCqcA,UCKm-cusLT76t3t4s9OgCqcA,1340000,85684
마녀맘 변미자,https://vling.net/channel/UC5gDYne32_mbynL6SbQEE6g,UC5gDYne32_mbynL6SbQEE6g,14600,14594
CombleTV,https://vling.net/channel/UCKNHPabDTb61BGZZOxP6Epw,UCKNHPabDTb61BGZZOxP6Epw,106000,2611
