channel_name,channel_id,target_age
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,large
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,medium
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,small
김지만TV,UCCFD5pLnLB2oEb4tPm1YemA,medium
김소영건강체조티비-Health gymnastics,UCSi2gkWNFwoMpb5Nu19EnpA,medium
통증교정 수연쌤,UCafAiwzaq1wXHIJOCm4zSoQ,small
우수한 영양학,UCxkwgIYCm3vLlYITOzdByZg,medium
빵느,UCRrZ5RYIalHLiHq5ftzxM6A,large
홍삼아 댄스&에어로빅,UCNcl4-NKaNrX0CBK3Gmd5Ag,small
약초1번지,UCvf59uLGe-VyEcoNsp15K0w,medium
DENTIS_official,UCv5oPNeMFM1TY4RPv8DFpiw,small
보이스멘토소리방송,UCkJThHTYxa9g_NMuduvB59g,small
묘한의사,UCfoYhXOvlYcQ77DFjoKVShw,small
백세건강,UCDnD2G8DJDWC8l3PxV8Z-9w,small
한창수의 마음정비소,UCrYTwrtIYWH_woB6mbgoTqQ,medium
꾸준명언,UC2V7hgTgygljIgJ562fqr2w,medium
홍슐린 Hongsulin,UCCwxxUvGt5eV1d0oNQuoGew,small
1분운동프로젝트,UC64jajnyiD8I9X-5Sg8j3Xg,small
건강한 하루일기,UCGDjp1fHJsal8ytfTbugyGw,small
한국암웨이 | Amway Korea,UCFIvAd47LFnUAAQWsvfgLrw,medium
김수연의 우아한 노화,UC-OldTguSguK0v-d21Tmryw,medium
바이탈뷰티 VITALBEAUTIE,UC5u0ZAjYsDroA7OxPWusW8w,small
부산대학교병원,UCEIt2uHc6gErZ5OhM_4PD1Q,small
한님쌤 필라테스,UCwmRBz79DCVq3v8FHBcAyZQ,small
습관 교육자 호남두,UCiUGAEAdFdVklbAuNr4pBjA,medium
서울아산병원,UC08tP3KIyCK9vYNZm5qQuiw,large
Go민정이,UCkIEhLQ_Qklj_5kI-2CVtLg,medium
다이어트독학,UCYNbAXBuzpf1-EzWxZpxVkw,small
원더풀 마인드,UC_tSje-LM1-3KBrpnRCx-uA,small
남의철 DEEP & HIGH SPORTS,UChH-OfsKn49iR5NiFmKqlSg,small
DN.Beauty Spanish,UC6djDPQBnPKgQfabG1AWvVw,medium
운동발전소,UCKcoIgqVJfhkM90ouK8TFaw,small
온케어닥터 이찬용: 암.자율신경.통증,UCrbB5oQTj3o8zkUUQMAOwHg,medium
제니원장 요가수련과 철학,UCoNhtvmUg9TXjaSm9PHiRAg,small
정희원의 저속노화,UCxRSQfYmcVEI5jP3sOwnlpw,large
자율신경한의사 박원장,UCLZbDbQXnPlTVIqp9Nf7TdQ,medium
내조왕,UCL6doUTgz_nSC05J5DBMmFQ,small
60세 이후 건강,UC4NBaUA6_-v7Ry4qFVkp5DQ,small
지식라디오,UCOGa-Jq_2wQmcefhlrztCJg,small
맨날청춘,UC0T7zY8PkU80wPYzN-50jFw,small
백세의지혜,UC0UzIcP-JjKBKZe22Nv_OCw,small
닥터홍선생 (OS Dr.Hong),UCv4rzc34JS1pl3CA9RvqXcg,large
"우리동네 유방이야기, 우유티비",UC8nMtNQnCoyo2T4-nz0iXZg,small
아름약사,UCsF_qb0oB4E3RRZsNtBMbpw,small
박미경TV,UCqkpNJhqVNLECwRQYSiNFCg,medium
약드라이브,UCCGR6u27kI44_VWM1FJa7mw,small
헬스조선명의,UCtuElSetSJ8xdK2cSebqyzQ,medium
파워 POWER,UC7656hu-O-1r8XiXU0e68ew,small
닥터 표TV Dr Pyo TV,UCgFupN0s5eAxvvgAFgvriRA,medium
당뇨 극복하기 : 혈당연구소,UCF3foF-MPoSafImUPvN1etA,small
명상하는작은언니,UCMHZrwm4m_eKiGLfPFtY04w,small
손승도 힐링 TV,UCLaq_IZgG_w6emiu9FjSgWA,small
남성 파워 건강TV,UCCZtYfsHp_zsM58mMmfWoyA,small
KB라이프생명,UCrKJwnv6-psXk6AMDg5zX7A,small
몸짱 약사 민재원,UCukEBqgp_pY3VmyWV_MPxXg,medium
곱슬전문 필헤어테크,UCSaqhjR-MsRqblP-tIaRWDg,small
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,small
Table tennis 빼롱요롱TV,UClEtrURnmlkh05XYsAroz1Q,medium
명지병원-MYONGJI HOSPITAL,UCIRVUrwZPuVL05S9uBOpx8g,small
노후세계TV,UCq91_PZCktLCzztCGCEF4pQ,medium
