channel_name,channel_id,target_age,vling_url
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,18-24,https://vling.net/channel/UCahWSp7DQGJfXU1UX2BuqBA/viewers-info
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,18-24,https://vling.net/channel/UCz8X5F5Zp18WS7vdW0jwVIA/ai-insight
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,18-24,https://vling.net/channel/UCS1EqlF3NbRsn1rfWL_7_qA/viewers-info
머라클 MURACLE,UCfmYdGYK5yZkXehmxKsaLRw,18-24,https://vling.net/channel/UCfmYdGYK5yZkXehmxKsaLRw/ai-insight
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,18-24,https://vling.net/channel/UCTDFr-lur2d3dNBRwF0N_HA/viewers-info
헨티야 살빼야지,UCu6rbZ120HokurXiqnLUcOA,18-24,https://vling.net/channel/UCu6rbZ120HokurXiqnLUcOA/viewers-info
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,18-24,https://vling.net/channel/UCdI0eDsvLrdHCTYIPVyc8hw/viewers-info
다이어터윤,UCjf97H7AtbVfrX8-35Z302Q,18-24,https://vling.net/channel/UCjf97H7AtbVfrX8-35Z302Q/viewers-info
유어리아 your ria,UC9KoN-Yb1swVddjsezLegxA,18-24,https://vling.net/channel/UC9KoN-Yb1swVddjsezLegxA/viewers-info
닥터로미의 성형노트,UCO_MXYZzB5vNkdcCWUXz5Rg,18-24,https://vling.net/channel/UCO_MXYZzB5vNkdcCWUXz5Rg/ai-insight
에이핏,UCRGZCFuFCwp2D_YKByrqRfw,25-34,https://vling.net/channel/UCRGZCFuFCwp2D_YKByrqRfw/viewers-info
비니BINEE,UC8tr6-Eys0CjF9h-yAte9Gg,25-34,https://vling.net/channel/UC8tr6-Eys0CjF9h-yAte9Gg/channel-news
닥터벨 DRBELL,UCdIdgmrsh3h40jvxDDbSu5Q,25-34,https://vling.net/channel/UCdIdgmrsh3h40jvxDDbSu5Q/channel-news
제이제이살롱드핏,UCUsfRCHj5U1wAJEJiQpPLPw,25-34,https://vling.net/channel/UCUsfRCHj5U1wAJEJiQpPLPw/channel-news
채찍단,UCV-h8UJ12Ed-pTi4_X9mDEA,25-34,https://vling.net/channel/UCV-h8UJ12Ed-pTi4_X9mDEA/viewers-info
키다리형,UChWJavW1PbvAkPTcB06EeIg,25-34,https://vling.net/channel/UChWJavW1PbvAkPTcB06EeIg/channel-news
