channel_name,channel_id,video_id,title,description,published_at,tags,category_id,default_language,duration,dimension,definition,caption,view_count,like_count,favorite_count,comment_count,privacy_status,license,embeddable,made_for_kids,topic_categories,thumbnail_url,thumbnail_path
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,C5tKn3GzUMY,🔴 무르지 않고 끝까지 아삭아삭하게 오이깍두기 맛있게 만드는 방법,"🎁 옥소 스퀴즈 보통(양념통) 5개
1. 가격 : 25,900원
2. 택배비 : 3,500원

✔ ""후다닥 공구몰""에서 주문
 https://https://www.hoodadakshop.kr
☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-26T09:22:32Z,,26,ko,PT1H43S,2d,hd,false,10588,632,0,39,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/C5tKn3GzUMY/maxresdefault.jpg,thumbnails\후다닥요리\C5tKn3GzUMY.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,M4BANirJcRM,"🔴 그땐 몰랐지, 왜 도토리묵을 맛있는지, 메밀전에 사용된 재료","🎁 다강한정식 김치, 반찬류
다강한정식에서 판매하는 모든 김치류에는 
강진에서 재배한 쌀귀리 누룩 + 누룩소금을 첨가하였습니다. 

1. 쌀귀리 쪽파김치
- 1kg : 30,000원
- 2kg : 60,000원
- 3kg : 90,000원

2. 쌀귀리 포기생김치
- 2kg : 26,000원
- 3kg : 39,000원
- 5kg :65,000원
- 10kg : 130,000원

3. 쌀귀리 묵은지
- 2kg : 26,000원
- 3kg : 39,000원
- 5kg : 65,000원
- 10kg : 130,000원

4. 쌀귀리 숙성홍갓김치
- 2kg : 26,000원
- 3kg : 39,000원
- 5kg : 65,000원
- 10kg : 130,000원

5. 쌀귀리 백김치
- 2kg : 24,000원
- 3kg : 36,000원
- 5kg : 60,000원
- 10kg : 120,000원

6. 쌀귀리 열무김치
- 2kg : 18,000원
- 4kg : 36,000원
- 6kg : 54,000원
- 8kg : 72,000원
- 10kg : 90,000원

7. 양념게장 1kg : 35,000원
8. 떡갈비 1팩(2입) : 15,000원
9. 쌀귀리고추장 1kg : 30,000원
10. 오븐조리 보리굴비 1마리 : 15,000원

🚚 택배비 : 5,000원
(13만원이상 무료배송)
합배송 1박스 최대 18kg까지만 가능
중량 초과시에 5,000원 추가 됩니다..

🔶 원산지 표기 제품 별도 표기 
 - 쌀귀리첨가 김치, 고추장 장류등 첨가된 모든재료는 국내산
 - 오븐조리 보리굴비 부세[중국] 제조[국내] 

🔶 문자 주문 010-4430-3738

🔶 신협 입금 계좌번호🔶
       다강미가 문막래 132-081-359527

🔶 받으실분 성함 주소 남겨주세요
      [ 입금자/받는분 성함 다를경우 꼭남겨주세요 ]

🔶 배송은 선 입금 확인후 발송됩니다

🔶 택배 수령일 확인 부탁드려요 [ 꼭 확인!! ]
      다음주 17일 화요일부터 발송 시작됩니다. 
      [ 수령하실 날짜 기입 해주시면 감사합니다 ] 
      화,수,목,금 발송(보내는날) 예약 (받는날아님X) 

🔶 월,토,일요일 택배 발송 불가합니다

🔶 입금자명에 성함 이외에는 기입 하지말아주세요
      [ 오류로 분류되어 검토 시간이 오래걸려요 ]

🔶 한정식 식당을 같이 운영하다 보니 
     전화 연결이 바로 어렵습니다.  
     문자로 주문 상품 문의 남겨주시면 
    순차적으로 답변 해드리니 조금만 기다려주세요
     전화 통화 필요하심 [ 전화 해주세요 ] 
     메세지 남겨주셔요 연락 드리겠습니다
     감사합니다^^

#후다닥공구TV",2026-03-24T09:17:03Z,,26,ko,PT1H3M23S,2d,hd,false,47029,442,0,14,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/M4BANirJcRM/maxresdefault.jpg,thumbnails\후다닥요리\M4BANirJcRM.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,-fNsf-4Ff1o,"🔴 정원 예쁘게 만들기, 어떤 나무, 어떤 꽃을 심어야 집이 예쁠까 🤔🤔🤔","✔ ""후다닥 공구몰"" 둘러보기
 https://https://www.hoodadakshop.kr
☎ 피디 전화번호 : 010-4207-1235

🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-15T08:45:06Z,,26,ko,PT36M41S,2d,hd,false,18133,278,0,23,public,youtube,True,False,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/-fNsf-4Ff1o/maxresdefault.jpg,thumbnails\후다닥요리\-fNsf-4Ff1o.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,BI-nFbWsMsk,🔴 가벼워서 힘이 들이지 않고 사용하지 좋은 무선청소기는 어디꺼!!,"🎁 오토모비움 청소기 안내
1. 모델명 : AIR-2000WR
2. 가격 : 219,000원

✔ ""후다닥 공구몰""에서 주문
https:// https://www.hoodadakshop.kr

☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-13T08:46:25Z,,26,ko,PT35M5S,2d,hd,false,19816,160,0,8,public,youtube,True,False,,https://i.ytimg.com/vi/BI-nFbWsMsk/maxresdefault.jpg,thumbnails\후다닥요리\BI-nFbWsMsk.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,orWwa4LgaUM,"🔴 김장김치 질릴때 되었죠. 생김치로 입맛 살리기, 바로 담근 배추김치, 열무김치","🎁 다강한정식 김치, 반찬류
다강한정식에서 판매하는 모든 김치류에는 
강진에서 재배한 쌀귀리 누룩 + 누룩소금을 첨가하였습니다. 

1. 쌀귀리 쪽파김치
- 1kg : 30,000원
- 2kg : 60,000원
- 3kg : 90,000원

2. 쌀귀리 포기생김치
- 2kg : 26,000원
- 3kg : 39,000원
- 5kg :65,000원
- 10kg : 130,000원

3. 쌀귀리 묵은지
- 2kg : 26,000원
- 3kg : 39,000원
- 5kg : 65,000원
- 10kg : 130,000원

4. 쌀귀리 숙성홍갓김치
- 2kg : 26,000원
- 3kg : 39,000원
- 5kg : 65,000원
- 10kg : 130,000원

5. 쌀귀리 백김치
- 2kg : 24,000원
- 3kg : 36,000원
- 5kg : 60,000원
- 10kg : 120,000원

6. 쌀귀리 열무김치
- 2kg : 18,000원
- 4kg : 36,000원
- 6kg : 54,000원
- 8kg : 72,000원
- 10kg : 90,000원

7. 양념게장 1kg : 35,000원
8. 떡갈비 1팩(2입) : 15,000원
9. 쌀귀리고추장 1kg : 30,000원
10. 오븐조리 보리굴비 1마리 : 15,000원

🚚 택배비 : 5,000원
(13만원이상 무료배송)
합배송 1박스 최대 18kg까지만 가능
중량 초과시에 5,000원 추가 됩니다..

🔶 원산지 표기 제품 별도 표기 
 - 쌀귀리첨가 김치, 고추장 장류등 첨가된 모든재료는 국내산
 - 오븐조리 보리굴비 부세[중국] 제조[국내] 

🔶 문자 주문 010-4430-3738

🔶 신협 입금 계좌번호🔶
       다강미가 문막래 132-081-359527

🔶 받으실분 성함 주소 남겨주세요
      [ 입금자/받는분 성함 다를경우 꼭남겨주세요 ]

🔶 배송은 선 입금 확인후 발송됩니다

🔶 택배 수령일 확인 부탁드려요 [ 꼭 확인!! ]
      다음주 17일 화요일부터 발송 시작됩니다. 
      [ 수령하실 날짜 기입 해주시면 감사합니다 ] 
      화,수,목,금 발송(보내는날) 예약 (받는날아님X) 

🔶 월,토,일요일 택배 발송 불가합니다

🔶 입금자명에 성함 이외에는 기입 하지말아주세요
      [ 오류로 분류되어 검토 시간이 오래걸려요 ]

🔶 한정식 식당을 같이 운영하다 보니 
     전화 연결이 바로 어렵습니다.  
     문자로 주문 상품 문의 남겨주시면 
    순차적으로 답변 해드리니 조금만 기다려주세요
     전화 통화 필요하심 [ 전화 해주세요 ] 
     메세지 남겨주셔요 연락 드리겠습니다
     감사합니다^^

#후다닥공구TV",2026-03-12T09:07:12Z,,26,ko,PT58M32S,2d,hd,false,64927,340,0,6,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/orWwa4LgaUM/maxresdefault.jpg,thumbnails\후다닥요리\orWwa4LgaUM.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,TIb0Y-e-7Vo,"🔴 제철에 나오는 생톳, 생곰피 1년내내 두고 먹을 수 있는 방법, 곰피장아찌 레시피","🎁 생톳, 생곰피
1. 생톳 2kg : 15,000원
2. 곰피 2kg : 12,000원
🚚 무료배송


🎁 톳 전복죽
1. 톳 전복죽 5개 : 45,000원
2. 톳전복죽 10개 : 88,000원


🎁 전복 미역국
1. 전복미역국 5개 : 42,000원
2. 전복미역국 10개 : 81,000원


🎁 손질된 전복
1. 손질된 전복 5개 : 68,000원
2. 손질된 전복 10개 : 128,000원


🎁 새우젓(1kg) 주문 안내
1. 동백하젓 : 20,000원
2. 오젓 : 25,000원
3. 육젓 : 50,000원
4. 멸치액젓 2kg : 22,000원
5. 까나리액젓 2kg : 22,000원
6. 멸치진젓 1kg : 11,000원
7. 황석어젓 1kg : 11,000원
🚚 택배비 : 4,000원


✔ ""후다닥 공구몰""에서 주문
https://https://www.hoodadakshop.kr

☎ 피디 전화번호 : 010-4207-1235



🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-10T09:07:35Z,,26,ko,PT55M48S,2d,hd,false,50542,342,0,14,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/TIb0Y-e-7Vo/maxresdefault.jpg,thumbnails\후다닥요리\TIb0Y-e-7Vo.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,pMQyR49XXPs,"🔴 봄바람이 가져 온 상큼한 오이무침, 쉽고 맛있게 마파두부 레시피","🎁 알텐바흐 저압냄비
1. 4리터 : 183,000원
2. 11리터 : 226,000원
☆ 10일까지 발송

3. 7리터 : 203,000원
☆ 3월말경 발송


🎁 통 5중, 바닥 7중 후라이팬
- 국내생산, 포스코 원재료
- 후라이팬 26cm : 49.000원
🚚 택배비 : 3,500원


✔ ""후다닥 공구몰""에서 주문
 https://https://www.hoodadakshop.kr
☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-08T08:58:59Z,,26,ko,PT37M52S,2d,hd,false,34895,417,0,27,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/pMQyR49XXPs/maxresdefault.jpg,thumbnails\후다닥요리\pMQyR49XXPs.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,meuEMJsYbaY,🔴 봄동비빔밥이 인기라네요. 그러면 먹어봐야죠.,"🎁 알텐바흐 저압냄비
1. 4리터 : 183,000원
2. 11리터 : 226,000원
☆ 10일까지 발송

3. 7리터 : 203,000원
☆ 3월말경 발송


✔ ""후다닥 공구몰""에서 주문
 https://https://www.hoodadakshop.kr
☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-03T08:54:56Z,,26,ko,PT46M30S,2d,hd,false,71723,513,0,11,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/meuEMJsYbaY/maxresdefault.jpg,thumbnails\후다닥요리\meuEMJsYbaY.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,5qEX4XCE6tc,"🔴 시간과 정성을 더해 집에서 만드는 닭조림, 스텐후라이팬으로 계란후라이 만드는 방법","🎁 통 5중, 바닥 7중 후라이팬
- 국내생산, 포스코 원재료
- 후라이팬 26cm : 49.000원
🚚 택배비 : 3,500원


🎁 후다닥육수 이벤트 행사 중
1. 5봉지 : 35,500원
2. 10봉지 + 1 : 57,900원
🚚 무료배송
- 3월 8일까지 진행합니다.


✔ ""후다닥 공구몰""에서 주문
 https://https://www.hoodadakshop.kr
☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-01T09:45:32Z,,26,ko,PT1H6M29S,2d,hd,false,45605,379,0,24,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/5qEX4XCE6tc/maxresdefault.jpg,thumbnails\후다닥요리\5qEX4XCE6tc.jpg
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,qjXcODcc7-E,"🔴 정월대보름 나물 만드는 방법, 어떤 양념이 들어가야 맛있을까 🤔🤔🤔 오곡밥 재료","🎁 평창 자연 건조 시래기
1키로 : 24,000원
🚚 택배비 : 무료배송


🎁 정선 마른나물 
1. 곤드레(150g) : 12,000원
2. 취나물(180g ) : 12,000원
3. 부지갱이(180g) : 13,000원
4. 고사리(150g) : 22,000원
5. 어수리(130g) : 12,000원
6. 눈개승마(80g) : 12,000원
7. 고추부각(200g) : 12,000원
🚚 택배비 : 3,500원
☆ 5봉지 이상 무료배송


✔ ""후다닥 공구몰""에서 주문
https://https://www.hoodadakshop.kr

☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-02-24T08:28:44Z,,26,ko,PT1H7M4S,2d,hd,false,35783,625,0,18,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/qjXcODcc7-E/maxresdefault.jpg,thumbnails\후다닥요리\qjXcODcc7-E.jpg
