channel_name,channel_id,video_id,title,description,published_at,tags,category_id,default_language,duration,dimension,definition,caption,view_count,like_count,favorite_count,comment_count,privacy_status,license,embeddable,made_for_kids,topic_categories,thumbnail_url,thumbnail_path
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,SYAeout8bdA,"""5년 뒤에는 상식이 됩니다"" 최적의 비타민D 섭취 가이드 (고정댓글에 추천 제품 공개)","💊 원활한 비타민D 대사를 위해 제가 추천하는 조합은 다음과 같습니다.
1) 비타민D 보충제 고르기
- A안: 비타민D 5000IU : 아이허브(180정, 15173원) https://iherb.co/wsBMxAKY
- B안: 비타민D+K2 : 아이허브(60정, 22879원) https://iherb.co/iBmyZ6Ln

2) 마그네슘 고르기: 마그네슘은 비타민D 대사 보조에 중요
- A안: 트레온산 마그네슘(90정, 43,005원) https://iherb.co/5sespN3P
- B안: 마그네슘 글리시네이트(180정, 23,251원) https://iherb.co/EuKCUkeA

3) 오메가3 보충제 또는 음식을 통해 지방 충분히 보충하기
- 칼슨 액상 대구간유(500ml, 63,527원) https://iherb.co/CYBWjTVC
- 칼슨 소프트젤(180정, 47385원) https://iherb.co/1TEE5eFQ

4) 가능할 때 햇빛 충분히 쐬기(여름을 제외한 계절에는 정오 전후로 15분 정도는 쐬어주기)

위의 링크는 어떻게 제품을 구매할지 모르시는 분들을 위해 참고하실 수 있게 넣었습니다. 해당 링크로 구매할 경우 ‘아이허브’의 리워드 시스템으로부터 소정의 수수료를 받습니다. 이 수익으로 더 좋은 것들 먹어보고 알려드릴 수 있게 귀하게 쓰겠습니다.


📝 ""남들보다 앞서가는 건강 정보를 매주 2번씩 받아보세요"" 
최겸의 건강뉴스레터 신청 👉 https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.


🥵 사우나 애호가들에게서 알아낸 전국 사우나·스파 리스트
서울: 청담 프리마스파 / 리버사이드호텔 더 메디스파 / 청담 면역공방 / 스파레이 / 초이스바이반트 / 롯데골드로즈 사우나 / 클럽케이서울 / 스파렉스 / 우리유황온천 / 하이렉스 스파 / 드봉여성사우나 / 솔로사우나레포 노량진점 / 마포365구민센터 사우나 / 숲속한방랜드 / 더파크스파랜드 / 삼호궁전보석사우나 / 오라카이 청계산 호텔 사우나

경기·인천: 네이처스파 / 테르메덴 / 주심 유황 참숯가마 / 아쿠아필드 고양 / 다산 스파디움24 / 파라다이스시티 스파 / 아쿠아필드 안성 / 아일랜드캐슬 / 가야랜드 / 아쿠아필드 하남 / 워터캐슬 하남미사점 / 월문온천 / 석모도 미네랄온천 / 더스파하우스

강원: 설해원 웰니스 리조트 / 오색탄산온천 / 필례 게르마늄온천 / 나무향기 불한증막 / 동해참숯찜질방 / 소노펠리체 델피노 / 해수보양온천 / 척산온천휴양촌

충청: 스플라스 리솜 / 아일랜드 리솜 / 파라다이스 스파 도고 / 스파비스 / 온양온천 / 킹스파 / 해브나인 스파 / 능암탄산온천 / 수안보 온천

경상: 허심청 / 소노캄 경주 / 거제도 해수보양온천 / 백두산천지온천 / 부곡 스파디움 / 마금산원당보양온천 / 스파더스페이스 / 상대온천 / 문경 STX 리조트 / 학가산 온천 / 영주온천 / 사일온천 / 덕구 온천리조트 스파월드 / 군불로 / 용암온천 / 힐링테마온천 / 스파랜드 센텀시티 / 클럽디오아시스 / 광안리 해수탕

전라: 담양온천리조트 / 율포해수녹차센터

제주: 제주 산방산 탄산온천 / 온쉼 / 해미안 녹차해수사우나 / 면역공방 제주 / 아라고나이트 고온천 / 오레브 핫스프링 앤 스파 / 소노벨 제주 호텔 사우나 / 하얏트호텔 사우나

📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

[도서] 최겸의 건강 프레임워크 : 스타일스맵(STILESMEPP) 
📓 도서(스타일스맵 플레이북) https://bit.ly/STILESMEPP2024
🎤 강연 https://youtu.be/FanyAAWpwgo?si=Xj8pNnb6SzCPCz4q

⏰ Time Line
00:00 인트로
00:26 비타민D 공급 방법
01:42 보충제 선택 기준
03:23 비타민D 복용 타이밍
04:01 마그네슘과 비타민K2
07:10 비타민D 복용 가이드
11:13 비타민D 영양제 가이드
13:53 햇빛을 통한 비타민D
27:18 음식을 통한 비타민D",2026-03-28T03:14:20Z,"비타민D,비타민",26,ko,PT30M15S,2d,hd,false,1498,133,0,6,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/SYAeout8bdA/maxresdefault.jpg,thumbnails\다이어트과학자최겸GyumChoi\SYAeout8bdA.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,tlpxVBv9pVQ,"병원에서 알려주지 않는 재활 이야기 2. 디스크, 협착증의 진짜 원인… 허리가 아니었습니다","0:00 영상 소개
0:51 척추가 무너지는 과정
3:14 코어가 무너지는 과정
5:10 디스크 발생 순서
6:47 디스크 고치는 순서
7:35 협착증 발생 순서
8:31 협착증 고치는 순서
9:25 측만증 발생 순서
9:48 요약 정리
11:12 인터넷에서 말하는 원인
12:37 해외 논문에서 말하는 디스크
13:45 향후 컨텐츠 예고

부산 더아름다운 한의원/ 재활운동센터
[전신 재활 예약]

이용현 대표 https://whattime.co.kr/lyhscr7
제자 예약(70% 저렴)  https://naver.me/GHYs0TVE
-------------------------------------------------------
다른 치료 케이스가 궁금하다면?

[어깨]
주사, 충격파 치료만 60회 넘게 받았는데 여전히 어깨가 아파요
https://youtu.be/ir-lBHXJd6w

어깨 충돌 증후군, 회전근개 파열, 이두근건염, 석회성건염까지
https://youtu.be/i4WUcHfQOmM

IFBB PRO 이진환 선수, 가슴 어깨 운동시 어깨 통증, 4년
https://youtu.be/ST1JuMvEXj0

견쇄관절염
https://youtu.be/cQwous9IsQg

어깨 충돌 증후군, 10년 된 어깨 통증
https://youtu.be/ZoD4iyRVdak

7년된 어깨 통증
https://youtu.be/BIdC2RxI1HU

회전근개 파열, 슬랩
https://youtu.be/COXv_8Bn_1s

슬랩
https://youtu.be/z5KMKEMjNJc

스테로이즈 주사만 50번, 그래도 안낫는 어깨 통증
https://youtu.be/E9B3khhaG_k

석회 수술 후에도 아픈 10년 넘은 어깨 통증
https://youtu.be/s3JTmpAKAnM

탈구 수술 2번, 16년 된 어깨 통증
https://youtu.be/M0gLUhaDelQ
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[목]
일자목, 버섯목 증후군 교정
https://youtu.be/IfhPvo1JNpY
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[허리]
디스크로 3번 시술해도 낫지 않는 허리 통증
https://youtu.be/WcUGDwEoAUk

수술 권유 받은 디스크 터짐 완치 케이스
https://youtu.be/8eQwhsjo7Pk

스쿼트 허리 불안정
https://youtu.be/ZAvjeS2WyHM
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[골반]
골반 찝힘으로 아예 뛰지 못한 케이스
https://youtu.be/ZJfTCDmKcV0

IFBB PRO 박성훈 선수, 움직이기도 힘든 고관절 통증
https://youtu.be/H1EvbQj2sWg

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[무릎]
달리기 무릎 통증, 장경인대염, 6개 병원에서 해결 못한 무릎 통증
https://youtu.be/rOowAPrMkYo

무릎 수술 후 1분도 걷기 힘든 무릎 통증
https://youtu.be/54c7Mxvc_9k

IFBB PRO 조남은 선수 스쿼트 무릎 통증
https://youtu.be/CB5Ygq7Ddxw

인공관절 수술 권유받은 무릎 통증
https://youtu.be/oUxIldcezJ8

1년간 주사, 충격파 치료해도 낫지 않던 무릎 통증
https://youtu.be/sA46H-YaiK4
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[아픈 곳 2군데 이상]
어깨, 허리 통증 운동하는데 아픈 케이스
https://youtu.be/gzPRXX_N5ws

어깨, 손목, 무릎, 허리 통증
https://youtu.be/9wZ5YwZRDV8
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[팔꿈치]
3천만원 써도 낫지 않던 팔꿈치 통증
https://youtu.be/lDSrGs8xqo0
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[손목]
재활 PT 50번 받아도 낫지 않는 손목 통증
https://youtu.be/gKi9FD-_y-E
-------------------------------------------------------
다른 치료 케이스가 궁금하다면?

[어깨]
주사, 충격파 치료만 60회 넘게 받았는데 여전히 어깨가 아파요
https://youtu.be/ir-lBHXJd6w

어깨 충돌 증후군, 회전근개 파열, 이두근건염, 석회성건염까지
https://youtu.be/i4WUcHfQOmM

IFBB PRO 이진환 선수, 가슴 어깨 운동시 어깨 통증, 4년
https://youtu.be/ST1JuMvEXj0

견쇄관절염
https://youtu.be/cQwous9IsQg

어깨 충돌 증후군, 10년 된 어깨 통증
https://youtu.be/ZoD4iyRVdak

7년된 어깨 통증
https://youtu.be/BIdC2RxI1HU

회전근개 파열, 슬랩
https://youtu.be/COXv_8Bn_1s

슬랩
https://youtu.be/z5KMKEMjNJc

스테로이즈 주사만 50번, 그래도 안낫는 어깨 통증
https://youtu.be/E9B3khhaG_k

석회 수술 후에도 아픈 10년 넘은 어깨 통증
https://youtu.be/s3JTmpAKAnM

탈구 수술 2번, 16년 된 어깨 통증
https://youtu.be/M0gLUhaDelQ
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[목]
일자목, 버섯목 증후군 교정
https://youtu.be/IfhPvo1JNpY
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[허리]
디스크로 3번 시술해도 낫지 않는 허리 통증
https://youtu.be/WcUGDwEoAUk

수술 권유 받은 디스크 터짐 완치 케이스
https://youtu.be/8eQwhsjo7Pk

스쿼트 허리 불안정
https://youtu.be/ZAvjeS2WyHM
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[골반]
골반 찝힘으로 아예 뛰지 못한 케이스
https://youtu.be/ZJfTCDmKcV0

IFBB PRO 박성훈 선수, 움직이기도 힘든 고관절 통증
https://youtu.be/H1EvbQj2sWg

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[무릎]
달리기 무릎 통증, 장경인대염, 6개 병원에서 해결 못한 무릎 통증
https://youtu.be/rOowAPrMkYo

무릎 수술 후 1분도 걷기 힘든 무릎 통증
https://youtu.be/54c7Mxvc_9k

IFBB PRO 조남은 선수 스쿼트 무릎 통증
https://youtu.be/CB5Ygq7Ddxw

인공관절 수술 권유받은 무릎 통증
https://youtu.be/oUxIldcezJ8

1년간 주사, 충격파 치료해도 낫지 않던 무릎 통증
https://youtu.be/sA46H-YaiK4
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[아픈 곳 2군데 이상]
어깨, 허리 통증 운동하는데 아픈 케이스
https://youtu.be/gzPRXX_N5ws

어깨, 손목, 무릎, 허리 통증
https://youtu.be/9wZ5YwZRDV8
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[팔꿈치]
3천만원 써도 낫지 않던 팔꿈치 통증
https://youtu.be/lDSrGs8xqo0
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
[손목]
재활 PT 50번 받아도 낫지 않는 손목 통증
https://youtu.be/gKi9FD-_y-E",2026-03-26T08:52:09Z,"허리,어깨,무릎,발목,통증,교정,거북목,일자목,협착증,디스크,수술,시술,병원,한의원,손목,재활",17,ko,PT14M20S,2d,hd,true,3645,321,0,44,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/tlpxVBv9pVQ/maxresdefault.jpg,thumbnails\한의사트레이너\tlpxVBv9pVQ.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,8sIv11GL-Hg,오랜만에 햄버거 먹방 맥도날드 더블 bbq 베이컨 쿼파치,,2026-03-24T09:00:19Z,"맥도날드,햄버거,브이로그,쿼파치,더블쿼터파운드,버거,불고기버거,치즈버거,버거킹,롯데리아,먹방,McDonald's",22,ko,PT7M14S,2d,hd,false,145,10,0,2,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/8sIv11GL-Hg/maxresdefault.jpg,thumbnails\블락스blocks\8sIv11GL-Hg.jpg
김지만TV,UCCFD5pLnLB2oEb4tPm1YemA,Oiqatmad-64, 고기  이렇게 먹어야 신장 안 망가지고 신장 신부전증  좋아진다.,"추가 정보 블로그 : https://blog.naver.com/idreamofu2/222413548598
연락처 : 02 544 5885

주소 : 서울 강남구 논현로168길 22 계진빌딩 2층

신장 지키는데 반드시 알아야 할 고기 먹는 법을 최신 논문을 통해 알려드립니다.  신장병, 신부전은 매우 흔한 병으로 누구나 걸릴 수 있습니다. 최근 연구들에서는 식이요법을 통해 병의 진행을 늦추고, 질병으로의 이환을 줄일 수 있다고 알려져 있습니다.   경희생한의원  김지만 배상",2026-03-20T14:58:00Z,,28,ko,PT19M10S,2d,hd,false,1125,93,0,5,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/Oiqatmad-64/maxresdefault.jpg,thumbnails\김지만TV\Oiqatmad-64.jpg
김소영건강체조티비-Health gymnastics,UCSi2gkWNFwoMpb5Nu19EnpA,c8yL6f0dK30,[건강체조] 맘마미아(Mamma Mia) 의정부시생활체육지도자와 함께 운동해요.,,2026-03-14T09:24:06Z,,17,ko,PT3M39S,2d,hd,false,1932,49,0,4,public,youtube,True,False,"https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/c8yL6f0dK30/maxresdefault.jpg,thumbnails\김소영건강체조티비-Healthgymnastics\c8yL6f0dK30.jpg
통증교정 수연쌤,UCafAiwzaq1wXHIJOCm4zSoQ,6MmXHQWiHfk,딱 2주만 이렇게 걸어보세요 │ 골반이 달라집니다 (3가지 교정법),"#걷기운동 #골반교정 #골반정렬 #발바닥통증 #종아리통증 #고관절운동

00:00 종아리·앞허벅지·발바닥 통증의 공통점
00:35 발이 살아야 골반이 안정됩니다
00:46 ① 엉덩이 접기 연습 (힙힌지)
04:27 걷기는 한 발 서기의 반복입니다
04:51 ② 한 발 엉덩이 활성화
08:34 ③ 걷기 패턴 연습
13:08 걸음걸이가 바뀌면 골반도 달라집니다

걸을 때

✔ 종아리가 뻐근하고
✔ 앞 허벅지가 금방 피로하고
✔ 발바닥이 자주 아프신가요?

이런 증상은 걸음걸이 패턴 문제일 가능성이 높습니다.

걸을 때 힘은

뒤꿈치 → 발바닥 가운데 → 엄지

이 순서로 전달되며
엉덩이와 허벅지까지 연결됩니다.

이 흐름이 끊기면
종아리, 앞 허벅지, 발바닥이 대신 일을 하게 되고
골반도 안정되지 못합니다.

이번 영상에서는
걸음걸이 하나 바꿔 골반을 안정시키는 3가지 동작을 알려드립니다.

✔ 엉덩이 기본 패턴
✔ 한 발 엉덩이 사용
✔ 걷기 패턴 연습

발이 살아야
골반도 같이 안정됩니다.

구독하고 같이 운동해 보세요 ⏰",2026-03-13T14:51:46Z,"스트레칭,교정운동",27,ko,PT13M34S,2d,hd,false,689,37,0,1,public,youtube,True,False,"https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Physical_fitness",https://i.ytimg.com/vi/6MmXHQWiHfk/maxresdefault.jpg,thumbnails\통증교정수연쌤\6MmXHQWiHfk.jpg
우수한 영양학,UCxkwgIYCm3vLlYITOzdByZg,e7j_ykUnT9k,"🍚 탄수화물, 얼마나 먹어야 운동이 잘 될까? | 마라톤 | 웨이트 | 근손실 | 다이어트 | 글리코겐 로딩 | 린매스업 | 공복 운동","🙋안녕하세요 우수한 영양학입니다. 
-

이번 영상은 2월 9일에 진행한 라이브 방송 편집본입니다!

'탄수화물을 섭취하는 양이 곧 운동 퍼포먼스'라고 생각하시나요?
내가 먹는 탄수화물 양이 적절한지 궁금하신가요?
운동인들을 위한 탄수화물 섭취법에 대해서 이야기해본 
이번 영상을 보시면 도움이 되실 겁니다~ 

더 궁금한 점이 있으시거나, 주제와 관련해 나누고픈 경험담이 있으시다면
댓글 많이 많이 남겨주세요!
(사랑과 응원의 메시지도 언제나 환영입니다^^)

매주 월요일마다 꾸준히 Q&A 라이브를 진행중인데요.
자세한 일정은 커뮤니티에 공지하고 있으니 많은 참여 부탁드립니다~

라이브 방송은 누구나 참여하실 수 있으며,
멤버십에 가입하시면 지난 모든 라이브를 다시 보실 수 있으니 놓치지 마세요!

----

🔻🔻 🔻  멤버십 가입 링크 🔻🔻 🔻 
https://www.youtube.com/channel/UCxkwgIYCm3vLlYITOzdByZg/join


----

더 전문적인 영양학 강의는 [우수 에듀케이션] 에서 만나실 수 있습니다.

https://www.instagram.com/woosoo.nutritionist?igshid=OGQ5ZDc2ODk2ZA==
(우수 인스타그램)
https://www.instagram.com/woosoo_education?igshid=OGQ5ZDc2ODk2ZA==
(우수 에듀케이션 인스타그램)

----

00:00 오프닝
00:30 운동과 탄수 섭취에 대한 오해와 진실
03:18 탄수화물과 퍼포먼스 향상, 이것이 핵심!
07:08 파워리프팅, 추가 탄수 섭취 필요할까?
07:51 글리코겐 로딩 쓸모 없다? NO!
09:19 탄수화물 섭취는 유연하게
09:30 추가 칼로리가 필요하다면?
09:43 이틀 전에 먹은 탄수화물, 오늘 운동에 쓰일까?
10:30 과일은 아침에, 이왕이면 씨앗 씹히는 걸로(?)
11:49 스포츠드링크 마실까? 말까? 
12:34 보디빌딩 영양 전략의 특수성
13:07 과자, 디저트 먹으면 눈바디가 안 좋아진다(?)
14:42 근손실 vs 체중 감량: 나에게 중요한 것은?
16:03 운동하고 빵 먹을바엔 그냥 먹지 말까요? 
17:12 다음주 예고
17:25 사담: 피자의 날 기념 피자 추천",2026-03-26T10:00:00Z,,22,ko,PT17M57S,2d,hd,false,9603,269,0,70,public,youtube,True,False,"https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Knowledge",https://i.ytimg.com/vi/e7j_ykUnT9k/maxresdefault.jpg,thumbnails\우수한영양학\e7j_ykUnT9k.jpg
빵느,UCRrZ5RYIalHLiHq5ftzxM6A,iXIN1Hawpfk,"하루 한 번! 기초체력 기르는 10분 유산소 운동 - No 스쿼트, No 런지👑(2026)","안녕하세요 빵그리여러분❤️
오늘은 기초체력을 길러주는 10분 전신유산소를 준비했어요 
따라하기 쉬운 동작들로 전신을 끊임없이 움직여볼건데요
단순히 심박수만을 올리는 동작들이 아니라 레그컬, 로우와 같이 
전신의 근육을 자극하는 동작들이 포함되어 있어서
기초체력은 물론이고 몸의 선과 탄력을 만드는데도 추천드려요!  
운동 후에는 숨이 차면서도 근육이 쫀쫀해지는걸 체감하실거니까요 
이번 운동도 잘 따라와주세요🥰

#유산소운동 #기초체력 #초급운동


❣️멤버십 가입: https://tinyurl.com/2z6amqtn
❣️인스타그램: https://www.instagram.com/bbang_neu/
❣️비지니스 문의: bbangneu@gmail.com",2026-03-23T22:00:51Z,"10분 운동,유산소,유산소 운동,운동,다이어트,홈트,기초체력,기초체력 기르기,초급 운동,초보 운동,간단한 운동,집에서 하는 운동,살빼는 운동,칼로리 폭탄,지방 빼기,지방 태우기,체지방 감소",27,ko,PT10M34S,2d,hd,false,21123,606,0,33,public,youtube,True,False,"https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Physical_fitness",https://i.ytimg.com/vi/iXIN1Hawpfk/maxresdefault.jpg,thumbnails\빵느\iXIN1Hawpfk.jpg
홍삼아 댄스&에어로빅,UCNcl4-NKaNrX0CBK3Gmd5Ag,I0W61EWI7qo,[장말 잘해왔어] 제주도 한라산 완등!! 신비로운 백록담. 헤라 처럼 즐겁게 다녀오세요🙏 ,"안녕하세요 😄
헤라댄스 이번 여행은 제주!!
요즘 제주도가 관광객이 줄어 많이 어렵다고 하더라고요.
즐거운 여행길, 이왕이면 애국하는 마음으로 다녀왔습니다^^
아름다운 신비의 섬 제주도에서
이번 기회에 한라산 등반 완등을 목표로
백록담까지 찍고, 추억도 담고, 나름 뮤직비디오도 찍어봤어요.
매 순간 하하호호 웃음이 끊이지 않았던
행복한 여행이었습니다.
한라산 완등 같이해서 더욱더 기뻐요
이번 여행 기록도 천천히 공유해보겠습니다.
헤라 식구들 모두 함께하지 못해 아쉬웠지만
다음에는 꼭 함께 떠나는 날이 있었으면 좋겠습니다.
헤라댄스 화이팅! 💃

#제주도 #한라산 #백록담 #완등 #등산
#3월백록담 #정말잘해왔어 #헬로핑 
#헤라댄스",2026-03-08T16:07:36Z,,22,ko,PT3M3S,2d,hd,false,2439,98,0,10,public,youtube,True,False,"https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism",https://i.ytimg.com/vi/I0W61EWI7qo/hqdefault.jpg,thumbnails\홍삼아댄스에어로빅\I0W61EWI7qo.jpg
약초1번지,UCvf59uLGe-VyEcoNsp15K0w,75-9bQaUf0U,"열, 두통, 오한, 발열, 가슴 답답함을 빠르게 가라앉히는데 효과가 탁월합니다","안녕하세요~~약초1번지입니다.
약초1번지를 방문해주시어  감사합니다.
대한민국 대표 약초방송입니다.

이 채널에 언급한 건강 정보의 효능들은 참고 수준의 정보로 이 문제에 대해 제작자에게 책임을 물을 수 없음을 알려드립니다.
.",2026-03-25T22:00:05Z,"약초,건강,동의보감,폐암,위암,갑상선암,췌장암,고혈압,저혈압,심장마비,알츠하이머,치매,당뇨,인슐린,두통,치통,생리통,허리통증,무릎통증,보리,옥수수,감자,전립선염,위염,위궤양,갱년기,콜레스테롤,정력,발기부전,비아그라,자연,나무,기관지,감기,기침,채소,야채,헬리코박터파일로리균,변비,다이어트,소변,오줌,신경통,통증,치료,예방,장미,심혈관,협착증,허리디스크,병원,의사,약국,산삼,임삼,블루베리,마카,배추,바나나,파인애플,우유,간염,간암,담배,흡연",26,ko,PT4M6S,2d,hd,false,110,11,0,2,public,youtube,False,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/75-9bQaUf0U/hqdefault.jpg,thumbnails\약초1번지\75-9bQaUf0U.jpg
