channel_name,channel_id,video_id,title,description,published_at,tags,category_id,default_language,duration,dimension,definition,caption,view_count,like_count,favorite_count,comment_count,privacy_status,license,embeddable,made_for_kids,topic_categories,thumbnail_url,thumbnail_path
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,P0IkzIVR0dA,태국 현지인 추천템! 이거 꼭 사야해,,2026-03-20T07:05:25Z,"유세린,방콕 추천템,태국 추천템,방콕,판테놀 로션",22,en,PT33S,2d,hd,FALSE,2782,37,0,1,public,youtube,TRUE,FALSE,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/P0IkzIVR0dA/maxresdefault.jpg,thumbnails/QueenSolmee/P0IkzIVR0dA.jpg
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,8DzKusgH_wM,가발이 이렇게 자연스럽다고..?! 테무 가발 추천,,2026-03-17T13:29:19Z,,22,en,PT40S,2d,hd,FALSE,3642,49,0,2,public,youtube,TRUE,FALSE,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/8DzKusgH_wM/maxresdefault.jpg,thumbnails/QueenSolmee/8DzKusgH_wM.jpg
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,vprE4Dsndjk,셀프 속눈썹 연장✨ + 쉬인 속눈썹 추천,,2026-03-15T02:51:47Z,,22,en,PT20S,2d,hd,FALSE,16329,94,0,5,public,youtube,TRUE,FALSE,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/vprE4Dsndjk/maxresdefault.jpg,thumbnails/QueenSolmee/vprE4Dsndjk.jpg
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,aVKPaOjJaBg,태국 세븐일레븐 추천템❤️,,2026-03-05T14:09:18Z,,22,en,PT29S,2d,hd,FALSE,3801,69,0,10,public,youtube,TRUE,FALSE,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/aVKPaOjJaBg/maxresdefault.jpg,thumbnails/QueenSolmee/aVKPaOjJaBg.jpg
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,PfdCYvXwsQw,속건조엔 이거 쓰세요 | 올리브영 세일 추천템💕,,2026-03-03T09:46:48Z,,22,en,PT34S,2d,hd,FALSE,2537,10,0,0,public,youtube,TRUE,FALSE,,https://i.ytimg.com/vi/PfdCYvXwsQw/maxresdefault.jpg,thumbnails/QueenSolmee/PfdCYvXwsQw.jpg
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,3DmHqn6-Li0,산타고 요가갔다가 도시락먹는 브이로그 🧘🏻‍♀️🍙⛰️ #요가브이로그 #요기니 #wellnesslife #yogalife,,2026-03-20T08:34:42Z,,17,ko,PT41S,2d,hd,FALSE,9117,427,0,4,public,youtube,TRUE,FALSE,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/3DmHqn6-Li0/maxresdefault.jpg,thumbnails/Dadacafe다다카페/3DmHqn6-Li0.jpg
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,1JOXw9WUIrg,"Spend a slow day with me ✨ | 건강하게 먹고, 천천히 사는 하루 with 요가원 🧘🏻‍♀️","#slowdays  #healthyhabits #웰니스라이프 #요가브이로그

💌 hello.dadacafe@gmail.com
📷  iPhone 14pro
ig - dadacafe__",2026-03-07T12:00:03Z,"dadacafe,dada cafe,diet vlog korean,diet vlog,healthy vlog,what i eat in a day,a day of my life,healthy food recipe,healthy korean food,korean diet,korean skincare,다다카페,다다카페 브이로그,다이어트 브이로그,유지어터 브이로그,다이어트 식단,식단 브이로그,저속노화 식단,저속노화,모델 브이로그,wellness vlog,웰니스 브이로그,웰니스,모델식단,slowlifestyle,selfcare,peaceful life,homebody vlog,slow life vlog,웰니스라이프,2026 healthy habits,올해 목표,갓생 브이로그,요가브이로그,요가원,요기니,yoga vlog",17,ko,PT8M40S,2d,hd,TRUE,16960,883,0,47,public,youtube,TRUE,FALSE,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/1JOXw9WUIrg/hqdefault.jpg,thumbnails/Dadacafe다다카페/1JOXw9WUIrg.jpg
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,0iZibxTMEHk,순두부로 만드는 간단한 #다이어트식단 #healthyfood,,2026-03-01T04:07:13Z,,17,ko,PT13S,2d,hd,FALSE,28765,726,0,2,public,youtube,TRUE,FALSE,https://en.wikipedia.org/wiki/Food,https://i.ytimg.com/vi/0iZibxTMEHk/maxresdefault.jpg,thumbnails/Dadacafe다다카페/0iZibxTMEHk.jpg
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,vFh6cqUgHAc,#다이어트식단 🥗,,2026-02-23T14:56:36Z,,17,ko,PT22S,2d,hd,FALSE,29726,1281,0,7,public,youtube,TRUE,FALSE,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/vFh6cqUgHAc/maxresdefault.jpg,thumbnails/Dadacafe다다카페/vFh6cqUgHAc.jpg
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,t5b_xCsyAUE,1월을 더 좋게 만들어준 것들 | my favs from january 🌊🥣,"#프리다이빙 #freediverlife #healthyhabits #웰니스라이프 

I wanted to share some hobbies I’ve been really into this January.
One of my goals this year was to focus more on myself,
and freediving and pottery classes turned out to be a kind of digital detox for me —
moments where I could truly slow down and be present.
I loved that feeling so much that I wanted to share it with you, so I made this video :)

여러분 제가 정말 빠져있었던 1월의 취미들을 소개할게요!
올해 제 목표가 제 자신에게 집중하는거였는데 
프리다이빙과 도자기 수업이 디지털 디톡스도 되고 저에게 집중할수있는
정말 소중한 순간이였더라고요. 이 감정을 공유하고싶어서 영상 만들어봤어요 ㅎㅎ

프리다이빙은 딥스테이션에서 진행했고 박태현 강사님에게 수업 들었습니다!
자세라던가 정말 디테일한것들을 잘 가르쳐주셔서 왕 추천드려요 
그리고 카메라가... 엄청 비싼거라 영화처럼 찍어주시는게 최고에요,,
박태현 강사님 인스타그램 @fishman_829 

도자기수업은 크래프트 프랙티스에서 진행했고 성수동에있어요!
유용하게 쓸수있는것들을 만들어서 만족도가 높았답니다 헤헤
올해 겨울에도 또 들을 예정 !!

💌 hello.dadacafe@gmail.com
📷  iPhone 14pro
ig - dadacafe__",2026-02-17T11:01:23Z,"dadacafe,dada cafe,diet vlog korean,diet vlog,healthy vlog,what i eat in a day,a day of my life,healthy food recipe,healthy korean food,korean diet,korean skincare,다다카페,다다카페 브이로그,다이어트 브이로그,유지어터 브이로그,다이어트 식단,식단 브이로그,저속노화 식단,저속노화,모델 브이로그,wellness vlog,웰니스 브이로그,웰니스,모델식단,slowlifestyle,selfcare,peaceful life,homebody vlog,slow life vlog,웰니스라이프,갓생 브이로그,프리다이빙,프리다이빙 브이로그,도자기 수업,도자기 브이로그,freedive vlog,취미생활 추천",17,ko,PT5M36S,2d,hd,TRUE,11806,695,0,26,public,youtube,TRUE,FALSE,"https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/t5b_xCsyAUE/hqdefault.jpg,thumbnails/Dadacafe다다카페/t5b_xCsyAUE.jpg
