channel_name,channel_id,video_id,title,description,published_at,tags,category_id,default_language,duration,dimension,definition,caption,view_count,like_count,favorite_count,comment_count,privacy_status,license,embeddable,made_for_kids,topic_categories,thumbnail_url,thumbnail_path
정수TV,UCIr22z2digISvq4xZPKrvBg,iTljAQevjdU,새 학기 시작과 나무 접 붙이는 방법,"* 직접 쓴 책 소개 
 -직장생활에서, 가정에서 곤란함을 느끼는 모든 분들께 바칩니다.  저의 경험이 여러분께 도움이 되실꺼예요(두 권을 모두 구입하시면 더욱 좋습니다)

나의 행복찾기1
(Yes24)https://www.yes24.com/product/goods/150379877

나의 행복찾기2 
(Yes24)https://www.yes24.com/product/goods/150379888


* 브이로그 모음,  브이로그도 시작했어요. 사실 찍고 보니 브이로그더라구요. ㅎ 좋아요 + 구독 감사합니다. 

* 여행관련 
https://youtu.be/UYhCRioR0Lw 

https://youtu.be/drjOP1mUuqU​

https://youtu.be/6_1ydv9cwAM

https://youtu.be/tybFFL7eis0

https://youtu.be/W38n95NWYMI​

https://youtu.be/hEm_--mBxok​

https://youtu.be/dCuAVPjKXrQ​
 
https://youtu.be/FRNjIhCZQww
 
https://youtu.be/3K75Adu9HDo
 
https://youtu.be/MJUXLtWUCnU

https://youtu.be/JU38U1-0q8I
 
https://youtu.be/apdZZPjCTck

https://youtu.be/natZ0THkOOE

https://youtu.be/XQtKM-Qe9SQ

*일상생활 브이로그
https://youtu.be/CWYBy31RrU8
 
https://youtu.be/rfigGE-x-QA
 
https://youtu.be/O2SWOSVVz_w
 
https://youtu.be/X0dVCgoT_2M

https://youtu.be/p27RPEGMniU
 
https://youtu.be/8TG4z16OWOc

https://youtu.be/U7PS1RZFRJQ

https://youtu.be/diLJd4XOEMk

https://youtu.be/oKFgBAxF0b0

https://youtu.be/7hxOKgdbpcc

https://youtu.be/thKM28_ho9E

https://youtu.be/RaWFGU1zPkw

https://youtu.be/YwRKK7vggFg

https://youtu.be/PfmCe1eT5zU 

https://youtu.be/w8wWkPPkfvY
 
https://youtu.be/T2rZTp-69ew

https://youtu.be/JI2rX12bbNk

https://youtu.be/ikx7aQzK0aI

https://youtu.be/kUTo1N_zkQ4
 
https://youtu.be/ChF8Exr2sPU

https://youtu.be/xMJXotrVKvI

https://youtu.be/Yo6TkeG12Co

https://youtu.be/eP9flQwKklg

https://youtu.be/t_ZGS2Lxbfg

https://youtu.be/UyGAZOHRFCs

https://youtu.be/lPHaHW0ce4k

https://youtu.be/uRRB3ZC61Vs

https://youtu.be/fJTRSEdSMcw

https://youtu.be/gNXmsdHVBPM

https://youtu.be/-Qi2CtPYe4o

https://youtu.be/tOdzfWYT7RM

https://youtu.be/cbB014eRQpY

https://youtu.be/u3rd4txCMOI

https://youtu.be/MkyFasLg1eg

https://youtu.be/5YjefGdpEls

https://youtu.be/FJxUMD3P19Y

https://youtu.be/3Yi3-pDXxBM

https://youtu.be/8aebTKQahNw

https://youtu.be/1As6YsoVmbU

https://youtu.be/I3hxcEwvbNE

https://youtu.be/-RWxCYTN1YE

https://youtu.be/nhr3FVwu0u8

https://youtu.be/fJ7opsfmsWs

https://youtu.be/VZCgmzA11Pc

https://youtu.be/EVlLoZQt_NY

https://youtu.be/k9eeX9Xl8AY

https://youtu.be/AixTt8VqWDY

https://youtu.be/Ft3nuf847t8

https://youtu.be/tvBANrKFzWI

https://youtu.be/9jBkIWKxMKw

https://youtu.be/j4Je6QUN1UM

https://youtu.be/OWCYp7uX16M

https://youtu.be/fOB4LQ7-x1M

https://youtu.be/UhuPDLFHsWc

https://youtu.be/EMh72ZuQA7o

https://youtu.be/6rG9t1xnyjE

https://youtu.be/KWJDP7wQibk

https://youtu.be/mzWPyo7d_wY

https://youtu.be/ZDwAzZWHsAI

https://youtu.be/-QaFhX_Ngnk

https://youtu.be/EInYJ_OHRU8

https://youtu.be/SdQ9Nm-WNuI

https://youtu.be/jwzetQqakLs

https://youtu.be/xBeBBCRzADw

https://youtu.be/E629_ZZ1JGw

https://youtu.be/gwd19uQXeug

https://youtu.be/UhOFXqAUHm0

https://youtu.be/zCsYWSRAdXE

https://youtu.be/l3h_LYibL1M

https://youtu.be/yeBxQXirc1s

https://youtu.be/vtk0-2SxVqk

https://youtu.be/LKTKgAq6cXU

https://youtu.be/_l2XteS5Wv8

https://youtu.be/KtGQK_UzGus

https://youtu.be/xiH0BO4FwxQ

https://youtu.be/o2cAAxS29OY

https://youtu.be/_XSul9UVuOQ

https://youtu.be/XCijvaZZxro

https://youtu.be/xszk37_o3lk

https://youtu.be/lbpfTrBbtFg

https://youtu.be/ib9LxQUE9_E

https://youtu.be/PbFrCJoinfE

https://youtu.be/01HsWZoEs2g

https://youtu.be/8xxZFHNa0u4

https://youtu.be/CUNgmfFFMkk

https://youtu.be/xYBeaSOmX9A

https://youtu.be/6eRzmjcAoZI

https://youtu.be/-0GU_vAROxc

https://youtu.be/HvnqXx3hbAY

https://youtu.be/l0MCLisC3ws

https://youtu.be/-r8Dr9ZQB-4

https://youtu.be/WHJ66HuvflM

https://youtu.be/a9MxXLz6oOY

https://youtu.be/HAAEgILWPY0

https://youtu.be/VZIvpkCS63E

https://youtu.be/VzFL9LaCwgM

https://youtu.be/-Q13DuDqtMA

https://youtu.be/cpa4EnxCkwk

https://youtu.be/rrzpCcOt8Lc

https://youtu.be/BECWUjKiehQ

https://youtu.be/JoEWxAFd_CA

https://youtu.be/T0F5hFoCYiM

https://youtu.be/4abmvbEkznU

https://youtu.be/CUQn-MCcerU

https://youtu.be/zp67vQ3KhRA

https://youtu.be/Si5i_J0Axq0

https://youtu.be/hBb9YRP7rfY

https://youtu.be/iTljAQevjdU

*자동차관련
https://youtu.be/G75E1rTONwU​

https://youtu.be/H0HAJsc6rK0

https://youtu.be/lEqqW8JxqJs

*음악관련
https://youtu.be/JK7XXvjpGig​

https://youtu.be/od0mbmVy02o

https://youtu.be/38JLNH8PQXg
*텃밭가꾸기 관련
https://youtu.be/jBzV4oV7nPA​

https://youtu.be/iMC--vMTg_I​

https://youtu.be/NBzhPkc0HiU​

*관사생활
https://youtu.be/VisW-5PCiko​

https://youtu.be/OyyWybOzdyM​

https://youtu.be/8VFmfFXZygM​",2026-03-14T13:02:24Z,"#직장인 브이로그,#체육교사 브이로그,교사 겸직,교사 브이로그,교사유튜버,브이로그,유튜버,일상 브이로그,직장인 vlog,직장인 브이로그,직장인 일상 브이로그,충북고등학교,수전고치기,싱크대 수전,구충제,회충약,아이스브레이킹,대구탕 끓이기,왕과 함께사는 남자,드릴 접,쉬운 접 붙이기,충TV,김선태",27,ko,PT18M5S,2d,hd,false,46,2,0,1,public,youtube,True,False,,https://i.ytimg.com/vi/iTljAQevjdU/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/정수TV/iTljAQevjdU.jpg
아침서가,UCgC0VXue9VSCXZDrsLQtBKQ,hkMchRDtvpM,[vlog] 재취업과 함께 돌아온 독서 전성기✨ | 재택근무 프리랜서 디자이너의 먹고 읽는 독서 브이로그 | 언박싱,"안녕하세요, 아침서가입니다.
오랜만에 독서브이로그 업로드 하네요!
이번 영상은 일을 시작한 일상인데요,
그렇다보니 책상 붙박이라 앵글이 좀 단조롭네요.
부디 재밌게 봐주시길. 😚

#밀리의서재 #TTS #책소개 #전포이바바커피 #전포꽁테무아


*BGM*
*브금대통령*
* Track : 덥다더워 -    • 아직도 나는 덥다🔥  
* Free Music for Videos 👉 Music by OXLIP - I Said You Must Be Leaving - https://thmatc.co/?l=AFB29F6E
* Free Music for Videos 👉 Music by Laura Duarte - 4 am - https://thmatc.co/?l=D0A36990
* Music by Donald XL Robertson - Welcome To My World - https://thmatc.co/?l=9267CBFA


*Video Source Support*
Youtube channel ""쟈니클래스"" : / 쟈니클래스
Youtube channel ""편집하는 여자"" : / 편집하는여자


*아침서가*
e-mail. morning_books@naver.com
blog. https://blog.naver.com/morning_books
Instagram. @morning.bookstore 
https://www.instagram.com/morning.bookstore",2026-03-20T23:30:16Z,"브이로그,독서 브이로그,reading vlog,독서하는 일상,책 읽는 일상,책 리뷰,독서,프리랜서 디자이너,재택근무 프리랜서 디자이너,책 추천,책소개,책 언박싱",22,ko,PT22M3S,2d,hd,true,2792,105,0,19,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/hkMchRDtvpM/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/아침서가/hkMchRDtvpM.jpg
스마트한농부,UCLigSO1MhXVFCjHbKof729Q,AcAJwPB8KpI,2026 텃밭관리기 추천 현대 하나로 소형관리기 가격·구성·사용방법 총정리,"#텃밭관리기추천 #텃밭관리기가격 #소형관리기추천

현대하나로관리기 가격이 궁금하신 분들, 텃밭관리기 추천 제품을 찾는 분들을 위해 준비했습니다. 미니 소형관리기 사용방법부터 로타리, 두둑만들기, 골타기, 배토기 작업, 휴립기 날, 휴립복토기, 비닐피복기 사용법, 농약살포기, 양수기 펌프, 트레일러, 제초 작업, 중경제초기 활용까지 간단히 확인하실 수 있습니다.

신형모델 농업용 다목적 관리기 HD-9000D HD-9500H 리뷰

▷ 업  체  명 : 현대농기계(주)
▷ 연  락  처 : 1899-4112
▷ 홈페이지 : www.현대농기계.com

본 영상은 농기계/농기구와 관련된 다양한 정보 전달을 위해 제작되었습니다.


친환경 유기농자재 쇼핑몰 (스마트한농부)
https://smartstore.naver.com/smartfarmer

▷ 스마트한농부 네이버 밴드
https://band.us/@smartfarmer

▷ 스마트한농부 네이버 블로그
https://blog.naver.com/zmffhs77

▷ 영상 제작 및 협업 문의
▷ 이메일 judge12@naver.com
▷ 촬영문의 카톡 skynet1213",2026-03-22T10:42:10Z,"소형관리기,소형경운기,소형 경운기,농기계,농기계구입,농기계 가격,농기계 관리기 가격,농기계 리뷰,농기계 로터리,관리기구입,관리기 휴립기,현대관리기,하나로관리기,텃밭관리기,관리기리뷰",26,ko,PT10M6S,2d,hd,false,61632,377,0,12,public,youtube,True,False,,https://i.ytimg.com/vi/AcAJwPB8KpI/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/스마트한농부/AcAJwPB8KpI.jpg
촌스런TV. 천만원대 전원주택,UCRvZ_OYtexzkIFddh_FTGyw,SJgajo_FX2g,체류형쉼터 10평 오늘 텃밭에 안착했습니다. 나도 자연인이다 전원 생활 시작,"강원도 홍천 체류형쉼터래요.!!
자연인! 전원생활 축하드립니다.


문의 : 전국 대표전화 1800-2436

전화 혹은 카톡으로 전화번호 보내시면
문자로 지번드리니 땅부터 보신 후
연락주시면 땅계약, 전기수도 정화조등
생활가능하게 기반시설 다 해 드린대요~

촌으로갑시다 촌스런tv
http://chonsrun.com",2026-03-21T01:30:26Z,,22,ko,PT21M39S,2d,hd,false,1232,23,0,0,public,youtube,True,False,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/SJgajo_FX2g/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/촌스런TV천만원대전원주택/SJgajo_FX2g.jpg
현주zutube,UCJMMSPO-0YnhxRWfGOPmqvA,Slv5c3JIsuI,VLOG • 무계획 후쿠오카 여행🇯🇵 급여행치고 너무 잘 놀아서 당황스러워요 (ft. 구독자 이벤트),"#일본여행 #후쿠오카 #여행로그


안녕 앤쥬들 저예요 히히
오늘은 최근에 다녀온 일본 후쿠오카 브이로그 말아왔어요
기다려주셔서 감사합니두 🤍
친구 유튜바 @moyeompresents 모염씨와 함께했는데
덕분에 너무 즐겁고 행복한 여행하게 되어 너무 고맙다는 말을 전하며 ,,
오늘 영상도 재밌게 봐주시와요 🫶🏻

아차차 그리고 여행하면서 앤쥬들 생각나서 선물 사왔는데요
유니클로에 너무 귀여운 몬치치 반팔티를 팔길래 바로 데려왔어요 !!!
총 3분께 요 몬치치 티셔츠 선물할게요
사이즈도 선택 가능합니당😋

🎁 이벤트 참여방법
- 영상 보고 자유롭게 댓글 남긴 후 구글폼 입력 !
- 이벤트 구글폼 : https://forms.gle/AiyS9Anf2RMUTyKw6

🎁 이벤트 기한
- 참여기한 : 3/15(일) ~ 3/18(수)
- 당첨자 발표 : 3/19(목)

영상 재밌게 보고 댓글이벤트 참여해서 제 여행의 추억을 선물 받아주세요 💗
그럼 다음 영상에서 또 봐요 🤭




* 현주 쇼핑몰, 501클로젯👚
https://m.smartstore.naver.com/501closet

* Instagram 
http://www.instagram.com/room__501

* E-mail
ohzutube@gmail.com",2026-03-15T10:16:45Z,"일본여행,일본먹방여행,후쿠오카맛집,후쿠오카브이로그,후쿠오카여행로그,후쿠오카먹방,여행브이로그,일본브이로그,vlog",22,ko,PT23M48S,2d,hd,false,15192,234,0,137,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism",https://i.ytimg.com/vi/Slv5c3JIsuI/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/현주zutube/Slv5c3JIsuI.jpg
ONDO STUDIO,UCQt_7x3PYzs4FNHtYb43tRg,t1FmhUc3TGE,물레로 버섯모양 도자기 조명 만들기 : Making a Mushroom Ceramic Lamp on the Wheel [ONDO STUDIO],"안녕하세요 온도스튜디오입니다. 이번 영상에서 사용한 재료는 흙은 백토, 유약은 투명매트유입니다. 편안히 시청해 주세요:) 감사합니다.

구독&좋아요는 영상 제작에 큰 힘이 됩니다.
SUBSCRIBE for new videos! Thanks

INSTAGRAM : @ondo_studio

E-MAIL : ondo_studio@naver.com

BLOG : https://blog.naver.com/ondo_studio

-

Copyright ⓒ2026 ONDO. All rights reserved",2026-03-26T12:01:36Z,"도자기 만들기,도자기 공예,도자기 만드는 영상,도자기 만드는 과정,도자기 굽기,도자기 공방,도자기 체험,공예,도예수업,도예공방,ceramic art,ceramic pro,ceramic painting,ceramics techniques,ceramics class,ceramics art,ceramics hand building,ceramics glazing techniques,ceramics for beginners,Pottery designs,DIY,도자기조명,스탠드조명,버섯조명,도자기조명만들기,조명만들기,Ceramic Lamp",26,ko,PT13M26S,2d,hd,false,2753,208,0,9,public,youtube,True,False,"https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/t1FmhUc3TGE/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/ONDOSTUDIO/t1FmhUc3TGE.jpg
도나미-donam e,UCY6-BFVypIlf55oyJdC0WBA,F0EvoUOK1-8,"미감 좋다는 말 듣기까지, 25살의 시행착오","도레미들 정말 요청이 많았던 저의 분위기 찾기 영상을 가져왔는데요 ...
아마 기대했던 것과 다른 방향의 내용을 말할 수도, 혹은 꼭 마음에 드는 말을 말하는 영상이 될 수도 있을 거라 생각해요.

취향이라는 건 결국 매일 시도하고 또 시도함에 있는 것이라 생각하는 저에게, 분위기와 취향은 단순한 외모이야기로 풀어나가긴 어려웠던 것 같아요. 하지만 늘 도레미에게 친언니 같은 사람이고자... 하는 저에게 이번 영상은 정말 !!! 제가 하고픈 얘기를 가득 담아서 아쥬 속이 시원하달까요 .....우하하

다들 제가 준 미션을 꼬옥 수행해주기를 바라며 
사랑해 또 사랑해 !

00:00 목차
00:19 미감이 없던 시절
01:28 20대 초반에 했던 실수
01:58 추구미 생긴 계기
02:44 의외로 제일 중요한 것
03:37 싫어하는 걸 찾아라?
05:58 좋아하는 옷 브랜드
07:33 좋아하는 물건
08:23 느좋 브랜드 찾기?
09:09 좋아하는 공간
10:07 좋아하는 술
10:40 좋아하는 음악
11:17 선호하는 인간관계
12:02 여행 취향
12:21 인생 영화
13:05 취향 쉽게 찾는 법
14:22 기록 하기
14:44 못생긴 곳 벗어나기
15:58 돈 얼만큼 쓰기?
16:38 한 끗 차이로 이뻐지기
18:21 내 추구미랑 어울리는게 다를 때
19:04 취향이 안 생기는 원인
19:48 꼭 하고 싶은 얘기
-
비즈니스 메일
donameeeee@gmail.com
-
인스타그램
https://www.instagram.com/do.na_me?igsh=Nno5MWJianU3Y3d5&utm_source=qr
-
카메라 : 소니 zv-m2
편집 : 파이널컷 프로 X
** 색감보정은 영상마다 다르게 적용해서 알려드리기 어려워요 😭",2026-03-22T13:00:51Z,"25살,미감,분위기,스타일링,브이로그,나만의분위기,시행착오,무드정착,자기계발,동기부여,20대스타일링,OOTD,취향찾기,미감높이는법,분위기있는사람,이미지변신,시술없이예뻐지는법,퍼스널컬러,스타일정착,나경,이뻐지는법,분위기바꾸는법,이미지변화,자기관리,무드있는사람,예뻐지는법,분위기좋아지는법,스타일바꾸기,감성브이로그,20대브이로그,여자브이로그,분위기메이크업,패션취향,aesthetic,glowup,selfimprovement,vibe,personalstyle,lookbetter,koreanvlog,취향,이미지관리,분위기있는여자,미감좋다는말,무드,분위기변화",22,ko,PT22M49S,2d,hd,false,14734,429,0,45,public,youtube,True,False,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/F0EvoUOK1-8/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/도나미-doname/F0EvoUOK1-8.jpg
금닥터,UCeMWIOj1VZhoIaQ6mkXUcgA,HWcQh41TQqU,의사 남편 현실ㅣ브이로그,"📖 금닥터 내과 레지던트 수필 
‘그렇게 죽을 환자는 아니었는데’ 
https://product.kyobobook.co.kr/detail/S000214567869",2026-03-21T09:48:25Z,,22,ko,PT7M43S,2d,hd,false,15862,197,0,32,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/HWcQh41TQqU/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/금닥터/HWcQh41TQqU.jpg
꿈돌이,UCTFg7L18_OehorWWU62iPSw,1OzHUL9Dl-k,"엄미새의 다낭 신혼여행 vlog🏝️(반얀트리,하얏트,m호텔)","이것이 바로 엄마 반 남편 반 신혼여행💃🏖️ㅎㅎ

•숙소 정보•
- M Hotel Danang
- Hyatt Regency Danang
- Banyan Tree Lang Co",2026-03-07T11:51:37Z,"다낭,여행,베트남여행,다낭여행,신혼여행,honeymoon,danang,vlog,여행브이로그,브이로그,커플여행,다낭맛집,반얀트리랑코,다낭반얀트리,반얀트리다낭,banyantree danang,banyan tree lang co,하얏트 다낭,hyatt danang,m호텔 다낭,m hotel danang",19,ko,PT19M12S,2d,hd,false,2091,46,0,9,public,youtube,True,False,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism",https://i.ytimg.com/vi/1OzHUL9Dl-k/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/꿈돌이/1OzHUL9Dl-k.jpg
랄랄ralral,UCEX1cZB5TL7jyKejXdTXCKA,VbeJBdFxhac,"🔥2주동안 4kg 뺀 브이로그🔥(보리,하리무)","------------------------------------------------------------------
English Subtitle Available!
You may also choose YouTube Auto Translate to your own language 💖
------------------------------------------------------------------
페이스북에서 보고싶을땐 ( 팔로우도 부탁드리겠습니다~! )
☞https://www.facebook.com/bj_ralral-110010247260773
------------------------------------------------------------------
본 영상은 유튜브 랄랄ralral 채널에 
저작권이 있으며 
퍼가기 ,  2차 배포 , 무단 도용, 등을 금지합니다.
------------------------------------------------------------------
모든 BGM은
BGM팩토리, 브금대통령을 쓰고있습니다.
------------------------------------------------------------------",2026-03-24T09:00:47Z,"ralral,랄랄ralral,이명화,랄랄아줌마,아줌마랄랄,아줌마연기랄랄,랄랄이명화,휴먼다큐,사람은좋다이명화,사람은좋다,랄랄asmr,랄랄롤플레이,에이에스엠알,rollplay,ralplay,명화유튜브,이명화유튜브,랄랄노래,가자가자가자구,squareeyes,유난이다,랄랄상담실장,상담실장브이로그,하세요네일샵,그러세요그럼,트기하다,팬티캐슬,랄랄상황극,아니라고말해요,토네이도,쉿비밀",24,ko,PT10M37S,2d,hd,false,104349,1570,0,91,public,youtube,False,False,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/VbeJBdFxhac/maxresdefault.jpg,/content/drive/MyDrive/Colab Notebooks/thumbnails/랄랄ralral/VbeJBdFxhac.jpg
