channel_name,channel_id,video_id,title,description,published_at,tags,category_id,default_language,duration,dimension,definition,caption,view_count,like_count,favorite_count,comment_count,privacy_status,license,embeddable,made_for_kids,topic_categories,thumbnail_url,thumbnail_path
후다닥요리,UC7ok_PMSTIY5Qg4ULxRoSNg,C5tKn3GzUMY,🔴 무르지 않고 끝까지 아삭아삭하게 오이깍두기 맛있게 만드는 방법,"🎁 옥소 스퀴즈 보통(양념통) 5개
1. 가격 : 25,900원
2. 택배비 : 3,500원

✔ ""후다닥 공구몰""에서 주문
 https://https://www.hoodadakshop.kr
☎ 피디 전화번호 : 010-4207-1235


🟣 ""후다닥 공구TV"" 구독하기 
https://www.youtube.com/@hoodadakTV

➰ 후다닥요리 ""밴드"" 가입하기
 https://band.us/@hoodadakcook

#후다닥공구TV",2026-03-26T09:22:32Z,,26,ko,PT1H43S,2d,hd,false,10173,622,0,39,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/C5tKn3GzUMY/maxresdefault.jpg,thumbnails/후다닥요리/C5tKn3GzUMY.jpg
남자커피 Namja Coffee,UC85mXeWRaycnlFmrhBdaAlg,hpjBM8Ktu8U,전자레인지에 원두를 데워서 추출하면 맛이 달라집니다??,"누구든지 편하게 먹을 수 있는 에스프레소 액상커피 꼬소하이
https://smartstore.naver.com/ncccoffee/products/11502498749

남자커피가 직접 운영하는 커피용품샵
https://biendo.kr

다양한 커피 이야기를 나누는 남자커피 카페
https://cafe.naver.com/namjacoffee

검증된 맛있는 원두 구매
https://smartstore.naver.com/ncccoffee

남자커피 인스타
https://www.instagram.com/namja_coffee/

남자커피 채널 구독
https://www.youtube.com/channel/UC85mXeWRaycnlFmrhBdaAlg?view_as=subscriber

각종문의 
bakasa0817@gmail.com

#남자커피#홈카페#브루잉커피",2026-03-22T10:15:08Z,"남자커피,홈카페,브루잉,전자렌지커피,원두",26,ko,PT11M16S,2d,hd,false,54843,745,0,90,public,youtube,True,False,https://en.wikipedia.org/wiki/Food,https://i.ytimg.com/vi/hpjBM8Ktu8U/maxresdefault.jpg,thumbnails/남자커피NamjaCoffee/hpjBM8Ktu8U.jpg
나랏궁 여무강신정,UCajLD-PJlWxl79EaU4CsEyA,HvKTDzIj3IY,나랏궁 여무강신정 라이브 방송,"#여무강신정 #무당 #용한점집 #서울점집 #송파점집 #잠실점집 #유명한점집 #엑소시스트

🔔 여무 강신정입니다
🚩 신당 위치 : 서울시 송파구 ( 잠실 )
📞 예약문의 : 010 - 2188 - 1421

🔊 초심을 잃지 않고 항상 기도하며 
신령님의 옳은 말씀만 전하는 참된 무당이 되겠습니다.

모두 건강하시길 기원하며 복 받아 가세요 ^^",2026-03-08T22:00:20Z,,24,ko,PT59M2S,2d,hd,false,3388,101,0,5,public,youtube,True,False,,https://i.ytimg.com/vi/HvKTDzIj3IY/maxresdefault.jpg,thumbnails/나랏궁여무강신정/HvKTDzIj3IY.jpg
엄마솜씨,UCxbB8MuYJIXrgao5duH677Q,OsVcwAdsbuM,얼큰한 당면육개장~속이확~풀리는맛 탱글탱글 당면대파육개장,"[재료]
당면 70g
계란 2개
대파 2개
양파 반개
다진마늘 1스푼
물 1L
참치액 2스푼
국간장 2스푼
소금 조금
고춧가루 2스푼
식용유 2스푼
참기름 1스푼
후추






#육개장 #당면육개장#국요리",2026-03-24T09:23:36Z,"육개장,당면육개장,얼큰계란국,해장국,국물요리,육개장맛있게끓이기,집밥,밥반찬,밥도둑,요리,시원한국,간단한국,맛집,국밥,찌개,얼큰국,얼큰한,달걀국",22,ko,PT2M22S,2d,hd,false,1177,30,0,1,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/OsVcwAdsbuM/maxresdefault.jpg,thumbnails/엄마솜씨/OsVcwAdsbuM.jpg
내맘요리,UCoRzjhYrre-RDY4DD5Po6Rw,l6Iwr2oFLv4,간장장어볶음,#CapCut 이 멋진 동영상을 CapCut으로 제작했습니다. 링크를 열어 시도해 보세요: capcut.com/tools/desktop-video-editor,2026-02-28T10:16:48Z,,24,ko,PT5M18S,2d,hd,false,31,0,0,0,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/l6Iwr2oFLv4/maxresdefault.jpg,thumbnails/내맘요리/l6Iwr2oFLv4.jpg
청년피자,UCwHedDHLt0IQjCn0X85kGsA,-t1b5NXXQSU,청년피자에서 펼쳐지는 🍎성수동 애플베이컨 VS 옥수동 새우집🦐 맛대결,"🍎성수동 애플베이컨
얇게 겹겹이 쌓인 베이컨🥓
그 사이로 스며드는 달콤한 애플 소스🍎
묵직한 치즈의 풍미 🧀
피자 한판 담긴 성수동 힙한 골목 맛집 감성✨

🦐옥수동 새우집
탱글탱글 매콤한 새우🦐
달콤하게 톡톡 터지는 옥수수🌽
풍미 가득한 랍스터 크럼블 🦞
신선한 재료들이 모여 근사한 작품이 완성 ✨ 🍕",2026-03-27T01:11:10Z,"사업,창업,피자,프랜차이즈,소자본창업,고매출창업,고매출,소자본,청년피자",22,ko,PT1M9S,2d,hd,false,39,1,0,0,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/-t1b5NXXQSU/maxresdefault.jpg,thumbnails/청년피자/-t1b5NXXQSU.jpg
아린네TV,UC7uDUfjLT_h84MRke28t8tw,xX7o3ACl7WA,이 오독오독한 맛!! 안 드셔보셨으면 말을 허지 마셔여ㅎㅎㅎ 울외장아찌 아닌 무장아찌 나가신다~~,"술지개미 속에서 빼낸 무 삐대서 잘 썰은 후에 물에다 담가우려서 알콜기 다 빼고 쫙 짠 후에..
막장, 고추장, 다진마늘, 매실액이나 설탕, 파다진 것, 통깨 넣고 잘 무쳐서 냉장고에 뒀다가 드셔보세요~
식감이 좋아서 맛도 좋으실 거에요~~

술지개미에 넣어두었던 무는
시간이 지날수록 단맛이 올라오고
수분이 빠져 오독오독해져요.
울외는 저장성이 떨어져서
수확하고나면 바로 담가야 하지만(수확후부터 바로 상태가 시들시들해지기 시작하니 시간지체하면 못먹어요^^)..
무는 저장성이 높으니
무도 있고 시간도 있고 술지개미도 있으시다면 담가드셔보는 것 추천합니다!!!ㅎㅎㅎ


그리고 썰어서 물에 담가두고 술맛을 빼야 더 맛나요. 장아찌 먹고 술취하면 안되잖아요 그죠?ㅋㅋㅋ


울외보다는 맛이 투박하긴하지만
특별한 느낌의 술지개미무장아찌..

맛나게 고고고~~♡♡♡",2026-02-20T00:01:11Z,,26,ko,PT2M58S,2d,hd,false,84,5,0,2,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/xX7o3ACl7WA/maxresdefault.jpg,thumbnails/아린네TV/xX7o3ACl7WA.jpg
tattooist cokr,UC2bqeLsfzrNIy5hBwb05Ojg,BxdhyUDK57Y,라운드타투,,2026-02-15T05:21:59Z,,22,ko,PT16S,2d,hd,false,23,1,0,0,public,youtube,True,False,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Physical_fitness",https://i.ytimg.com/vi/BxdhyUDK57Y/maxresdefault.jpg,thumbnails/tattooistcokr/BxdhyUDK57Y.jpg
엽동,UCflhJ_M35sFyC6agKg0jgnw,GY8PKEodB9s,안녕하세요 엽동입니다,,2026-03-13T01:35:12Z,,22,ko,PT56S,2d,hd,false,128119,5348,0,509,public,youtube,True,False,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://i.ytimg.com/vi/GY8PKEodB9s/maxresdefault.jpg,thumbnails/엽동/GY8PKEodB9s.jpg
엉복치 ,UCFt9M6I69JMtrx6TbyxNiHA,pky6QhwjXC4,[세부여행] 웃음 가득한 캐셔닝 투어와 몇끼 먹었더라?,"안녕하세요 여러분
저는 이제 한국 들어갑니다!! 드디어 편집을 할 수 있겠어요!!
정말 와이파이가 안되서 미쳐 돌아가시는 줄 알았어요 
결국 이 영상도 기가 많은걸로 사서 핫스팟으로 올렸답니다ㅠㅠ
한국가서 좀 편집을 주 목적으로 진행해야될것같아요
아마 업로드가 주기적으로 모..못올라 갈 수도 있어요!! 죄송함돠!
그래도 영상 봐주셔서 감사합니다
사랑해요 여러분",2026-03-25T08:30:20Z,,22,ko,PT41M6S,2d,hd,false,357,8,0,1,public,youtube,True,False,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism",https://i.ytimg.com/vi/pky6QhwjXC4/maxresdefault.jpg,thumbnails/엉복치/pky6QhwjXC4.jpg
