channel_name,age_~17,age_18~24,age_25~34,age_35~44,age_45~54,age_55~64,age_65~,saturation_mean,saturation_std,laba_mean,labb_mean,color_entropy,saturated_ratio,red_ratio_ratio,orange_ratio_ratio,yellow_ratio_ratio,green_ratio_ratio,cyan_ratio_ratio,blue_ratio_ratio,purple_ratio_ratio,pink_ratio_ratio,person_ratio,text_ratio
2인칭 시점의 Haru,0.3,2.9,14.1,20.5,31.2,22.4,8.6,0.805369003,0.586340734,-3.47E-06,0.065248556,0.056967572,0.007738851,1.33E-09,5.38E-09,7.92E-10,2.44E-09,3.09E-10,4.03E-09,3.79E-10,2.01E-10,0.003929233,0.002702928
5K,19,21,21,15,13,9,2,0.377044751,0.924259551,0.048812198,0.01920795,0.026145683,0.001960741,2.27E-07,3.67E-09,7.45E-09,4.24E-08,4.40E-09,1.08E-07,1.50E-08,1.41E-08,0.011829142,0.001609969
:Dalgo 달고,1.4,23.1,41.2,20.9,10.6,1.9,1,0.89725238,0.407150013,0.037639742,0.160058761,0.045185888,0.008830392,1.86E-09,5.26E-09,3.86E-09,7.90E-10,6.08E-11,1.77E-10,4.18E-12,8.20E-11,0.003422959,0.000137835
?,14,21,21,15,14,11,4,0.734023907,0.665386065,0.097453518,0.076270488,0.055804015,0.006320974,2.22E-08,1.00E-08,6.92E-09,7.70E-09,1.85E-09,6.16E-09,2.65E-08,7.51E-09,0.001367001,4.72E-05
?????? ??????????,3.5,16.2,36.9,28.8,10.5,2.8,1.2,0.76871539,0.627260419,0.006779021,0.114487138,0.049378038,0.00521412,5.37E-09,1.97E-08,1.06E-08,7.36E-09,2.34E-09,3.83E-09,1.84E-10,3.21E-10,0.001504501,0.000339476
____________ Family kim 유바이타이카오,0.8,8.3,31.5,26.6,24.4,6.5,1.9,0.747471503,0.655903648,0.042217074,0.084084174,0.046778812,0.005730495,9.58E-09,2.31E-08,8.11E-09,3.77E-09,1.35E-09,9.12E-09,1.47E-09,1.05E-09,0.001676754,0.000647746
??백복남TV??,0,1.1,6,10.7,27.2,39.4,15.6,0.86073753,0.504977545,0.031175465,0.009244268,0.054901526,0.007212804,9.05E-10,2.61E-09,1.80E-09,2.95E-09,1.47E-09,7.02E-09,7.46E-10,2.42E-10,0.002231692,0.000185966
ASL UY JOY SAVDO,14,21,21,15,14,11,4,0.708615054,0.700297532,0.045387229,0.052218798,0.051102913,0.005516205,1.79E-08,1.60E-08,8.02E-09,7.07E-09,2.94E-09,1.58E-08,1.74E-09,1.60E-09,0.003775154,0.002253944
All things,0.6,2.9,19.5,20.1,28.7,18.4,9.8,0.805825488,0.585238934,0.026490347,0.072169922,0.046501923,0.00703216,2.54E-09,4.20E-09,1.48E-09,2.27E-09,9.30E-11,1.82E-09,1.40E-10,2.98E-10,0.000307901,0.00429677
Armii Craft 아르미 공작소,5.7,6.7,13.2,47.3,21.9,2.5,2.6,0.637264415,0.766198816,0.04243851,0.012775977,0.069456715,0.005624966,3.61E-09,3.48E-09,4.54E-09,1.68E-09,1.56E-09,8.20E-09,1.28E-09,2.40E-09,0,0.003648485
