channel_name,channel_id,video_id,title,description,published_at,tags,category_id,default_language,duration,dimension,definition,caption,view_count,like_count,favorite_count,comment_count,privacy_status,license,embeddable,made_for_kids,topic_categories,thumbnail_url,thumbnail_path
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,SYAeout8bdA,"""5년 뒤에는 상식이 됩니다"" 최적의 비타민D 섭취 가이드 (고정댓글에 추천 제품 공개)","💊 원활한 비타민D 대사를 위해 제가 추천하는 조합은 다음과 같습니다.
1) 비타민D 보충제 고르기
- A안: 비타민D 5000IU : 아이허브(180정, 15173원) https://iherb.co/wsBMxAKY
- B안: 비타민D+K2 : 아이허브(60정, 22879원) https://iherb.co/iBmyZ6Ln

2) 마그네슘 고르기: 마그네슘은 비타민D 대사 보조에 중요
- A안: 트레온산 마그네슘(90정, 43,005원) https://iherb.co/5sespN3P
- B안: 마그네슘 글리시네이트(180정, 23,251원) https://iherb.co/EuKCUkeA

3) 오메가3 보충제 또는 음식을 통해 지방 충분히 보충하기
- 칼슨 액상 대구간유(500ml, 63,527원) https://iherb.co/CYBWjTVC
- 칼슨 소프트젤(180정, 47385원) https://iherb.co/1TEE5eFQ

4) 가능할 때 햇빛 충분히 쐬기(여름을 제외한 계절에는 정오 전후로 15분 정도는 쐬어주기)

위의 링크는 어떻게 제품을 구매할지 모르시는 분들을 위해 참고하실 수 있게 넣었습니다. 해당 링크로 구매할 경우 ‘아이허브’의 리워드 시스템으로부터 소정의 수수료를 받습니다. 이 수익으로 더 좋은 것들 먹어보고 알려드릴 수 있게 귀하게 쓰겠습니다.


📝 ""남들보다 앞서가는 건강 정보를 매주 2번씩 받아보세요"" 
최겸의 건강뉴스레터 신청 👉 https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.


🥵 사우나 애호가들에게서 알아낸 전국 사우나·스파 리스트
서울: 청담 프리마스파 / 리버사이드호텔 더 메디스파 / 청담 면역공방 / 스파레이 / 초이스바이반트 / 롯데골드로즈 사우나 / 클럽케이서울 / 스파렉스 / 우리유황온천 / 하이렉스 스파 / 드봉여성사우나 / 솔로사우나레포 노량진점 / 마포365구민센터 사우나 / 숲속한방랜드 / 더파크스파랜드 / 삼호궁전보석사우나 / 오라카이 청계산 호텔 사우나

경기·인천: 네이처스파 / 테르메덴 / 주심 유황 참숯가마 / 아쿠아필드 고양 / 다산 스파디움24 / 파라다이스시티 스파 / 아쿠아필드 안성 / 아일랜드캐슬 / 가야랜드 / 아쿠아필드 하남 / 워터캐슬 하남미사점 / 월문온천 / 석모도 미네랄온천 / 더스파하우스

강원: 설해원 웰니스 리조트 / 오색탄산온천 / 필례 게르마늄온천 / 나무향기 불한증막 / 동해참숯찜질방 / 소노펠리체 델피노 / 해수보양온천 / 척산온천휴양촌

충청: 스플라스 리솜 / 아일랜드 리솜 / 파라다이스 스파 도고 / 스파비스 / 온양온천 / 킹스파 / 해브나인 스파 / 능암탄산온천 / 수안보 온천

경상: 허심청 / 소노캄 경주 / 거제도 해수보양온천 / 백두산천지온천 / 부곡 스파디움 / 마금산원당보양온천 / 스파더스페이스 / 상대온천 / 문경 STX 리조트 / 학가산 온천 / 영주온천 / 사일온천 / 덕구 온천리조트 스파월드 / 군불로 / 용암온천 / 힐링테마온천 / 스파랜드 센텀시티 / 클럽디오아시스 / 광안리 해수탕

전라: 담양온천리조트 / 율포해수녹차센터

제주: 제주 산방산 탄산온천 / 온쉼 / 해미안 녹차해수사우나 / 면역공방 제주 / 아라고나이트 고온천 / 오레브 핫스프링 앤 스파 / 소노벨 제주 호텔 사우나 / 하얏트호텔 사우나

📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

[도서] 최겸의 건강 프레임워크 : 스타일스맵(STILESMEPP) 
📓 도서(스타일스맵 플레이북) https://bit.ly/STILESMEPP2024
🎤 강연 https://youtu.be/FanyAAWpwgo?si=Xj8pNnb6SzCPCz4q

⏰ Time Line
00:00 인트로
00:26 비타민D 공급 방법
01:42 보충제 선택 기준
03:23 비타민D 복용 타이밍
04:01 마그네슘과 비타민K2
07:10 비타민D 복용 가이드
11:13 비타민D 영양제 가이드
13:53 햇빛을 통한 비타민D
27:18 음식을 통한 비타민D",2026-03-28T03:14:20Z,"비타민D,비타민",26,ko,PT30M15S,2d,hd,false,12011,586,0,13,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/SYAeout8bdA/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\SYAeout8bdA.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,rNilIRqX-JQ,"""아침메뉴 걱정이 사라집니다"" 양파만 볶으면 끝나는 초간단 오픈 샌드위치","🧅🧄🥑 양파볶음 오픈 샌드위치
-[재료(2인분 기준)]
- 슈퍼파워 치아바타 2개 https://bit.ly/SPCIBATA
- 양파 1개 https://link.coupang.com/a/b9sFyS
- 마늘 4~5쪽 또는 다진마늘 1T(15g)
    - 깐마늘 https://link.coupang.com/a/bqFxlj
    - 다이소에 가면 마늘 다질 때 쓰는 “갈릭 프레스” 2천원이고, 줄 당겨서 쓰는 초퍼는 3천원이에요.
    - 다진마늘 https://link.coupang.com/a/ZzrRT
- 달걀 원하는 만큼(2~4개)
- 아보카도 1개 https://link.coupang.com/a/cTei0d
- (선택) 사워크라우트 0.5~1줌
    - 주카토 https://link.coupang.com/a/d3GJ0j
- 올리브유, 소금, 후추
- 버터
- (선택) 크러시드 페퍼

[만드는 법]
1. (통마늘이라면) 마늘을 다진다.
2. 양파를 채썬다.
3. 팬에 올리브유를 두르고 다진 마늘이 살짝 노릇노릇해질 때까지 볶는다.
4. 팬에 양파를 추가하고 소금을 적당히 뿌리고 양파가 반투명해질 때까지 볶는다. 단맛을 더 내고 싶으면 뚜껑을 덮고 약불에 30분간 굽는다.
5. 치아바타를 수평으로 반으로 가르거나 바게트를 자르듯이 수직으로 썰어서 에어프라이어 또는 오븐에서 170~180도에 3~4분간 굽는다.
6. 아보카도를 슬라이스한다.
7. 팬에 올리브유를 두르고 달걀을 굽는다. 소금, 후추, 크러시드 페퍼를 적절하게 뿌리고 뚜껑을 덮어서 노른자가 취향에 맞게 익을 때까지 굽는다.
8. 접시에 빵, 볶은 양파, 아보카도, 달걀, 치아바타, 사워크라우트를 놓고 아보카도 위에 올리브유, 소금, 후추를 뿌린다.
9. 빵에 버터를 바르고 원하는 재료를 얹어서 먹는다.

📝 최겸의 건강뉴스레터 신청
https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

🙏 자료 연구, 콘텐츠 촬영, 편집 등의 제작은 겸엑스라이프샵에서 나오는 수익을 통해서 이루어집니다. 

⏰ Time Stamp
00:00 인트로
00:32 재료 소개
02:27 마늘 양파 손질
03:37 볶기
05:35 빵 데우기
06:55 아보카도 썰기
07:28 달걀 후라이
08:37 플레이팅
10:05 시식",2026-03-24T09:27:35Z,,26,ko,PT12M8S,2d,hd,true,27486,654,0,31,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/rNilIRqX-JQ/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\rNilIRqX-JQ.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,UMxknVYshdU,모든 다이어트를 해봤지만 평생 비만이었던 여성의 30kg 감량 비결,"🥖 빵, 이제는 참지 마세요 ""슈퍼파워 치아바타""
https://bit.ly/SPCIBATA

📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📓 최겸 다이어트 실전 가이드북, 스타일스맵 플레이북
https://bit.ly/STILESMEPP2024

📝 최겸의 건강뉴스레터 신청
https://bit.ly/SPL2026
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

🙏 자료 연구, 콘텐츠 촬영, 편집 등의 제작은 겸엑스라이프샵에서 나오는 수익을 통해서 이루어집니다. 

⏰ Time Line
00:00 인트로
00:45 게스트 소개
01:18 변화 과정
03:20 다이어트 전의 삶
04:25 변화의 시작
09:30 집밥 시작
15:10 수면의 중요성
16:27 나쁜 음식과의 관계
26:17 PMS와 식욕",2026-03-22T05:45:18Z,,26,ko,PT29M50S,2d,hd,true,49195,1119,0,79,public,youtube,True,False,"https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/UMxknVYshdU/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\UMxknVYshdU.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,UDzZavZtr4w,"살빠지고, 근육 붙고, 면역력과 뇌건강이 좋아지는 최적의 비타민D 섭취량","💊 제가 먹고 있는 제품은 다음과 같습니다. 자세한 복용 가이드는 다음에 이어서 올라올 영상에서 설명합니다.
- 비타민D 5000IU : 아이허브(180정, 15173원) https://iherb.co/wsBMxAKY
- 비타민D+K2 : 아이허브(60정, 22879원) https://iherb.co/iBmyZ6Ln

위의 링크는 어떻게 제품을 구매할지 모르시는 분들을 위해 참고하실 수 있게 넣었습니다. 해당 링크로 구매할 경우 ‘아이허브’의 리워드 시스템으로부터 소정의 수수료를 받습니다. 이 수익으로 더 좋은 것들 먹어보고 알려드릴 수 있게 귀하게 쓰겠습니다.

📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📝 ""남들보다 앞서가는 건강 정보를 매주 2번씩 받아보세요"" 
최겸의 건강뉴스레터 신청 👉 https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

[도서] 최겸의 건강 프레임워크 : 스타일스맵(STILESMEPP) 
📓 도서(스타일스맵 플레이북) https://bit.ly/STILESMEPP2024
🎤 강연 https://youtu.be/FanyAAWpwgo?si=Xj8pNnb6SzCPCz4q

⏰ Time Line
00:00 인트로
00:48 비타민D 검사
01:22 적정 비타민D 수치
04:43 VITAL 연구의 한계
07:42 고용량 복용의 리스크
10:52 비타민D 섭취 제안
15:49 결론",2026-03-21T01:25:29Z,"비타민D,비타민",26,ko,PT18M12S,2d,hd,true,25756,717,0,47,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/UDzZavZtr4w/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\UDzZavZtr4w.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,oOfRCRbVilI,"""자는 동안에도 살이 빠집니다"" 최고의 저녁 메뉴","🥑 ""아보카도x달걀x사워크라우트 삼합 플레이트"" 레시피
- 아래의 링크 중 쿠팡 링크를 통해 구매하실 경우, 쿠팡에서 일정액의 수수료를 제게 지급합니다(검색을 어려워하는 분들이 참고하실 수 있게 넣었을 뿐, 각자 원하시는 것을 구매하시면 됩니다).
- 레시피의 T는 큰 술(15ml), t는 작은술(5ml)을 의미하며 1컵은 약 200ml입니다.
- 수익은 좋은 콘텐츠 제작에 소중히 사용하겠습니다.
- 혹시 레시피에 수정이 필요한 내용이 있다면 gyumxkorea@gmail.com으로 알려주세요.

[재료] 
달걀 2~4개 https://link.coupang.com/a/d7P4bi
아보카도 0.5~1개 https://link.coupang.com/a/d7P3Qh
사워크라우트 1줌 
- 주카토(양배추, 백포도주, 정제소금) https://link.coupang.com/a/d7PXS2
올리브유 https://bit.ly/3YsacVC
소금 https://bit.ly/3AXA8k2
후추 https://link.coupang.com/a/d7P3mF

[만드는 법]
1. 달걀을 끓는 물에 7분 30초~7분 45초간 삶는다. (꺼내자마자 찬물에 식힌다)
2. 아보카도를 슬라이스해서 접시에 올린다.
3. 사워크라우트를 접시에 올린다.
4. 삶은 달걀을 반으로 갈라서 접시에 얹는다.
5. 아보카도에 올리브유를 듬뿍 뿌리고, 아보카도와 삶은 달걀에 소금과 후추를 적당히 뿌린다. 

📝 최겸의 건강뉴스레터 신청
https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

🙏 자료 연구, 콘텐츠 촬영, 편집 등의 제작은 겸엑스라이프샵에서 나오는 수익을 통해서 이루어집니다. 

⏰ Time Stamp
00:00 인트로
01:22 재료 소개
02:10 아보카도 손질
02:39 달걀 준비
04:05 사워크라우트
04:38 시식",2026-03-20T02:56:30Z,,26,ko,PT9M37S,2d,hd,true,55765,1175,0,68,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/oOfRCRbVilI/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\oOfRCRbVilI.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,78v2pocsYXI,"""이중 하나만 바로 시작해 보세요"" 인생 영양제와 아침루틴 공개","📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📓 최겸 다이어트 실전 가이드북, 스타일스맵 플레이북
https://bit.ly/STILESMEPP2024

📝 최겸의 건강뉴스레터 신청
https://bit.ly/SPL2026
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

🙏 자료 연구, 콘텐츠 촬영, 편집 등의 제작은 겸엑스라이프샵에서 나오는 수익을 통해서 이루어집니다. 

⏰ Time Line
00:00 인트로
00:41 추천 영양제
03:29 오메가3 후기
07:46 만성피로 영양제 추천
13:52 고기 온라인몰 추천
15:48 내장육 섭취법
18:19 아침루틴
22:41 자존감과 자기확신
27:07 한 해를 바꿀 실천
33:09 마지막 메세지",2026-03-17T06:17:53Z,,26,ko,PT35M6S,2d,hd,true,34915,1135,0,80,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/78v2pocsYXI/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\78v2pocsYXI.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,SBatV4IYCqo,"""속는 셈치고 보세요"" 이 영양소만 챙겨도 몸이 훨씬 좋아집니다","💊 제가 먹고 있는 제품은 다음과 같습니다. 자세한 복용 가이드는 다음에 이어서 올라올 영상에서 설명합니다.
- 비타민D 5000IU : 아이허브(180정, 15173원) https://iherb.co/wsBMxAKY
- 비타민D+K2 : 아이허브(60정, 22879원) https://iherb.co/iBmyZ6Ln

위의 링크는 어떻게 제품을 구매할지 모르시는 분들을 위해 참고하실 수 있게 넣었습니다. 해당 링크로 구매할 경우 ‘아이허브’의 리워드 시스템으로부터 소정의 수수료를 받습니다. 이 수익으로 더 좋은 것들 먹어보고 알려드릴 수 있게 귀하게 쓰겠습니다.

📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📝 ""남들보다 앞서가는 건강 정보를 매주 2번씩 받아보세요"" 
최겸의 건강뉴스레터 신청 👉 https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

[도서] 최겸의 건강 프레임워크 : 스타일스맵(STILESMEPP) 
📓 도서(스타일스맵 플레이북) https://bit.ly/STILESMEPP2024
🎤 강연 https://youtu.be/FanyAAWpwgo?si=Xj8pNnb6SzCPCz4q

⏰ Time Line
00:00 인트로
00:45 비타민 D란
04:50 빛의 과학
07:09 종류와 대사 과정
10:12 1)뼈/치아 건강
15:48 2)면역력 유지
18:37 3)근육 건강
21:22 4)지방대사
22:56 5)뇌/정신 건강
24:37 6)호흡기/장/피부 건강
27:08 7)심혈관 기능
28:14 8)임신/생식 건강
31:16 결론",2026-03-14T02:21:49Z,"비타민D,비타민",26,ko,PT33M4S,2d,hd,true,50605,1660,0,96,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/SBatV4IYCqo/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\SBatV4IYCqo.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,FI_iZNrm_8g,"""10kg 빠지고 우울증과 고혈압이 사라졌어요"" 20년 먹은 우울증약까지 끊게 만든 건강습관 총정리 | 유튜버 이서울","📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📓 최겸 다이어트 실전 가이드북, 스타일스맵 플레이북
https://bit.ly/STILESMEPP2024

📝 최겸의 건강뉴스레터 신청
https://bit.ly/SPL2026
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

🙏 자료 연구, 콘텐츠 촬영, 편집 등의 제작은 겸엑스라이프샵에서 나오는 수익을 통해서 이루어집니다. 

⏰ Time Line
00:00 인트로
01:18 생활습관 변화 계기
08:00 인생을 바꾼 생활습관
10:33 소금물의 효과
14:37 식초물의 효과
16:44 식초물 섭취 주의점 
18:11 식사를 통한 행복감
20:11 초보자를 위한 제안
22:35 외식 메뉴 추천
28:26 콩 이슈
32:12 햇빛의 중요성",2026-03-13T03:08:24Z,,26,ko,PT36M17S,2d,hd,true,127652,3596,0,360,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/FI_iZNrm_8g/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\FI_iZNrm_8g.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,GQalfcB8yhc,20명 중 1명만 아는 최고의 단백질 섭취 타이밍,"📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📝 ""남들보다 앞서가는 건강 정보를 매주 2번씩 받아보세요"" 
최겸의 건강뉴스레터 신청 👉 https://bit.ly/SPLHOME
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

[도서] 최겸의 건강 프레임워크 : 스타일스맵(STILESMEPP) 
📓 도서(스타일스맵 플레이북) https://bit.ly/STILESMEPP2024
🎤 강연 https://youtu.be/FanyAAWpwgo?si=Xj8pNnb6SzCPCz4q

⏰ Time Line
00:00 인트로
00:50 기회의 창
06:57 공복시간과 근육에 대한 오해
11:34 일일 단백질 섭취 횟수
16:37 아침 단백질 섭취 추천하는 이유
17:19 핵심정리",2026-03-09T08:27:58Z,,26,ko,PT19M53S,2d,hd,true,41646,1231,0,37,public,youtube,True,False,https://en.wikipedia.org/wiki/Health,https://i.ytimg.com/vi/GQalfcB8yhc/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\GQalfcB8yhc.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,H78Bn_1qc3k,"""이렇게 먹으니 식욕이 안정적이에요"" 요리초보 주부의 인생을 바꾼 레시피 총정리","📕 수진님의 몸과 마음을 바꾼 레시피북 
https://bit.ly/Aerecipe

📓 최겸의 습관플래너 ""슈퍼파워 플래너 2026"" 공개
https://bit.ly/SPPLANNER

📓스타일스맵 플레이북
https://bit.ly/STILESMEPP2024


📝 최겸의 건강뉴스레터 신청
https://bit.ly/SPL2026
뉴스레터를 구독하시면(연간 구독료 10만원) 제가 전하는 100편의 건강 정보를 1년간 메일로 받을 수 있게 됩니다.

🙏 자료 연구, 콘텐츠 촬영, 편집 등의 제작은 겸엑스라이프샵에서 나오는 수익을 통해서 이루어집니다. 

⏰ Time Line
00:00 인트로
00:32 디저트를 끊게 한 라이블리 스무디
02:38 수진님의 운동 루틴
05:30 멀티태스킹 끊기
06:23 누룩요거트 만드는법
10:07 집밥 메뉴 추천
12:17 초보자를 위한 메뉴 추천
25:53 오레가노 오일 사용 후기
30:18 마지막 메시지",2026-03-07T06:28:01Z,,26,ko,PT36M1S,2d,hd,true,50640,968,0,56,public,youtube,True,False,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",https://i.ytimg.com/vi/H78Bn_1qc3k/maxresdefault.jpg,thumbnails_Health\다이어트과학자최겸GyumChoi\H78Bn_1qc3k.jpg
