title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
숏츠대방출,https://www.youtube.com/channel/UC6_QfA_NuniVeaaiQ5UvFSQ,6500,4927924,26.0,73.0,,,,,,,
바라픽,https://www.youtube.com/channel/UCp-NNFdVA1YnBoSVW3Oofiw,20800,3790232,33.0,66.0,,,,,,,
지구촌 별난 세상,https://www.youtube.com/channel/UCum-S9BjTLGYLDfk7ihnHiQ,56000,3392687,56.0,43.0,3.6157582298974638,13.653534808418783,29.141932002158665,21.96438208310847,21.42471667566109,7.879114948731787,2.3205612520237455
이런거지,https://www.youtube.com/channel/UCEtLvsrVXP7QtodFwcyFckA,55200,3193749,13.0,86.0,4.164497657470068,15.096304008328994,32.17074440395627,21.70744403956273,19.781363872982823,5.674128058302967,1.405517959396148
이선생의 영상일기,https://www.youtube.com/channel/UCSA0Y5PTqb8dH1sdscS4LdA,151000,2991823,39.0,60.0,,,,,,,
오늘마셋(TODAY MINDSET),https://www.youtube.com/channel/UCgSeHmcjUARxrcNvAls_mTA,60300,2786993,26.0,74.0,1.7089305402425574,9.647188533627341,28.280044101433287,22.7122381477398,24.641675854465266,10.3638368246968,2.646085997794928
우가놀이 WOOGA play,https://www.youtube.com/channel/UCGIMrHcc36a_nMZM202ZoDQ,1690000,2283882,53.0,46.0,1.1195928753180662,8.040712468193384,42.18829516539439,34.70737913486005,9.36386768447837,2.7480916030534353,1.8320610687022898
예쁜영어교실,https://www.youtube.com/channel/UCd0GwB8Y9s2skU9RAT980Gw,37200,2131283,28.0,71.0,,,,,,,
Виктор Сазонов,https://www.youtube.com/channel/UCHeZ0VK0vY1mn3wGy1jfJ4g,157000,2046866,28.0,71.0,,,,,,,
임용패쓰,https://www.youtube.com/channel/UCyyBNXuB0mbOu9An9J6AsZA,72400,2040336,32.0,67.0,,,,,,,
モーメンツ,https://www.youtube.com/channel/UCVIGA-WIQ1AIpiFyypAO1vg,10800,1948316,28.0,71.0,2.8921023359288105,15.461624026696331,31.47942157953282,19.911012235817577,17.63070077864294,9.232480533926585,3.39265850945495
행복한인생,https://www.youtube.com/channel/UCi8XnPhyqIP6o0MQzSE8GSw,83200,1946852,57.7,42.300000000000004,0.0,0.30000000000000004,2.8,8.5,28.900000000000002,35.599999999999994,23.9
예쁜영어수업,https://www.youtube.com/channel/UCiNtix4WTIOQig42W7Z5Vwg,7960,1882002,28.0,71.0,,,,,,,
