title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
DoubleBite,https://www.youtube.com/channel/UCEjyzcaxd15QtJWlP4-VMWw,1230000,21983619,50.0,49.0,4.777241009125067,17.659688674181425,33.279656468062264,22.5979602791197,15.834675254965108,4.3478260869565215,1.5029522275899085
청담언니,https://www.youtube.com/channel/UCWUs7iRHBk3p0YQ85Ae7OXg,8580000,14610744,46.0,53.0,6.483957219251336,10.895721925133689,19.518716577540108,29.27807486631016,26.537433155080215,4.010695187165775,3.275401069518717
푸딩 FOODING,https://www.youtube.com/channel/UCz1__nhtuF94sI3grQ-z8eA,3140000,9819892,42.0,57.0,3.6839295248264814,14.148424986652428,29.364655632674854,21.569674319273894,20.1281366791244,8.168713294180458,2.936465563267485
푸디타임 FoodieTime,https://www.youtube.com/channel/UC2ZtxQPW0z2_iCbZdklvCMA,756000,7166032,46.0,53.0,0.3444316877152699,2.5832376578645238,13.14580941446613,20.3788748564868,26.63605051664753,25.37313432835821,11.53846153846154
Almond Breeze Korea,https://www.youtube.com/channel/UC9q6q0lESL-WP6WZyrM6sVw,2430,5915828,55.0,44.0,2.10727969348659,13.505747126436782,37.97892720306513,21.743295019157085,16.810344827586203,6.130268199233716,1.7241379310344824
NamCook 남쿡,https://www.youtube.com/channel/UCfiOvlU7hCGHl_yP_ddfyRw,4650000,5121985,63.0,36.0,6.339468302658487,27.096114519427406,31.697341513292432,20.654396728016362,10.531697341513294,2.351738241308793,1.3292433537832309
Buldak Official,https://www.youtube.com/channel/UCr_12XWor63n79-cbWg-N3Q,355000,4893014,48.0,51.0,8.170995670995671,24.134199134199132,29.81601731601732,19.967532467532468,13.852813852813856,2.4891774891774894,1.5692640692640691
공간 탐닉 Space Tamnik,https://www.youtube.com/channel/UCckPFEWk26ZhM26hnzEcm7g,575000,4591863,32.0,67.0,,,,,,,
맛잼러,https://www.youtube.com/channel/UCeNu-4bPY3EPQGae1FTndSA,86200,4440234,30.0,69.0,,,,,,,
돼끼 baby_pig_rabbit,https://www.youtube.com/channel/UCW-QBEmxsme2FAONSnTjp-g,1070000,4276693,63.0,36.0,,,,,,,
Coca-Cola Korea,https://www.youtube.com/channel/UCzCxSb_RYZuaiaP3u9QNR_A,115000,3959489,37.0,62.0,1.4267990074441685,11.786600496277915,32.506203473945405,24.441687344913152,16.004962779156322,9.801488833746898,4.032258064516129
소식 소식,https://www.youtube.com/channel/UClfiVyOSmbG6Yc7AuRBDnxQ,61800,3349596,36.0,63.0,0.5561735261401557,3.170189098998887,8.676307007786429,17.352614015572858,26.696329254727473,27.697441601779754,15.850945494994436
픽픽픽,https://www.youtube.com/channel/UCgICmAGY-t-Nfu_Z4LsfYoA,86600,3294804,55.0,44.0,0.7322175732217573,5.334728033472804,24.372384937238493,22.698744769874477,27.092050209205027,14.539748953974897,5.2301255230125525
이상한 과자가게  weird sweets shop,https://www.youtube.com/channel/UCNYE6N9YZmsUyReBLzE9x9Q,1620000,3228275,73.0,26.0,,,,,,,
무비핫쇼츠,https://www.youtube.com/channel/UCOAdBZTtKWtrFGgiZ2IHm3A,18400,3158404,,,2.8,13.2,19.6,20.2,22.4,13.6,7.8
농심 nongshim,https://www.youtube.com/channel/UCzGara7SUTKXruclCD4eA5g,44100,3128473,32.0,67.0,3.8114343029087254,16.850551654964892,33.50050150451354,22.56770310932798,16.950852557673016,4.413239719157472,1.9057171514543627
이희태,https://www.youtube.com/channel/UCyQz1uDglowjkkcKI1oMCqg,361000,2960039,28.0,71.0,2.3600439077936333,22.392974753018656,33.589462129527995,24.807903402854006,14.1602634467618,2.195389681668496,0.49396267837541163
1분 영화드라마,https://www.youtube.com/channel/UCqaq5w9za_Yell6byec509Q,81800,2922614,,,2.8,16.8,26.8,20.7,19.0,9.4,4.3
TRAVELICIOUS,https://www.youtube.com/channel/UCfvirg3MV5WIDH_Gt-Ctcbg,1080000,2884848,42.0,57.0,3.1779661016949152,17.796610169491526,36.65254237288135,24.258474576271183,12.5,4.025423728813559,1.5889830508474576
Kalpona South Korea,https://www.youtube.com/channel/UCXaP-UftW3J_Q9rjp6SGZng,946000,2806534,57.0,42.0,5.599626691553897,20.06532897806813,32.2911805879608,19.97200186654223,13.952403173121791,5.92627158189454,2.19318712085861
