title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
씨팜툰,https://www.youtube.com/channel/UC5PGQ5fccTrtHs6mu41vAaw,54300,3072664,47.0,52.0,0.6540222367560496,3.924133420536298,22.89077828646174,17.004578155657292,27.86134728580772,19.228253760627858,8.436886854153041
오펠라 헬스케어 코리아 일반의약품,https://www.youtube.com/channel/UCYXaaLg1-T2OmGnpi9jWUFw,3210,1761276,69.5,30.4,0.0,5.2,27.5,32.1,28.3,3.9000000000000004,2.9000000000000004
땡큐손머치 스튜디오,https://www.youtube.com/channel/UCL5p5u4IoMd4a25LR9Hn13w,122000,1726122,64.0,35.0,0.05341880341880342,0.6944444444444445,4.807692307692308,12.92735042735043,29.700854700854702,31.99786324786325,19.818376068376068
毎日健康習慣,https://www.youtube.com/channel/UChBMamCtCtQsLmg_ComKJgw,27800,1428413,28.0,71.0,,,,,,,
10초재미,https://www.youtube.com/channel/UC9Tmcf_ix7nhovO-RfLfe6g,88200,1340442,83.0,16.0,1.1,7.1,15.4,18.7,25.8,19.3,12.2
1분토커,https://www.youtube.com/channel/UCJ5pGJy66H5cMJqatOm96pg,56000,1320038,50.0,49.0,0.7625272331154684,7.952069716775599,19.063180827886708,20.206971677559913,25.272331154684085,18.681917211328972,8.061002178649238
すこやかなあした,https://www.youtube.com/channel/UCXE3i4GVI5W44QpNlS02nZw,12600,1287546,58.0,41.0,,,,,,,
세노비스CENOVIS,https://www.youtube.com/channel/UCtT1TPuNzp5DVIG4KW7f2EA,6320,1230258,40.0,59.0,1.5189873417721518,3.139240506329114,5.3164556962025316,11.08860759493671,22.12658227848101,24.911392405063292,31.89873417721519
Isla Rune Pilates,https://www.youtube.com/channel/UC1ll_4DblySYDARZcbOt3xg,473000,1224396,28.0,71.0,,,,,,,
백세인생창고,https://www.youtube.com/channel/UCjCm6kaVRJQbl53-KjRFTag,39100,1161141,33.0,66.0,0.10554089709762532,1.3192612137203166,6.596306068601583,13.614775725593667,29.182058047493403,31.187335092348285,17.994722955145114
오늘의 기준,https://www.youtube.com/channel/UCYj8qefr1T01uE_UrNrDnpw,40100,1115534,27.0,72.0,,,,,,,
백세마음쉼터,https://www.youtube.com/channel/UCBeWbpu-T0KwZ4HDcBP4qpQ,13400,955766,27.0,72.0,,,,,,,
Listerinekorea,https://www.youtube.com/channel/UCO7UKHPnqWZhlxrRIZFXhaQ,24500,845647,45.0,54.0,2.6331187829139853,15.330602691632537,39.3212404915155,14.511410181392629,12.404915155061442,10.064365125804567,5.734347571679345
하루한줄지혜,https://www.youtube.com/channel/UCSCDuAk2anY738M9VcnpexA,50500,814265,55.1,45.0,0.0,0.2,2.3,5.1,14.5,31.200000000000003,46.8
궁금햄,https://www.youtube.com/channel/UC2cWSW3BEEnXunyYXURH2jA,21100,798373,58.0,41.0,3.8080333854981747,14.449660928534168,32.34220135628586,21.70057381324987,19.30099113197705,6.729264475743349,1.6692749087115286
SunnyYoga,https://www.youtube.com/channel/UC1pkkpiVZ8esB_T1JDUnCKg,817000,796242,69.0,30.0,0.10689470871191879,1.496525921966863,7.696419027258152,15.553180117584184,30.25120256547301,28.75467664350615,16.141101015499736
채널아하: 채널A Health & Asset,https://www.youtube.com/channel/UCv7HX-7ctqTH4cXxT1nfrIg,755000,759561,56.0,43.0,1.4705882352941175,1.365546218487395,8.5609243697479,9.716386554621849,19.95798319327731,27.941176470588236,30.987394957983195
운동메이트 장쌤,https://www.youtube.com/channel/UCKL-NOJXjr4B8l8mKLpCL-g,136000,734841,45.0,54.0,0.10911074740861974,1.5821058374249866,8.01963993453355,16.093835242771412,30.27823240589198,29.89634478996181,14.02073104200764
찬란하다,https://www.youtube.com/channel/UC0s6S6MXt5Ir6pPjJzxNrjQ,154000,724653,53.0,46.0,0.3923766816143498,2.073991031390135,11.26681614349776,18.890134529147986,27.130044843049333,26.121076233183853,14.125560538116593
오늘의 건강명언,https://www.youtube.com/channel/UCkYEheMgBAUr1CVauhoMaxw,16300,683635,27.0,72.0,1.214798453892877,1.5461071231363885,11.430149088901159,16.344561016013255,23.522915516289345,31.80563224737714,14.135836554389842
국민건강보험,https://www.youtube.com/channel/UC7tsTpx4Ra-oJrjIb9ItBUA,97000,683081,49.0,50.0,0.9664582148948265,6.822057987492894,22.853894258101196,24.90051165434906,21.716884593519044,13.757816941444002,8.982376350198978
중년감각,https://www.youtube.com/channel/UC715gPss2ke-V_WlXlFyiAg,82400,653013,28.0,71.0,,,,,,,
Allblanc TV,https://www.youtube.com/channel/UCq7bR6RxqqOx8cptc1-0AVQ,4680000,640039,49.0,50.0,0.3846153846153846,3.4615384615384617,14.175824175824175,20.98901098901099,27.637362637362635,22.252747252747252,11.0989010989011
행복한 시니어통,https://www.youtube.com/channel/UCvFhSjuB8xztOd09KIQXXkw,25800,636900,58.0,41.0,,,,,,,
DR.유미의 성(性)세포들,https://www.youtube.com/channel/UCJkmwh-4kFkhxT_fNEGkhnw,53000,636449,65.0,34.0,0.11092623405435387,1.4420410427066,7.76483638380477,14.91957848031059,30.72656683305602,29.783693843594012,15.252357182473656
Gillette Korea 질레트코리아,https://www.youtube.com/channel/UCsLPMQ1AUrQPduAV3RaPzWw,11400,631967,29.0,70.0,1.0834236186348862,9.317443120260023,21.34344528710726,18.85157096424702,22.643553629469125,13.434452871072589,13.326110509209101
SINSIN PHARM,https://www.youtube.com/channel/UCF4p12j1j4wgHcXyK5UETnw,4710,591603,22.0,77.0,0.3266194882961351,5.5525313010342945,26.89167120304845,28.30702231899837,25.149700598802394,10.887316276537835,2.885138813282526
AIGenPics (구독🖤Subscribe!),https://www.youtube.com/channel/UC6mh-c423aqkS7U8QZxMKcw,116000,590429,25.0,74.0,,,,,,,
동아제약 OFFICIAL,https://www.youtube.com/channel/UCCMDP4zxreqQ3v5BAYK6KRg,42000,558924,57.6,42.3,0.0,13.2,14.5,28.7,13.600000000000001,13.2,16.7
바디툰,https://www.youtube.com/channel/UCiIuHqGT1XwSZxGtn5t-1qw,83300,485535,55.0,44.0,4.923239809422975,17.469560614081526,33.298041291688726,21.969295923769188,17.363684489147698,3.7056643726839598,1.270513499205929
헬스걸스,https://www.youtube.com/channel/UCjzu9KEwdPnjB9uE2dJVseQ,31300,451138,30.0,69.0,,,,,,,
시니어수첩,https://www.youtube.com/channel/UCnyBm95dbeGnw4H3auQrebg,6480,444981,27.0,72.0,,,,,,,
건강생활연구소,https://www.youtube.com/channel/UCML3s6Vz1J_FZtonqG3rhbA,8640,428490,27.0,72.0,,,,,,,
에헤라 티비 : KBS LIFE,https://www.youtube.com/channel/UCXx2Pi_w-4_-U95ksqOY7Cw,532000,423064,43.0,56.0,,,,,,,
시건방TV,https://www.youtube.com/channel/UCR7Sb4XWqStaqQnq_BO-qlw,20000,396114,61.0,38.0,0.1540041067761807,0.6160164271047228,4.363449691991786,6.724845995893223,18.531827515400405,28.439425051334705,41.17043121149897
테라플루 THERAFLU KOREA,https://www.youtube.com/channel/UCjFbkz-rC8I7hoH7PVOothA,551,391874,54.0,45.0,0.6701771182383915,6.127333652465295,15.701292484442316,11.871708951651508,19.913834370512205,23.791287697462906,21.924365725227382
툰툰,https://www.youtube.com/channel/UCC_ShdahwhR-jEePpdA2FvQ,2520,391640,28.0,71.0,,,,,,,
날리쥐,https://www.youtube.com/channel/UC_jVYWzm8A08A8VIhGKYvOQ,14300,386359,,,,,,,,,
동국제약,https://www.youtube.com/channel/UC3JMzIAhPNmbCQFyfalZstg,20100,376937,64.0,35.0,3.286384976525822,9.859154929577468,21.420187793427235,24.413145539906107,27.230046948356808,10.622065727699532,3.169014084507043
KBS 생로병사의 비밀,https://www.youtube.com/channel/UCiV4_cGVt-t-j6jMQ7RCrXw,848000,369425,55.0,44.0,0.22259321090706735,3.0050083472454094,18.920422927100724,21.6471897607123,25.987757373400118,20.20033388981636,10.01669449081803
시니어금메달,https://www.youtube.com/channel/UCnFhukWaScpL2S3Thf3T1UQ,6980,364511,61.0,38.0,1.1038635223281485,0.3010536879076769,1.7059708981435024,5.5193176116407425,20.72252885097842,31.61063723030607,39.036628198695425
쩜눈이,https://www.youtube.com/channel/UC9uvZtZAR2oIUNwz9Fofm5Q,108000,363711,15.0,84.0,3.453689167974882,14.704343275771848,33.17634746206174,20.826792255363678,19.099947671376242,6.750392464678178,1.9884877027734167
실버소식,https://www.youtube.com/channel/UC55EHbHDacX0ziblPJrUBSg,744,352744,27.0,72.0,,,,,,,
어깨는 날아라정형외과,https://www.youtube.com/channel/UCxSRlBN70sCMbT5sIzeRKBg,1820000,345377,46.0,53.0,0.5122950819672132,2.8688524590163933,20.286885245901644,19.364754098360656,24.692622950819676,21.106557377049185,11.168032786885247
지식의 맛,https://www.youtube.com/channel/UCG5LBY-JUvHYotJ8ODBNsNw,407000,323772,55.0,44.0,0.107469102632993,1.289629231595916,6.824288017195055,13.05749596990865,26.168726491133796,31.327243417517458,21.225147770016118
EBS 건강,https://www.youtube.com/channel/UCKdvqF-mmgiifS_pinO_bRA,444000,321515,55.0,44.0,0.21990104452996148,1.979109400769653,18.526663001649258,20.94557449147883,25.838372732270475,21.055525013743814,11.434854315557997
임창무 박사의 휜다리수술 근위경골절골술,https://www.youtube.com/channel/UCa8oxZLpmq64JqtAcIPijBA,13000,317356,55.0,44.0,1.0111761575306015,2.2352315061202765,10.750399148483238,13.304949441192123,23.310271420968597,27.88717402873869,21.500798296966476
지혜사랑,https://www.youtube.com/channel/UCdZ7yiZ2s7njcmyIuiIYuhg,19300,314059,49.0,50.0,1.098326359832636,0.31380753138075324,3.3472803347280338,9.623430962343097,31.903765690376574,34.2050209205021,19.50836820083682
