channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,1JOXw9WUIrg,18-24,"Spend a slow day with me ✨ | 건강하게 먹고, 천천히 사는 하루 with 요가원 🧘🏻‍♀️",2026-03-07T12:00:03Z,PT8M40S,520,thumbnails/Dadacafe다다카페/1JOXw9WUIrg.jpg,https://i.ytimg.com/vi/1JOXw9WUIrg/hqdefault.jpg,https://www.youtube.com/watch?v=1JOXw9WUIrg,False,,,,False
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,t5b_xCsyAUE,18-24,1월을 더 좋게 만들어준 것들 | my favs from january 🌊🥣,2026-02-17T11:01:23Z,PT5M36S,336,thumbnails/Dadacafe다다카페/t5b_xCsyAUE.jpg,https://i.ytimg.com/vi/t5b_xCsyAUE/hqdefault.jpg,https://www.youtube.com/watch?v=t5b_xCsyAUE,False,,,,False
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,hydfTP134Bo,18-24,"성형외과 말고, 이비인후과에서 보는 리투오 효과 총정리!",2026-03-19T09:00:59Z,PT8M2S,482,thumbnails/박치열의코멘터리/hydfTP134Bo.jpg,https://i.ytimg.com/vi/hydfTP134Bo/maxresdefault.jpg,https://www.youtube.com/watch?v=hydfTP134Bo,False,,,,False
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,VHebBJJu-z4,18-24,재수술 끝판왕 '들창코'를 완벽하게 내리는 기술,2026-03-12T09:00:48Z,PT9M,540,thumbnails/박치열의코멘터리/VHebBJJu-z4.jpg,https://i.ytimg.com/vi/VHebBJJu-z4/maxresdefault.jpg,https://www.youtube.com/watch?v=VHebBJJu-z4,False,,,,False
머라클 MURACLE,UCfmYdGYK5yZkXehmxKsaLRw,iksR3iZ-JaI,18-24,[🔥다이어트 종결🔥] 다이어트 마녀스프 뭐 먹을지 고민된다면⁉️ 쿠팡💜컬리 마녀스프 인기템 다 모았다!! 다이어트 마녀스프 집중 비교 분석👀마녀스프 이제 간편하게 먹어요~!,2026-03-17T10:01:13Z,PT15M6S,906,thumbnails/머라클MURACLE/iksR3iZ-JaI.jpg,https://i.ytimg.com/vi/iksR3iZ-JaI/maxresdefault.jpg,https://www.youtube.com/watch?v=iksR3iZ-JaI,False,,,,False
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,PCbbwZ6kgV8,18-24,초고도비만 다이어트는 현재 진행 중 (19~25일차),2026-03-04T09:59:40Z,PT10M30S,630,thumbnails/무브나Movena/PCbbwZ6kgV8.jpg,https://i.ytimg.com/vi/PCbbwZ6kgV8/maxresdefault.jpg,https://www.youtube.com/watch?v=PCbbwZ6kgV8,False,,,,False
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,kWHyeas8WKQ,18-24,하루하루 버티는 초고도비만 다이어트 브이로그 (15~19일차),2026-02-15T14:08:26Z,PT6M57S,417,thumbnails/무브나Movena/kWHyeas8WKQ.jpg,https://i.ytimg.com/vi/kWHyeas8WKQ/maxresdefault.jpg,https://www.youtube.com/watch?v=kWHyeas8WKQ,False,,,,False
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,8qpS9bUn9NU,18-24,배달과 멀어지는 중｜집밥으로 다이어트하는 초고도비만 –60kg 감량 도전기 (11~15일차),2026-02-06T16:42:04Z,PT10M56S,656,thumbnails/무브나Movena/8qpS9bUn9NU.jpg,https://i.ytimg.com/vi/8qpS9bUn9NU/maxresdefault.jpg,https://www.youtube.com/watch?v=8qpS9bUn9NU,False,,,,False
헨티야 살빼야지,UCu6rbZ120HokurXiqnLUcOA,h-KiLnLvFbU,18-24,다이어트 곧 3달 차 병원 다녀오고 치킨 먹기,2026-03-21T00:45:08Z,PT2H39M26S,9566,thumbnails/헨티야살빼야지/h-KiLnLvFbU.jpg,https://i.ytimg.com/vi/h-KiLnLvFbU/maxresdefault.jpg,https://www.youtube.com/watch?v=h-KiLnLvFbU,False,,,,False
헨티야 살빼야지,UCu6rbZ120HokurXiqnLUcOA,OFDed0suBsk,18-24,초고도 비만의 다이어트 치팅.. 역대급 행복 먹방,2026-03-11T14:36:05Z,PT14M26S,866,thumbnails/헨티야살빼야지/OFDed0suBsk.jpg,https://i.ytimg.com/vi/OFDed0suBsk/maxresdefault.jpg,https://www.youtube.com/watch?v=OFDed0suBsk,False,,,,False
