video_id,channel_id,channel_name,published_at,duration,thumbnail_path
y4pHh0s9BME,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2026-03-29T01:00:00Z,PT22M32S,thumbnails_education\문지혁의보기드문책\y4pHh0s9BME.jpg
bnebqUj_fRs,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2026-03-15T01:00:28Z,PT5M23S,thumbnails_education\문지혁의보기드문책\bnebqUj_fRs.jpg
dUpITSGCiVg,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2026-01-16T23:30:15Z,PT5M32S,thumbnails_education\문지혁의보기드문책\dUpITSGCiVg.jpg
dUbBp0Nto5o,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-12-23T23:01:01Z,PT12M22S,thumbnails_education\문지혁의보기드문책\dUbBp0Nto5o.jpg
ejHXdYV6u_A,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-11-11T23:00:53Z,PT35M53S,thumbnails_education\문지혁의보기드문책\ejHXdYV6u_A.jpg
K2El8UY17H0,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-10-14T23:00:32Z,PT12M50S,thumbnails_education\문지혁의보기드문책\K2El8UY17H0.jpg
SQhw9bn6ZNs,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-09-25T22:00:38Z,PT9M11S,thumbnails_education\문지혁의보기드문책\SQhw9bn6ZNs.jpg
3L9cTqd4vpg,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-08-14T11:34:15Z,PT19M2S,thumbnails_education\문지혁의보기드문책\3L9cTqd4vpg.jpg
_7gorZDE1Lg,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-07-25T23:00:38Z,PT19M32S,thumbnails_education\문지혁의보기드문책\_7gorZDE1Lg.jpg
PHCk50h7Ow0,UCP5hSBwJ2W7Lu9cwaO2-RgQ,문지혁의 보기드문책,2025-06-20T09:20:46Z,PT26M13S,thumbnails_education\문지혁의보기드문책\PHCk50h7Ow0.jpg
tJDB8694_UQ,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-03-25T00:00:00Z,PT5M53S,thumbnails_education\키우다문해력\tJDB8694_UQ.jpg
V6zjwTCsKOc,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-03-15T23:17:11Z,PT6M38S,thumbnails_education\키우다문해력\V6zjwTCsKOc.jpg
2RJZH3AhQJY,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-03-12T22:00:06Z,PT42M28S,thumbnails_education\키우다문해력\2RJZH3AhQJY.jpg
0CjD2JjIzT0,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-03-03T00:48:01Z,PT4M48S,thumbnails_education\키우다문해력\0CjD2JjIzT0.jpg
nu-vyLRkKoM,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-02-24T01:35:10Z,PT4M25S,thumbnails_education\키우다문해력\nu-vyLRkKoM.jpg
uuEuxfZoyF0,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-02-23T00:24:45Z,PT6M13S,thumbnails_education\키우다문해력\uuEuxfZoyF0.jpg
CyaHbF7W4KI,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-02-20T01:36:12Z,PT5M16S,thumbnails_education\키우다문해력\CyaHbF7W4KI.jpg
8Px96bG52gM,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-02-19T00:16:01Z,PT6M22S,thumbnails_education\키우다문해력\8Px96bG52gM.jpg
pKjJewWECas,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-02-17T06:02:57Z,PT5M28S,thumbnails_education\키우다문해력\pKjJewWECas.jpg
8B85v5TXcNw,UCYOJkpm4YHKSDPvAb0rud-w,키우다문해력,2026-02-10T01:20:06Z,PT5M58S,thumbnails_education\키우다문해력\8B85v5TXcNw.jpg
mTin7BqmP4Q,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-28T10:30:31Z,PT5M57S,thumbnails_education\의대생TVMedstudentTV\mTin7BqmP4Q.jpg
77tPOdw6iXc,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-24T08:30:04Z,PT3M25S,thumbnails_education\의대생TVMedstudentTV\77tPOdw6iXc.jpg
EZOa0tNoc1o,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-21T06:00:07Z,PT14M28S,thumbnails_education\의대생TVMedstudentTV\EZOa0tNoc1o.jpg
AYzb_i1e2b8,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-16T08:00:18Z,PT10M23S,thumbnails_education\의대생TVMedstudentTV\AYzb_i1e2b8.jpg
qrC4rDiEMdI,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-11T08:30:25Z,PT8M,thumbnails_education\의대생TVMedstudentTV\qrC4rDiEMdI.jpg
yOd5Sec2D4k,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-06T08:30:40Z,PT8M4S,thumbnails_education\의대생TVMedstudentTV\yOd5Sec2D4k.jpg
cP-n6t1DOpU,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-03-02T08:30:19Z,PT7M43S,thumbnails_education\의대생TVMedstudentTV\cP-n6t1DOpU.jpg
k6JJdqF30gw,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-02-24T08:00:50Z,PT8M10S,thumbnails_education\의대생TVMedstudentTV\k6JJdqF30gw.jpg
hBOTnTUDnSM,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-02-20T08:00:49Z,PT10M10S,thumbnails_education\의대생TVMedstudentTV\hBOTnTUDnSM.jpg
t_NVy60pqC0,UCv3nMVluPlJp0hJ4g4HTXNg,의대생TV / Med student TV,2026-02-09T08:30:34Z,PT5M2S,thumbnails_education\의대생TVMedstudentTV\t_NVy60pqC0.jpg
vjT43Qy0M4k,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2026-03-25T14:22:01Z,PT58M11S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\vjT43Qy0M4k.jpg
kmADXRnkdQg,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2026-03-06T11:15:05Z,PT30M15S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\kmADXRnkdQg.jpg
EoWPfA1V5HA,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2026-02-13T14:15:01Z,PT27M50S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\EoWPfA1V5HA.jpg
Yn74RlbNt90,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2026-01-30T13:55:01Z,PT25M21S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\Yn74RlbNt90.jpg
p2jP5-r07CI,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2026-01-15T12:05:00Z,PT49M33S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\p2jP5-r07CI.jpg
eeJz8HAyTk0,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2026-01-09T12:15:09Z,PT57M14S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\eeJz8HAyTk0.jpg
WPT1llBjxgQ,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2025-12-31T09:30:17Z,PT45M6S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\WPT1llBjxgQ.jpg
1DjEoKl4XWU,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2025-12-19T11:15:00Z,PT10M50S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\1DjEoKl4XWU.jpg
MX07pCmi0To,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2025-12-16T12:40:00Z,PT17M22S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\MX07pCmi0To.jpg
F13IRvz2-5Y,UCZ6UHYBQFBe14WUgxlgmYfg,오빠두엑셀 l 엑셀 강의 대표채널,2025-12-03T09:30:11Z,PT54M11S,thumbnails_education\오빠두엑셀l엑셀강의대표채널\F13IRvz2-5Y.jpg
