video_id,channel_id,channel_name,target_age,published_at,duration_sec,thumbnail_path
1JOXw9WUIrg,UCz8X5F5Zp18WS7vdW0jwVIA,Dadacafe다다카페,18-24,2026-03-07T12:00:03Z,520,thumbnails/Dadacafe다다카페/1JOXw9WUIrg.jpg
t5b_xCsyAUE,UCz8X5F5Zp18WS7vdW0jwVIA,Dadacafe다다카페,18-24,2026-02-17T11:01:23Z,336,thumbnails/Dadacafe다다카페/t5b_xCsyAUE.jpg
hydfTP134Bo,UCS1EqlF3NbRsn1rfWL_7_qA,박치열의 코멘터리,18-24,2026-03-19T09:00:59Z,482,thumbnails/박치열의코멘터리/hydfTP134Bo.jpg
VHebBJJu-z4,UCS1EqlF3NbRsn1rfWL_7_qA,박치열의 코멘터리,18-24,2026-03-12T09:00:48Z,540,thumbnails/박치열의코멘터리/VHebBJJu-z4.jpg
iksR3iZ-JaI,UCfmYdGYK5yZkXehmxKsaLRw,머라클 MURACLE,18-24,2026-03-17T10:01:13Z,906,thumbnails/머라클MURACLE/iksR3iZ-JaI.jpg
PCbbwZ6kgV8,UCTDFr-lur2d3dNBRwF0N_HA,무브나 Movena,18-24,2026-03-04T09:59:40Z,630,thumbnails/무브나Movena/PCbbwZ6kgV8.jpg
kWHyeas8WKQ,UCTDFr-lur2d3dNBRwF0N_HA,무브나 Movena,18-24,2026-02-15T14:08:26Z,417,thumbnails/무브나Movena/kWHyeas8WKQ.jpg
8qpS9bUn9NU,UCTDFr-lur2d3dNBRwF0N_HA,무브나 Movena,18-24,2026-02-06T16:42:04Z,656,thumbnails/무브나Movena/8qpS9bUn9NU.jpg
h-KiLnLvFbU,UCu6rbZ120HokurXiqnLUcOA,헨티야 살빼야지,18-24,2026-03-21T00:45:08Z,9566,thumbnails/헨티야살빼야지/h-KiLnLvFbU.jpg
OFDed0suBsk,UCu6rbZ120HokurXiqnLUcOA,헨티야 살빼야지,18-24,2026-03-11T14:36:05Z,866,thumbnails/헨티야살빼야지/OFDed0suBsk.jpg
U6TLfJzzaJw,UCu6rbZ120HokurXiqnLUcOA,헨티야 살빼야지,18-24,2026-02-18T14:31:12Z,410,thumbnails/헨티야살빼야지/U6TLfJzzaJw.jpg
aNMHf1MGU1Q,UCu6rbZ120HokurXiqnLUcOA,헨티야 살빼야지,18-24,2026-02-06T16:00:36Z,531,thumbnails/헨티야살빼야지/aNMHf1MGU1Q.jpg
g0vuzIsTwVU,UCjf97H7AtbVfrX8-35Z302Q,다이어터윤,18-24,2026-03-02T01:05:22Z,196,thumbnails/다이어터윤/g0vuzIsTwVU.jpg
71fTg0TlJOQ,UCjf97H7AtbVfrX8-35Z302Q,다이어터윤,18-24,2025-11-23T01:50:35Z,1073,thumbnails/다이어터윤/71fTg0TlJOQ.jpg
Eoea5szQE24,UC9KoN-Yb1swVddjsezLegxA,유어리아 your ria,18-24,2026-03-21T06:24:09Z,824,thumbnails/유어리아yourria/Eoea5szQE24.jpg
dgojdBRUEug,UC9KoN-Yb1swVddjsezLegxA,유어리아 your ria,18-24,2026-02-25T15:33:17Z,799,thumbnails/유어리아yourria/dgojdBRUEug.jpg
tqGjtZV76Gw,UC9KoN-Yb1swVddjsezLegxA,유어리아 your ria,18-24,2026-02-11T13:42:19Z,818,thumbnails/유어리아yourria/tqGjtZV76Gw.jpg
vO5Lomruky4,UC9KoN-Yb1swVddjsezLegxA,유어리아 your ria,18-24,2026-02-03T14:18:19Z,1005,thumbnails/유어리아yourria/vO5Lomruky4.jpg
qOiykdCIxTk,UC9KoN-Yb1swVddjsezLegxA,유어리아 your ria,18-24,2026-01-22T11:51:11Z,978,thumbnails/유어리아yourria/qOiykdCIxTk.jpg
OqcXFTlgZHo,UCO_MXYZzB5vNkdcCWUXz5Rg,닥터로미의 성형노트,18-24,2026-03-20T09:00:37Z,373,thumbnails/닥터로미의성형노트/OqcXFTlgZHo.jpg
ZdLs0t5-jos,UCO_MXYZzB5vNkdcCWUXz5Rg,닥터로미의 성형노트,18-24,2026-03-10T11:01:03Z,598,thumbnails/닥터로미의성형노트/ZdLs0t5-jos.jpg
OmAUBStOprE,UCRGZCFuFCwp2D_YKByrqRfw,에이핏,25-34,2026-03-09T09:00:00Z,664,thumbnails/에이핏/OmAUBStOprE.jpg
9AEYEHbrpk0,UCRGZCFuFCwp2D_YKByrqRfw,에이핏,25-34,2026-03-02T09:29:54Z,636,thumbnails/에이핏/9AEYEHbrpk0.jpg
