channel_id,channel_name,n_videos,cluster_id
UC-28TVh9o8HbBTUirBuNwHA,괴산투스타,10,1
UC-9IgSQy9KC6h5VwSaLz7Kg,달콩뜨개,10,1
UC-BTJQMF5SMAYfXVLEwPr3w,김꽃송 KIMGGOTSONG,10,1
UC-ExekkkmQ1B6i-pDQQB6mA,급급이티비,10,1
UC-IfewS80QpiZ1FApsmzvQw,텐 Ten,10,0
UC-NiIeWEem2yb9Zq-p9glsg,맛즐 ; 조이풀푸드,10,0
UC-NoF8L6ov3uFz-bpnIdTRw,헤헤tube,10,1
UC-Si8t5e1aiqvbKB7tDp9tQ,청도푸드스쿨 FoodSchool,10,0
UC-XkCOyHVxyyzvqeEUDHN3Q,쿠킹옥 Cooking OK Korean food,10,0
UC-YuM9j7aT4pkXGICFurAiA,차예련 chayeryun,10,0
UC-hZw14URZrz8rjDNqLepWA,주들 Joodeul,10,1
UC-mvTI0H8QQPwXXF9P9Wmkw,도라마코리아,10,0
UC-pXaRbTkhOnOUjsv96QHMg,코저트 Cossert,10,1
UC-roLskJmtw_g8x26iPxDsA,청담다육,10,1
UC-sNR0PB3oZK0XpyJKprrdA,먹다,8,1
UC-v7n1v9g9Yze4ByTuvYGYQ,허상밥상,10,0
UC-x55HF1-IilhxZOzwJm7JA,김사원세끼,10,1
UC-zTNxmso34vOOpyyEEgL3w,뚜란DDURAN,10,0
UC01OsvJ4CXxkVUfCdHi9rpg,친절한 경자씨의 고추농장 이야기,10,1
UC03Fp4_VFeH877272fjdihQ,Multi DO Challenge Korea,10,1
UC084zOc5knHoHr81teIziwQ,Tasty Travel 맛있는 여행,10,0
UC0Hg4meVusDFYRZwf7-yqfw,면상호[NoodleFighter] Daily,10,0
UC0IQXb6AQHEVrY0CN5hbFhw,뉴욕밥상 New York Bapsang,10,0
UC0RNImusMRXzxoY598EYb0w,요리공수,10,0
UC0SI1QyV1HlA0aekZBouCWg,청정원 푸드캐스트,10,1
UC0VR2v4TZeGcOrZHnmwbU_Q,육식맨 YOOXICMAN,10,0
UC0Vsfjmnz3ruCpSq3iQnKfA,김군과친구들 Kim & Friends,10,0
UC0gwvfFwvPxoFk4rwPBiKWw,치킨왕 [내돈내산 치킨리뷰],10,0
UC0i4Dv5c6u_hvwl_NV89zzQ,챔프형님,10,1
UC0jwU93UpwIyTlCzLn3N0nQ,원필름(방송국),10,1
UC0kLo6HUcwG3uwhqCaq6rNw,맛연사,10,0
UC0m-NshV3J3lA_mI8txWUuA,팔짜🐷💕,10,1
UC0ohH3nO4Xx7XtqoiaUEUxg,먹두리 첫째,10,0
UC0q9s5LXh7-o5PCx1zw8avw,별별사람들,10,1
UC0qnwwpDhqPmrYegf1bPO6A,커핑포스트,10,1
UC0ry6ufHVkTnYM8XMPAHRsQ,은젤 월드 Eunzel World,10,1
UC0x63Jy1Sy63grrf_Pq0WEg,셰프호윤 Chef Hoyoon,10,0
UC0x8OvUA7PoCywqMOoik1sA,mini ovening 미니오브닝,10,0
UC11nkBY2j_paF1Da4T4b35w,주스맘 Ju's mom,10,0
UC13xb5Ehc9qS4Moey95DvHg,털난새우,10,1
UC1CbmfI_il0uY56Qvd-YJLg,中国街头美食vlogs,10,0
UC1EiHIhV6UDRWOY6BaEavdw,집나간햄지 Wandering Hamzy,10,0
UC1IkVnd84Dj3L1w5JjryKJQ,자연음식산들바람,10,0
UC1JED63XN5aVLun2FU1rgsQ,알뜰한 쩡여사 [가계부 다이어트],10,0
UC1JKwATe3aSZUsuqFhnR5BA,옥수수콩,10,0
UC1UebYbC2j7M_IUHADtqOag,풀무원 Pulmuone,10,1
UC1itlCNdWidgM9eUsuWjf5A,숭부지🥢맛집쫓는 개드립퍼,10,1
UC1oXmhvYHVI2bApphh3IzuQ,정육왕 MeatCreator,10,0
UC1qHb86loeEHMY6rpW1vg0A,Pohang.guy.포항.아재,10,1
UC1r112Pr9Ngcg2NtcE946HQ,맛상무,10,0
UC1s9TrLLlMTi9BJ4eymQtfg,두유노 양산,10,0
UC1zn6wSMvwRt9-jOFEJ6yMg,오조,10,1
UC26Cjrx8qycmKWCcLVMBylw,요알남MingStar,10,0
UC26QQCGh66xFU_NjhYLwdQQ,살빼조DietJo,10,1
UC26XPHfafxDJtD8FL2cOjyw,WhiskyNAVI,10,1
UC2B5onlYkZ7IaVekR9yIB6w,GONGSAM TABLE 이공삼,10,0
UC2HnpRBh-6D0aFhu6YFL0IA,모개일상TV,10,0
UC2OB5K-Rdmu01FuH-2tej3g,오렌즈OLENS,3,1
UC2ZcQ-XHobjEiexhNcF5DHg,우리동네단골가게TV,2,0
UC2_hzdvP-j569djTquAed_Q,나나먹방 Nana mukbang,10,0
UC2bqeLsfzrNIy5hBwb05Ojg,tattooist cokr,4,1
UC2c4pvCc8GF_rIhgOxgGD-Q,Narr Mu Lay,10,0
UC2d-ziX4vNVc4kPGEODwxZA,소담한베이킹 sodamhan baking,10,1
UC2esjW6TRjMYUSTeZuCNn_Q,DURI MIMI,10,1
UC2gasvQVxOdRht9ykwhxwjw,영자씨의 부엌Young-Ja's Kitchen,10,0
UC2o_y872S6YvaO1K8EYnoxg,조재원,10,1
UC2p_1UG0IjoRfAo8rmVsmKQ,초짜낚시,10,1
UC2wZJuuD_WA9ps2FORco1EQ,"까니짱 [ KANI, 蟹ちゃん]",10,0
