channel_name,channel_id,video_id,title,published_at,duration,thumbnail_path,thumbnail_url
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,SYAeout8bdA,"""5년 뒤에는 상식이 됩니다"" 최적의 비타민D 섭취 가이드 (고정댓글에 추천 제품 공개)",2026-03-28T03:14:20Z,PT30M15S,thumbnails_Health\다이어트과학자최겸GyumChoi\SYAeout8bdA.jpg,https://i.ytimg.com/vi/SYAeout8bdA/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,rNilIRqX-JQ,"""아침메뉴 걱정이 사라집니다"" 양파만 볶으면 끝나는 초간단 오픈 샌드위치",2026-03-24T09:27:35Z,PT12M8S,thumbnails_Health\다이어트과학자최겸GyumChoi\rNilIRqX-JQ.jpg,https://i.ytimg.com/vi/rNilIRqX-JQ/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,UMxknVYshdU,모든 다이어트를 해봤지만 평생 비만이었던 여성의 30kg 감량 비결,2026-03-22T05:45:18Z,PT29M50S,thumbnails_Health\다이어트과학자최겸GyumChoi\UMxknVYshdU.jpg,https://i.ytimg.com/vi/UMxknVYshdU/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,UDzZavZtr4w,"살빠지고, 근육 붙고, 면역력과 뇌건강이 좋아지는 최적의 비타민D 섭취량",2026-03-21T01:25:29Z,PT18M12S,thumbnails_Health\다이어트과학자최겸GyumChoi\UDzZavZtr4w.jpg,https://i.ytimg.com/vi/UDzZavZtr4w/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,oOfRCRbVilI,"""자는 동안에도 살이 빠집니다"" 최고의 저녁 메뉴",2026-03-20T02:56:30Z,PT9M37S,thumbnails_Health\다이어트과학자최겸GyumChoi\oOfRCRbVilI.jpg,https://i.ytimg.com/vi/oOfRCRbVilI/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,78v2pocsYXI,"""이중 하나만 바로 시작해 보세요"" 인생 영양제와 아침루틴 공개",2026-03-17T06:17:53Z,PT35M6S,thumbnails_Health\다이어트과학자최겸GyumChoi\78v2pocsYXI.jpg,https://i.ytimg.com/vi/78v2pocsYXI/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,SBatV4IYCqo,"""속는 셈치고 보세요"" 이 영양소만 챙겨도 몸이 훨씬 좋아집니다",2026-03-14T02:21:49Z,PT33M4S,thumbnails_Health\다이어트과학자최겸GyumChoi\SBatV4IYCqo.jpg,https://i.ytimg.com/vi/SBatV4IYCqo/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,FI_iZNrm_8g,"""10kg 빠지고 우울증과 고혈압이 사라졌어요"" 20년 먹은 우울증약까지 끊게 만든 건강습관 총정리 | 유튜버 이서울",2026-03-13T03:08:24Z,PT36M17S,thumbnails_Health\다이어트과학자최겸GyumChoi\FI_iZNrm_8g.jpg,https://i.ytimg.com/vi/FI_iZNrm_8g/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,GQalfcB8yhc,20명 중 1명만 아는 최고의 단백질 섭취 타이밍,2026-03-09T08:27:58Z,PT19M53S,thumbnails_Health\다이어트과학자최겸GyumChoi\GQalfcB8yhc.jpg,https://i.ytimg.com/vi/GQalfcB8yhc/maxresdefault.jpg
다이어트 과학자 최겸 Gyum Choi,UChXDq9Izwq-pTzeUWzwXL3A,H78Bn_1qc3k,"""이렇게 먹으니 식욕이 안정적이에요"" 요리초보 주부의 인생을 바꾼 레시피 총정리",2026-03-07T06:28:01Z,PT36M1S,thumbnails_Health\다이어트과학자최겸GyumChoi\H78Bn_1qc3k.jpg,https://i.ytimg.com/vi/H78Bn_1qc3k/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,tlpxVBv9pVQ,"병원에서 알려주지 않는 재활 이야기 2. 디스크, 협착증의 진짜 원인… 허리가 아니었습니다",2026-03-26T08:52:09Z,PT14M20S,thumbnails_Health\한의사트레이너\tlpxVBv9pVQ.jpg,https://i.ytimg.com/vi/tlpxVBv9pVQ/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,kSXcvHvOVHI,"[고관절 재활] 인공관절 수술만 7번... 그래도 못 걷는 환자, 원인은 따로 있었습니다",2026-03-25T00:25:34Z,PT17M3S,thumbnails_Health\한의사트레이너\kSXcvHvOVHI.jpg,https://i.ytimg.com/vi/kSXcvHvOVHI/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,9KuwbZfacwc,"[허리 완치 프로젝트 5회차] 5분도 못 걷던 척추 수술 환자, 4회 치료만에 '40분 산책' 성공한 비결 (한글 자막)",2026-03-20T00:35:57Z,PT16M20S,thumbnails_Health\한의사트레이너\9KuwbZfacwc.jpg,https://i.ytimg.com/vi/9KuwbZfacwc/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,wHjhkbMI700,[두통 마사지] 뒷목 통증과 편두통을 한 번에! 가장 효과적인 두통 지압법 TOP 3,2026-03-14T01:03:00Z,PT7M43S,thumbnails_Health\한의사트레이너\wHjhkbMI700.jpg,https://i.ytimg.com/vi/wHjhkbMI700/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,ww6kb9wpJEc,"[허리 완치 프로젝트 #4] 8년 된 다리 저림, 허리 수술해도 안 나았던 소름 돋는 이유 (허리 치료 0.1도 안 함)",2026-03-09T00:19:19Z,PT17M,thumbnails_Health\한의사트레이너\ww6kb9wpJEc.jpg,https://i.ytimg.com/vi/ww6kb9wpJEc/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,4TNW9d_NrEk,"재활 운동, 100번 반복해도 효과 없는 사람들의 공통점",2026-03-06T04:58:34Z,PT4M40S,thumbnails_Health\한의사트레이너\4TNW9d_NrEk.jpg,https://i.ytimg.com/vi/4TNW9d_NrEk/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,bLDALqWXVoU,26.02.22 라이브 Q/A,2026-03-03T15:26:28Z,PT26M11S,thumbnails_Health\한의사트레이너\bLDALqWXVoU.jpg,https://i.ytimg.com/vi/bLDALqWXVoU/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,o3zNf43CroU,병원에서 알려주지 않는 재활 이야기 1. 우리 몸이 아플 수 밖에 없는 이유 (제가 하는 재활 노하우 모두 공개합니다),2026-02-28T07:03:35Z,PT12M39S,thumbnails_Health\한의사트레이너\o3zNf43CroU.jpg,https://i.ytimg.com/vi/o3zNf43CroU/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,JZBSW3z8hpM,"[어깨 재활] 어깨 재활 영업 비밀, 공개하겠습니다 (단 2가지 동작)",2026-02-24T06:59:26Z,PT14M,thumbnails_Health\한의사트레이너\JZBSW3z8hpM.jpg,https://i.ytimg.com/vi/JZBSW3z8hpM/maxresdefault.jpg
한의사트레이너,UC_KjTyC5e0DFNxn6GIgBxcQ,0a6HtUo0he4,26.02.16 라이브 Q/A,2026-02-22T06:37:59Z,PT31M54S,thumbnails_Health\한의사트레이너\0a6HtUo0he4.jpg,https://i.ytimg.com/vi/0a6HtUo0he4/maxresdefault.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,8sIv11GL-Hg,오랜만에 햄버거 먹방 맥도날드 더블 bbq 베이컨 쿼파치,2026-03-24T09:00:19Z,PT7M14S,thumbnails_Health\블락스blocks\8sIv11GL-Hg.jpg,https://i.ytimg.com/vi/8sIv11GL-Hg/maxresdefault.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,ojApL_q3KDs,1년만에 낋여오는 가슴운동 브이로그 | 가슴운동vlog | 운동vlog |눈바디 | chest day,2026-01-21T12:40:02Z,PT9M13S,thumbnails_Health\블락스blocks\ojApL_q3KDs.jpg,https://i.ytimg.com/vi/ojApL_q3KDs/maxresdefault.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,QcABClGY9aA,체험 삶의 현장 과수원편/ 사과수확 브이로그/ 과수원집 손주/사과나무/귀농귀촌/농촌체험/시골집/콩콩팥팥,2025-11-14T10:30:14Z,PT13M19S,thumbnails_Health\블락스blocks\QcABClGY9aA.jpg,https://i.ytimg.com/vi/QcABClGY9aA/maxresdefault.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,brsHitesK8I,맵찔이의 디진다돈까스 콜라보 디지게매운 시리즈 편의점 /Spicy food,2025-11-01T00:00:56Z,PT18M6S,thumbnails_Health\블락스blocks\brsHitesK8I.jpg,https://i.ytimg.com/vi/brsHitesK8I/maxresdefault.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,ouaqMWsFz6k,버거킹 1800kcal 추성훈버거 더오치 맥시멈 원파운더버거/ 먹방 햄버거브이로그 벌크업,2025-09-29T10:43:49Z,PT12M3S,thumbnails_Health\블락스blocks\ouaqMWsFz6k.jpg,https://i.ytimg.com/vi/ouaqMWsFz6k/maxresdefault.jpg
블락스blocks,UC5qF47U0ErUHBgK4Rgy5ymA,rEER_LG7QMM,햄버거 먹을때 행복한 남자 /햄버거 먹방 총결산 롯데리아.버거킹.맥도날드.KFC.불턱버거. 태국 햄버거집/A man who is happy when eating hamburgers,2025-06-14T22:00:51Z,PT1H1M54S,thumbnails_Health\블락스blocks\rEER_LG7QMM.jpg,https://i.ytimg.com/vi/rEER_LG7QMM/maxresdefault.jpg
