channel_id,channel_name,n_videos
UC-4yGit6ge_bXpyTqkCBxhA,"김경철의 웰케어: 잘먹고, 잘자기",10
UC-6BfHzSG1_ZfcQZn5PeoMg,이음여성한의원 김우성 원장,10
UC-BXTTBjj5j5G_hIjEMyLEQ,긍정닥터,10
UC-NkfwYT0xOj0HFPctiRvtw,닥터까막눈,10
UC-OldTguSguK0v-d21Tmryw,김수연의 우아한 노화,10
UC-SsCweblwxALNIMkoHCiPQ,에스더기도운동,10
UC-XDC7d8CaIZmWQ4pxIOUqA,백세박사의 장수라이프,10
UC-YGAXCJEwNcTiEQahOQjVg,꿀서린,10
UC-_CuutNtAACqG97cZMNUZg,선한목자병원 이창우 TV,10
UC-cek_fEjw_l8gX9Ke0Q6Rg,바른몸교수ㅣ목어깨 치료사,10
UC-deqx7nwzcJzRxQjUtMPiA,콕선생님 (콕통증의학과),10
UC-jDMqzWRJj16_HHyi4OX1Q,여의사의 산부인과 이야기.,10
UC-jNukedHn0eyNPu1ACF49A,지혜담기,10
UC-lxBJ5w49nJyQZ1XeEpfSA,닥터스TV_Central Seoul Eye Center,10
UC-vK7SFuT0ZI4t4e9T7SOrw,임현우의 이어앤썰,10
UC-yOit3UEMP454VsHaqf8ZA,dahye Jeon 다혜밍,10
UC00-W8j2qHJy83ONqoaM5xQ,FitBurst,10
UC08pbeuzAK3uRsdrma3Gx0Q,후후비당고한의원 - 대사질환 性지식채널,10
UC08tP3KIyCK9vYNZm5qQuiw,서울아산병원,10
UC0Ajz54XeAYdF8MlKLkIJqQ,현실의 코덱스,10
UC0Bt5U9hYnJujp8SeznYcsA,구동명TV,10
UC0NazDJj6HZnqXR9x9HiXEg,디어다빈_영양사의 다이어트,10
UC0T7zY8PkU80wPYzN-50jFw,맨날청춘,10
UC0UzIcP-JjKBKZe22Nv_OCw,백세의지혜,10
UC0_vsuVa274JQur3FraxuaA,위담한방병원,10
UC0bQR4Ad60pOmNYL8tSX0BA,지혜호수,10
UC0bvOTfZywOvh_1jCUB62Pw,호감코드,10
UC0i_lpWj-xNPbLFqcpSaS6w,자율신경상담약사 이지향TV,10
UC0klmuY3t26aZDJ2nMUIMQA,박성준풍수연구소,10
UC0uDCG39HbyPybXq--q4vfw,닥터이걸의학TV,10
UC0wlA-w5JIt0G0EeWQf65AQ,디에이성형외과 D.A Plastic Surgery Korea,10
UC0yB3f_3UxzoCf-X36KhQ9Q,두부다비 Dubu-Dabi,10
UC10AAy7YJ5Qbq5rJyH6JW_w,나디연세외과Nadiclinic,1
UC11DPi0BtPv7avqHlOGK2Zg,초기증상 자가진단,10
UC16GoMyX3ViQYfBDGrTrAYQ,창원복지재단,10
UC1JRg1-V2hKxEVzGV5_yrag,금단미인 GOLDBEAUTY,10
UC1RG7m8FwFKgB3IpfN3ccew,힐링트리뮤직 Healing Tree Music & Sounds,10
UC1UYZjFfhN9CVdOfRBlGsVA,요가강사김선아YOGA_SUNA,10
UC1aqaZ-BRf5bjZzXs3enCvg,산개,10
UC1eNPF-cAKFg-qzgmCsWC3Q,백세시대건강,10
UC1ll_4DblySYDARZcbOt3xg,Isla Rune Pilates,10
UC1nOUSU9iFgJ4vNHoS_spOQ,수와진TV,10
UC1vLAG4_4x45e4BtXBZoIWg,Practical Pain Management with Dr. Lee,10
UC2-LIM5Zz7_wKT4Q2Iu8GTA,우리동네 난임전문의이재호,10
UC2-gb53qXD1LgyRq0K36l8A,건강박사,10
UC20TsL1C5nhfcAx3JlgkZLQ,KBDCA 한국혈액암협회,10
UC21OCqYEvXVbYf_n0pwlatQ,사랑과 생명,10
UC25yyLjZhqDaXarwOz-JjvA,Gabriel Dye,5
UC28xZyNPM9109MTC-QZ9etA,뇌가 편안해지는 시간,10
UC2ATsiBGQuX_ON58mu3utWw,우리들병원TV,10
UC2CmamCD9CTWs4vo_t_gt9Q,다이어트 해커 이서울,10
UC2Kxg0lVzKB2-N7tXAVQhrw,Elsa-log,10
UC2OIyb2serotqDyEzQYyCtA,노트성형외과,10
UC2TkjSrLoQi8PgOTDwJzWgg,DJ저요,10
UC2V7hgTgygljIgJ562fqr2w,꾸준명언,10
UC2WzpFRsIJcN1drQdIbczQw,지혜로운 당신 TV,10
UC2ay36g9UbHyVHs4goETc8w,여네모,10
UC2b86qNxANE_0lQ71WIS06w,대한뇌졸중학회 Korean Stroke Society,10
UC2kre6C4AHnLxiHhRlMKx6g,권도수,10
UC2qcq4kqvbbdHIoi5dEm-Eg,에너지힐링 Energy Healing,10
UC3--BXTHVDUvkPIfQs0xxXA,힐링과 건강의 시간,10
UC34-Orqw21kiUkwR-v3scaw,시니어건강회관2,10
UC3454ef0lSLjBSjmKH0bs9A,Dr. Dylan의 건강 비결,10
UC3WZiUWd3RRPOdBSQH0cJLw,놀러와 약국,10
UC3Yhzr4IRUyIPl0m_L1bkDw,Oneness Healing Sounds,10
UC3afH7DW6Pb4wEHdlNlOKQw,쉬운건강 (구 안지현TV) Health,10
UC3cSU8yLcDNZ419JNX--o4A,간현배 KanHyeonBae,10
UC3gt-EL1djoai8qhtQVbqWA,두발로병원,10
UC3iSLVH0MxHfwO69oHKpvog,리틀약사,10
UC3l1qgrRx8vPan82wDc3kNg,코비진스,10
UC3vuKYYunHhPa9gq9kBWwsQ,별씽튜브,10
UC44IU9FLOYWYdA31ST-ZTvQ,송도신도시 청춘4구당구TV,10
UC4CeK6-TyIxmdY8GsTuGwow,헬스인뉴스,10
UC4Gs81NQVfqfnfxYXm5bJ0g,손제용의사생활,10
UC4KBmiJIUVwV4-8Ah9NlJcA,올바른TV,10
UC4KS40p1OWvyA5kRNroC4Bg,천약사의건강과 약이야기,10
UC4NBaUA6_-v7Ry4qFVkp5DQ,60세 이후 건강,10
UC4Nt63aVUVGDwcFMlMOxOyg,박광범의 임플란트 수술방,10
UC4Qv1IkLa2QgAaDeILgy47A,김가은 한의사의 오늘치유,10
UC4S5_P35PS22tT4CLVohSfw,시니어 닥터 톡스,10
UC4XSoDFDKr8GOLtIOs1RW-Q,건강백세뉴스,10
UC4Z0SLdvRc7s6oVO0ZpuQgw,Likesweetmango - Beautiful & Powerful Life,10
UC4_CjZORO_saInjqd74Y7Sw,이성미의 나는 꼰대다,10
UC4bw7o0l2rhxn1GJZGDmT9w,MSK MRI Jee Eun Lee,10
UC4e4ETQSeiKGXKhS-9zNjwQ,운동하는코끼리,10
UC4fXvuz0piEYPKRQJzLJDJA,통증 해방일지,10
UC4iSYAD44__BOG5MDuksOgw,건강한 하루,10
UC4k9vS4YntHp7mR3Qpl8CGg,시니어 튼튼생활,10
UC4kdPomQaD-9gz0NynY_ddw,치아살리기 최용훈원장,10
UC4rz8qyTQb_UGmRLuEgIacg,백세 인생 이야기,10
UC51ZcfIoWR-FQR4AOLQ4Z1Q,노인 건강습관,10
UC54kBMge_LJ6VtljXMOFvDQ,브레인바이츠,10
UC57BIGNyMlnD1T3jlYE02lQ,지식팡팡,10
UC5_R-HyIVAbvssbBvEQntUQ,의사가 말하는 건강,10
UC5etMYZqJUG_gS9F2wSc5Aw,대한건강,10
UC5jSCU8FpKGr8P5Z-p-70lw,브레이너 제이의 숙면 여행,10
UC5qF47U0ErUHBgK4Rgy5ymA,블락스blocks,10
UC5u0ZAjYsDroA7OxPWusW8w,바이탈뷰티 VITALBEAUTIE,7
UC63STh0D1LiBvKf7FPOgyyg,질첵언니,10
UC64f2yVYQsU1eILFcf65e7g,피지컬프로 Physical Pro,10
UC64jajnyiD8I9X-5Sg8j3Xg,1분운동프로젝트,3
