channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,P0IkzIVR0dA,18-24,태국 현지인 추천템! 이거 꼭 사야해,2026-03-20T07:05:25Z,PT33S,33,thumbnails/QueenSolmee/P0IkzIVR0dA.jpg,https://i.ytimg.com/vi/P0IkzIVR0dA/maxresdefault.jpg,https://www.youtube.com/watch?v=P0IkzIVR0dA,True,duration,,,True
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,8DzKusgH_wM,18-24,가발이 이렇게 자연스럽다고..?! 테무 가발 추천,2026-03-17T13:29:19Z,PT40S,40,thumbnails/QueenSolmee/8DzKusgH_wM.jpg,https://i.ytimg.com/vi/8DzKusgH_wM/maxresdefault.jpg,https://www.youtube.com/watch?v=8DzKusgH_wM,True,duration,,,True
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,vprE4Dsndjk,18-24,셀프 속눈썹 연장✨ + 쉬인 속눈썹 추천,2026-03-15T02:51:47Z,PT20S,20,thumbnails/QueenSolmee/vprE4Dsndjk.jpg,https://i.ytimg.com/vi/vprE4Dsndjk/maxresdefault.jpg,https://www.youtube.com/watch?v=vprE4Dsndjk,True,duration,,,True
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,aVKPaOjJaBg,18-24,태국 세븐일레븐 추천템❤️,2026-03-05T14:09:18Z,PT29S,29,thumbnails/QueenSolmee/aVKPaOjJaBg.jpg,https://i.ytimg.com/vi/aVKPaOjJaBg/maxresdefault.jpg,https://www.youtube.com/watch?v=aVKPaOjJaBg,True,duration,,,True
Queen Solmee,UCahWSp7DQGJfXU1UX2BuqBA,PfdCYvXwsQw,18-24,속건조엔 이거 쓰세요 | 올리브영 세일 추천템💕,2026-03-03T09:46:48Z,PT34S,34,thumbnails/QueenSolmee/PfdCYvXwsQw.jpg,https://i.ytimg.com/vi/PfdCYvXwsQw/maxresdefault.jpg,https://www.youtube.com/watch?v=PfdCYvXwsQw,True,duration,,,True
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,3DmHqn6-Li0,18-24,산타고 요가갔다가 도시락먹는 브이로그 🧘🏻‍♀️🍙⛰️ #요가브이로그 #요기니 #wellnesslife #yogalife,2026-03-20T08:34:42Z,PT41S,41,thumbnails/Dadacafe다다카페/3DmHqn6-Li0.jpg,https://i.ytimg.com/vi/3DmHqn6-Li0/maxresdefault.jpg,https://www.youtube.com/watch?v=3DmHqn6-Li0,True,duration,,,True
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,0iZibxTMEHk,18-24,순두부로 만드는 간단한 #다이어트식단 #healthyfood,2026-03-01T04:07:13Z,PT13S,13,thumbnails/Dadacafe다다카페/0iZibxTMEHk.jpg,https://i.ytimg.com/vi/0iZibxTMEHk/maxresdefault.jpg,https://www.youtube.com/watch?v=0iZibxTMEHk,True,duration,,,True
Dadacafe다다카페,UCz8X5F5Zp18WS7vdW0jwVIA,vFh6cqUgHAc,18-24,#다이어트식단 🥗,2026-02-23T14:56:36Z,PT22S,22,thumbnails/Dadacafe다다카페/vFh6cqUgHAc.jpg,https://i.ytimg.com/vi/vFh6cqUgHAc/maxresdefault.jpg,https://www.youtube.com/watch?v=vFh6cqUgHAc,True,duration,,,True
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,7d_IsXe0XCg,18-24,재수술 끝판왕 '들창코' 완벽하게 내리는 기술 #코성형 #들창코 #재수술,2026-03-14T09:00:14Z,PT1M20S,80,thumbnails/박치열의코멘터리/7d_IsXe0XCg.jpg,https://i.ytimg.com/vi/7d_IsXe0XCg/maxresdefault.jpg,https://www.youtube.com/watch?v=7d_IsXe0XCg,True,duration,,,True
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,_T0l8ZLG6JQ,18-24,들창코가 생기는 이유는? #코성형 #들창코,2026-03-14T03:00:43Z,PT57S,57,thumbnails/박치열의코멘터리/_T0l8ZLG6JQ.jpg,https://i.ytimg.com/vi/_T0l8ZLG6JQ/maxresdefault.jpg,https://www.youtube.com/watch?v=_T0l8ZLG6JQ,True,duration,,,True
박치열의 코멘터리,UCS1EqlF3NbRsn1rfWL_7_qA,YaD_wT74-Vo,18-24,구축으로 인한 들창코 재수술 핵심은 '이것' #코성형 #들창코 #재수술,2026-03-13T09:00:54Z,PT1M19S,79,thumbnails/박치열의코멘터리/YaD_wT74-Vo.jpg,https://i.ytimg.com/vi/YaD_wT74-Vo/maxresdefault.jpg,https://www.youtube.com/watch?v=YaD_wT74-Vo,True,duration,,,True
머라클 MURACLE,UCfmYdGYK5yZkXehmxKsaLRw,oIfeZ6q31-s,18-24,대표님 찾으러 화장실까지 쫓아가는 MZ 직원 어떤데.,2026-03-14T12:01:28Z,PT42S,42,thumbnails/머라클MURACLE/oIfeZ6q31-s.jpg,https://i.ytimg.com/vi/oIfeZ6q31-s/maxresdefault.jpg,https://www.youtube.com/watch?v=oIfeZ6q31-s,True,duration,,,True
머라클 MURACLE,UCfmYdGYK5yZkXehmxKsaLRw,FkLb1iqAL8Y,18-24,배달음식 먹으면서 5kg 빼는법 2️⃣탄,2026-03-12T09:00:32Z,PT59S,59,thumbnails/머라클MURACLE/FkLb1iqAL8Y.jpg,https://i.ytimg.com/vi/FkLb1iqAL8Y/maxresdefault.jpg,https://www.youtube.com/watch?v=FkLb1iqAL8Y,True,duration,,,True
머라클 MURACLE,UCfmYdGYK5yZkXehmxKsaLRw,l6kK-2f9Kp0,18-24,배달음식 먹으면서 5kg 빼는법 1️⃣탄,2026-03-11T09:01:09Z,PT1M5S,65,thumbnails/머라클MURACLE/l6kK-2f9Kp0.jpg,https://i.ytimg.com/vi/l6kK-2f9Kp0/maxresdefault.jpg,https://www.youtube.com/watch?v=l6kK-2f9Kp0,True,duration,,,True
머라클 MURACLE,UCfmYdGYK5yZkXehmxKsaLRw,na72NP4q370,18-24,거짓말해서 죄송합니다.,2026-03-10T09:01:14Z,PT1M3S,63,thumbnails/머라클MURACLE/na72NP4q370.jpg,https://i.ytimg.com/vi/na72NP4q370/maxresdefault.jpg,https://www.youtube.com/watch?v=na72NP4q370,True,duration,,,True
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,JNFbgkRrL8M,18-24,다이어트 중 배신당함…. #고도비만다이어트 #다이어트레시피 #다이어트식단 #고도비만브이로그,2026-02-03T13:57:30Z,PT1M1S,61,thumbnails/무브나Movena/JNFbgkRrL8M.jpg,https://i.ytimg.com/vi/JNFbgkRrL8M/maxresdefault.jpg,https://www.youtube.com/watch?v=JNFbgkRrL8M,True,duration,,,True
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,hqLCLp2o0N0,18-24,초간단 다이어트 식단 청포묵사발 만들기 #고도비만다이어트 #체중감량 #다이어트식단 #고도비만브이로그,2026-01-31T18:44:32Z,PT1M8S,68,thumbnails/무브나Movena/hqLCLp2o0N0.jpg,https://i.ytimg.com/vi/hqLCLp2o0N0/maxresdefault.jpg,https://www.youtube.com/watch?v=hqLCLp2o0N0,True,duration,,,True
헨티야 살빼야지,UCu6rbZ120HokurXiqnLUcOA,mUWMfwJ3dYA,18-24,너 왜 거기 있어;;,2026-03-12T08:39:43Z,PT16S,16,thumbnails/헨티야살빼야지/mUWMfwJ3dYA.jpg,https://i.ytimg.com/vi/mUWMfwJ3dYA/maxresdefault.jpg,https://www.youtube.com/watch?v=mUWMfwJ3dYA,True,duration|keyword,,,True
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,MpGLuKmJUQw,18-24,다이어트랑 점점 더 멀어지는 이유 #탄수화물중독,2026-03-22T01:15:34Z,PT1M,60,thumbnails/안녕하소HASO/MpGLuKmJUQw.jpg,https://i.ytimg.com/vi/MpGLuKmJUQw/maxresdefault.jpg,https://www.youtube.com/watch?v=MpGLuKmJUQw,True,duration,,,True
