video_id,channel_name,title,duration,duration_sec,short_reason,youtube_watch_url,thumbnail_path,is_short_manual,short_check_note
P0IkzIVR0dA,Queen Solmee,태국 현지인 추천템! 이거 꼭 사야해,PT33S,33,duration,https://www.youtube.com/watch?v=P0IkzIVR0dA,thumbnails/QueenSolmee/P0IkzIVR0dA.jpg,,
8DzKusgH_wM,Queen Solmee,가발이 이렇게 자연스럽다고..?! 테무 가발 추천,PT40S,40,duration,https://www.youtube.com/watch?v=8DzKusgH_wM,thumbnails/QueenSolmee/8DzKusgH_wM.jpg,,
vprE4Dsndjk,Queen Solmee,셀프 속눈썹 연장✨ + 쉬인 속눈썹 추천,PT20S,20,duration,https://www.youtube.com/watch?v=vprE4Dsndjk,thumbnails/QueenSolmee/vprE4Dsndjk.jpg,,
aVKPaOjJaBg,Queen Solmee,태국 세븐일레븐 추천템❤️,PT29S,29,duration,https://www.youtube.com/watch?v=aVKPaOjJaBg,thumbnails/QueenSolmee/aVKPaOjJaBg.jpg,,
PfdCYvXwsQw,Queen Solmee,속건조엔 이거 쓰세요 | 올리브영 세일 추천템💕,PT34S,34,duration,https://www.youtube.com/watch?v=PfdCYvXwsQw,thumbnails/QueenSolmee/PfdCYvXwsQw.jpg,,
3DmHqn6-Li0,Dadacafe다다카페,산타고 요가갔다가 도시락먹는 브이로그 🧘🏻‍♀️🍙⛰️ #요가브이로그 #요기니 #wellnesslife #yogalife,PT41S,41,duration,https://www.youtube.com/watch?v=3DmHqn6-Li0,thumbnails/Dadacafe다다카페/3DmHqn6-Li0.jpg,,
0iZibxTMEHk,Dadacafe다다카페,순두부로 만드는 간단한 #다이어트식단 #healthyfood,PT13S,13,duration,https://www.youtube.com/watch?v=0iZibxTMEHk,thumbnails/Dadacafe다다카페/0iZibxTMEHk.jpg,,
vFh6cqUgHAc,Dadacafe다다카페,#다이어트식단 🥗,PT22S,22,duration,https://www.youtube.com/watch?v=vFh6cqUgHAc,thumbnails/Dadacafe다다카페/vFh6cqUgHAc.jpg,,
7d_IsXe0XCg,박치열의 코멘터리,재수술 끝판왕 '들창코' 완벽하게 내리는 기술 #코성형 #들창코 #재수술,PT1M20S,80,duration,https://www.youtube.com/watch?v=7d_IsXe0XCg,thumbnails/박치열의코멘터리/7d_IsXe0XCg.jpg,,
_T0l8ZLG6JQ,박치열의 코멘터리,들창코가 생기는 이유는? #코성형 #들창코,PT57S,57,duration,https://www.youtube.com/watch?v=_T0l8ZLG6JQ,thumbnails/박치열의코멘터리/_T0l8ZLG6JQ.jpg,,
YaD_wT74-Vo,박치열의 코멘터리,구축으로 인한 들창코 재수술 핵심은 '이것' #코성형 #들창코 #재수술,PT1M19S,79,duration,https://www.youtube.com/watch?v=YaD_wT74-Vo,thumbnails/박치열의코멘터리/YaD_wT74-Vo.jpg,,
oIfeZ6q31-s,머라클 MURACLE,대표님 찾으러 화장실까지 쫓아가는 MZ 직원 어떤데.,PT42S,42,duration,https://www.youtube.com/watch?v=oIfeZ6q31-s,thumbnails/머라클MURACLE/oIfeZ6q31-s.jpg,,
