channel_name,channel_id,video_id,title,published_at,duration,thumbnail_path,thumbnail_url
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,Vf4ZCYL4KOg,아르떼365] 김남식 안무가·댄스트룹-다 대표 인터뷰,2026-03-09T01:20:52Z,PT4M33S,thumbnails_society\한국문화예술교육진흥원\Vf4ZCYL4KOg.jpg,https://i.ytimg.com/vi/Vf4ZCYL4KOg/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,9hxytRO5_xc,「2026 생활밀착형 문화예술교육 지원사업」 운영기관 및 단체 공모설명회,2026-03-05T08:14:50Z,PT1H4M54S,thumbnails_society\한국문화예술교육진흥원\9hxytRO5_xc.jpg,https://i.ytimg.com/vi/9hxytRO5_xc/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,TO2QnheIxmQ,"2026 문화로 치유 지원사업 「마음치유, 봄처럼」 운영단체 공모 설명회",2026-02-26T00:34:01Z,PT1H15M18S,thumbnails_society\한국문화예술교육진흥원\TO2QnheIxmQ.jpg,https://i.ytimg.com/vi/TO2QnheIxmQ/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,A_FyKimn0BI,2025 늘봄예술학교 연수 아카이빙 영상,2026-02-20T00:54:55Z,PT5M19S,thumbnails_society\한국문화예술교육진흥원\A_FyKimn0BI.jpg,https://i.ytimg.com/vi/A_FyKimn0BI/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,iWN0KzxXqXc,2025 꿈다락 문화예술학교 공유회 ‘꿈다락 모여락(樂)’,2026-02-12T01:14:15Z,PT4M28S,thumbnails_society\한국문화예술교육진흥원\iWN0KzxXqXc.jpg,https://i.ytimg.com/vi/iWN0KzxXqXc/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,Hfg-vrxJLNk,중장년 예술감상 「2025 예술에 빠질 예.감.」 성과영상,2026-01-28T00:55:58Z,PT4M13S,thumbnails_society\한국문화예술교육진흥원\Hfg-vrxJLNk.jpg,https://i.ytimg.com/vi/Hfg-vrxJLNk/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,fF4zvubMTKI,[2025 꿈의 스튜디오] 기획형 프로그램 수업 현장 스케치 - 공간거점형,2026-01-27T00:34:40Z,PT3M8S,thumbnails_society\한국문화예술교육진흥원\fF4zvubMTKI.jpg,https://i.ytimg.com/vi/fF4zvubMTKI/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,Jx4zaBoawMU,[2025 꿈의 스튜디오] 기획형 프로그램 수업 현장 스케치 – 앰버서더형,2026-01-27T00:33:30Z,PT5M7S,thumbnails_society\한국문화예술교육진흥원\Jx4zaBoawMU.jpg,https://i.ytimg.com/vi/Jx4zaBoawMU/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,L90iwXwkITs,[2025 꿈의 스튜디오] 기획형 프로그램 브랜드 필름 – 단 한 명을 위한 바람,2026-01-27T00:28:25Z,PT4M40S,thumbnails_society\한국문화예술교육진흥원\L90iwXwkITs.jpg,https://i.ytimg.com/vi/L90iwXwkITs/maxresdefault.jpg
한국문화예술교육진흥원,UC5Ecd7719wyFQMiopTToWIw,nsX-ORop9is,[아르떼365] 안용세 예술교육실천가‧예술공간100℃ 대표 인터뷰,2026-01-26T01:37:45Z,PT3M48S,thumbnails_society\한국문화예술교육진흥원\nsX-ORop9is.jpg,https://i.ytimg.com/vi/nsX-ORop9is/maxresdefault.jpg
도공스님의 목탁소리,UCATRd_fhlgYRFHJtzba5DHg,RbOlAL7KrTk,3월 29일 문경 봉천사 산신제 : 오늘은 모든것 내려놓고 잠시 쉬면서 충전 하려고 합니다,2026-03-29T03:57:36Z,PT3H2M8S,thumbnails_society\도공스님의목탁소리\RbOlAL7KrTk.jpg,https://i.ytimg.com/vi/RbOlAL7KrTk/maxresdefault.jpg
도공스님의 목탁소리,UCATRd_fhlgYRFHJtzba5DHg,1MHFdQmvhPM,"3월 28일 국회앞 시위현장 : 자유 진영 국가 보수 정치인들은 ""중공이 대한민국의 시스템을 모두 장악 "" 했다 고 생각",2026-03-28T06:13:01Z,PT2H5M44S,thumbnails_society\도공스님의목탁소리\1MHFdQmvhPM.jpg,https://i.ytimg.com/vi/1MHFdQmvhPM/hqdefault.jpg
도공스님의 목탁소리,UCATRd_fhlgYRFHJtzba5DHg,rKovmBxVP6E,3월 26일 국회앞 시위현장 : 대한 민국이 중공의 더러운 물에 의한 오염 정도는 엄청나게 심각하고 광범위 하다,2026-03-26T06:11:37Z,PT2H2M57S,thumbnails_society\도공스님의목탁소리\rKovmBxVP6E.jpg,https://i.ytimg.com/vi/rKovmBxVP6E/hqdefault.jpg
도공스님의 목탁소리,UCATRd_fhlgYRFHJtzba5DHg,6DQqjBKl-mw,3월 25일 국회앞 소통방송 : 중공물 에 오염된 영혼을 정화해야 할 시간,2026-03-25T11:12:51Z,PT2H4M47S,thumbnails_society\도공스님의목탁소리\6DQqjBKl-mw.jpg,https://i.ytimg.com/vi/6DQqjBKl-mw/hqdefault.jpg
도공스님의 목탁소리,UCATRd_fhlgYRFHJtzba5DHg,WISkxHp21MA,3월 25일 국회앞 시위현장 : 선. 악 의 경계가 뒤바뀐 세상에 삶의 질 이나. 삶의 의미를 지니고 살고 있을까 ?,2026-03-25T06:11:48Z,PT2H5M19S,thumbnails_society\도공스님의목탁소리\WISkxHp21MA.jpg,https://i.ytimg.com/vi/WISkxHp21MA/hqdefault.jpg
도공스님의 목탁소리,UCATRd_fhlgYRFHJtzba5DHg,6-B9CB9_FBA,3월 24일 국회앞 소통방송 : 모든 기준이 무너진 혼탁한 세상.  망각 이 최선인가 ?,2026-03-24T11:09:53Z,PT2H1M8S,thumbnails_society\도공스님의목탁소리\6-B9CB9_FBA.jpg,https://i.ytimg.com/vi/6-B9CB9_FBA/hqdefault.jpg
