channel_id,channel_name,n_videos,cluster_id
UC-4V6KB881maMQHPJVI7LXA,성령 안의 삶(성령쇄신) - 한프란치스카,10,0
UC-6e7Y6p8L--Ib4iwjnCVqA,불심과 동행하기,10,0
UC-JbwIkZI1f3Bings3VO3Sg,온누리교회,10,0
UC-O6JMrvn4R8CEYSmWW2Jow,제로현tv(시사코믹음방),10,0
UC-Y-bh9ZLN_cw_Lm4Ynnlrw,오천만 사연,10,1
UC-e1jt_Mu-9V7Eft-NEocrg,KBS스모킹건,10,0
UC-gtcwqgWLg-JEsmoFhCDng,포도원교회 방송국,10,0
UC-hc6yLEjk5C5gMTJKFGlPw,정치 읽어주는 여자,10,1
UC-l4DfKxXhNN9S8H2XooD4A,남양주TV최미자,10,0
UC-mMd02AqEpLfyy948R5lyg,감동띵동,10,1
UC-rNOfC5KB7iOsPft9CqjYQ,지박스TV,10,1
UC-sDvUroCCpUZhzk4I_3UIw,한국사 다시읽기,10,0
UC0Fyj1tRNBDoS5oIcDyOYBg,오메가교회 OMEGA CHURCH,10,1
UC0WBE73Wz_N3Wf7kDvkzLQw,너머의음성,10,1
UC0X2HqxrdilJGWLpo2Z-nAw,김큰형TV,10,1
UC0XMOPdhoMnb7ZwC7E2Kd3g,다이치 사장 ダイチ社長,10,1
UC0XZUIhY5aFO6Y8k23rlU9g,청춘은안단테,10,0
UC0lmC05T27RlzH5k_wO8geA,진리의 재발견  (행복신앙연구소 제임스강),10,0
UC0sKd8rAwhUqOwnxBf_FOLg,종리스찬TV,10,1
UC0xDiZa7Jbty1XqYL2SdvIA,강태웅,10,1
UC0xm3nsJXdMEA6ILZRHCXvQ,김민석TV,10,1
UC11H1nky3p31Bycf4TRFluw,주안에길 정진호목사(토오후6시),10,1
UC11sKzfembsp-_KqzCZ-lWg,대한사랑,10,0
UC145Ucfqm8bpqNNWUg9IG7g,대한예수교장로회총회 교육자원부,9,0
UC1OWCNdirYduYAXPfYLZGGw,청록암 엑소시스트 김홍기,10,0
UC1ZW8rbX5Ezched-FMoFckw,exworktv,1,0
UC1kQ1lTmjgiitlGatoga5ZQ,신토불이 신피디,10,1
UC1r69UTl24hAQXGOapfFYyQ,"사랑해요 하나님(하나님,성경말씀,설교)",10,0
UC1zRfFtqRWDZokdBl1jG0pw,CALLING GOD 콜링갓,10,1
UC21hzjXICz_dgXgLXJ1uEKw,정법전TV,10,1
UC27RSfE21eJq27lQ7p84TaQ,포도원교회(포도원TV),10,0
UC27X_qQYvU6vhOUcFj55NdA,隣国のおじさん,10,1
UC2CherVPJ74mghiQRwuEUnw,불광튜브,10,0
UC2Iko5L69mFarhDJX3htJPg,SPNS TV,10,1
UC2Lx2_u4JixQ2WFnWQfIbEQ,고민정 TV,10,1
UC2uMoQwII29QfgYnzTp3UWg,편안한 말씀식당,10,0
UC2uZSz_DY57Vu10Ca5giYHg,주백의 영역전개,10,0
UC3C4u8VnnrggbeSBzmxe0sw,민초야담,10,0
UC3E-gJGVeJkevN2ujtrLHkA,크립토 뉴스플랜 - Plan A,2,0
UC3MeAsOcP9VD0mhdaCIvJsA,Phantom Hearts(팬텀하츠),10,0
UC3NuLJUu3TEi574grrrLVdA,뉴스클레임,10,1
UC3PdND6r4mRtoAgp59jfbDg,대한민국 병무청 (청춘예찬),10,1
UC3RmDQ9A6cEh2CHI7u2GU2Q,크라임토크,10,1
UC3d7-hub1ZcrmQbpvzry-_w,회개와천국복음[정보배],10,1
UC3eKnVavq7CYAh9e0AleYlw,Eighth Army,10,1
UC4AGnZFRiHL_H1xeGv4ivlw,입국열차,10,1
UC4BmGN5BAbDkUOg7FEqNuJQ,싱싱파파551,10,1
UC4BoL2Mj-2hdMcIE0qnDhNA,서울환경연합,10,0
UC4DAnnB2ZAbZFjjgNd2SzgA,고논,10,1
UC4JtxeE9Tbe3MpUU24E8GHA,UNICEF KOREA,10,1
UC4KdOy46f0HCJBqTiq7MLPg,정의당 TV,10,0
UC4Kvr3lHWx-mLff7MsjMdfg,이선옥TV,10,1
UC4Rqn0d4HPD4iVA6juJbR1Q,Saving Grace,10,1
UC4UDZpvJ1ZwRoT-YpaBx2jA,신길교회Seoul Shingil Waymakers Church,10,0
UC4dpGYZ0CcSIC7JWNRaPBaw,OMMACHARITY,10,1
UC4gZe179OdKo6yNDCAfK-7g,춘자야담,8,0
UC4gtDyy2MaqwfZdSrSLwgyw,코리아감동TV,10,1
UC4igRfOVnLfb8cFKR0quJUQ,광주가톨릭평화방송,10,1
UC4kBy1VeN3y3h3RlDUu4-0w,옥토끼한수애,10,1
UC4prQjZlZRKXllTaK88AeRA,머니인사이드 쇼츠,10,1
UC4rFSUIL1_oEkaT5FeBQbqg,이만갑,10,1
UC4xKqYrfSPwBQLSomlmjErQ,엄인호TV,10,1
UC4xW_nXSfjdMl2U8XBm3-yw,벼락대감,10,0
UC4y2Jx26qCb7CrSt_i5bf1A,열린공감TV,10,1
UC4yOeRzCWCiqglwyIFmA8Gw,자항TV [자유로의 항해],10,1
UC4zn1ypqQL0TH0xbsH9ycKQ,임오경tv,10,1
UC4zuXRJF5Vq2y6cEq-4PBGQ,개국본TV,10,1
UC51Im4em7RQXezT9BQ_J0XA,감동편지함,10,1
UC552RTqzDHZMjaeE41kGVNg,REAL Bible 1611,10,1
UC58DV9gnwdNemztB8C5aqUg,산신무당TV,10,0
UC58ySWAGaH5AxRQCk3XGLzA,새미래민주당,10,1
UC5Ecd7719wyFQMiopTToWIw,한국문화예술교육진흥원,10,1
UC5JFLdlLe5_XMkVQuT6t7NQ,수원중앙침례교회,10,0
UC5PzG8kd8lyo7BbHFLxAbig,Joyful Church,10,1
UC5TUntj-j6u6XjXUh7UgAqg,사법정의TV,10,1
UC5VE_KuAtTSLRZaW22nHI4w,세이브더칠드런,10,1
UC5dDbYhImjKCun_-KCqoGyQ,복원왕 Restoration King,10,0
UC5iyNm4QQDoeFbAW2sd92jQ,아가페TV,10,0
UC5k9Z_nBwQvXHeqdRlYI03w,대한신궁☆별궁선녀,10,0
UC5kpAktK58a_NWZJqNK28mA,정승기 작가의 [아는척],10,1
UC5rJi-E3aMkb46vVHJArvYg,한빛감리교회,10,0
UC5u-oXBxEYFvEnSkudH5ALQ,역사의 흔적,10,0
UC6-_qtQxwpyoNQYdmQ_-tnA,초심 백은종(서울의소리),10,1
UC6429ygpCvxyXVN_EEiRh-g,동명암 별상장군 태산,10,0
UC67VGYk8R2-_hjTc8-ORaew,Jesus Centered Church 예수중심교회,10,1
UC6BzO1MokTXD_7vcTLSBSyQ,쉬기날기,10,0
UC6ELAautipgIhZkMKaQrFxg,사선하이킥tv,10,1
UC6SZ7KSlPrecXoEPflZGEnA,가을인생,6,1
UC6Swqra8BqePCs1ymFCdDMQ,송영길TV,10,1
UC6e43Z5P_ThOnz7XaSe5zpw,jungbub2013,10,0
UC6p9UlZbp-Z8hiSiBODWe4Q,깨달음의노후,10,0
UC6pbecjgGeIVfUp-o1wxA0g,문종형의 온마이크,10,1
UC6vq0sz62drPgUNRlriNBRQ,바람의사연,10,1
UC6wiUwl7dPhZOAM92lGgKPg,KBS HUMAN : 뭉클티비,10,1
UC78QPsn2UBdELyQwaF2hq8g,나연심리상담소-나르시시스트전문상담,10,1
UC78duXU2wQzD9ktmnYNc4Pg,신인규의 시대정신,10,1
UC7EmCHrdRg1wwuzS5VnAE3Q,상당교회SDTV,10,0
UC7O-tKLkDwUI_7i-B0bJqiA,진짜살길,10,0
UC7OPpm1HecRakm7r5Nyqagg,극한직업,10,0
UC7Y8Kv3Z58I0HTeN4rU6BSA,Dark Case Mongolia 🐞,10,0
UC7ZwqdkwJi2QPu6A3vJmvwA,인생의 황혼 이야기,10,0
UC7_qYAPvc1jKbTKWJ4k0iJg,하리운TV,10,1
UC7hVEBYDz2bn54TyjKv7aSw,Fat Little Asian Man,10,0
UC7kYzfu7mHLQ7nG6AMnTc9g,The Korea Herald,10,1
UC7rgFIt3tcJrcXEvhddMsuA,승리의힘TV,10,1
UC7yJldGjDNDp2D5OhOgkuVw,해인스님의 마음법당,10,0
UC89WFckRAl_KhUHLDhZ25bA,인생뭐있슈,10,1
